site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"28 & 29 Newport Street, Old Town, Swindon",yes,2020-12-23,2020-12-23,,0.02,6,6,18HMR038 - S/16/0864 | Erection of a roof extension to accommodate 2no. dwellings and erection of 2no. dwellings to the rear,local-authority-eng:SWD,not owned by a public authority,2016-07-07,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O72GHUPT0IN00,permissioned,full planning permission,POINT(-1.766698 51.540781),18HMR038,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=O72GHUPT0IN00,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR038
"Selina House 192 Oxford Road, Stratton St Margaret, Swindon, SN3 4HA",yes,,2020-12-23,,0.15,8,8,18HMR045 - S/17/1478 | Demolition of care home and erection of 8 no. flats,local-authority-eng:SWD,not owned by a public authority,2018-02-08,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OVSUEUPTHN600,permissioned,full planning permission,POINT(-1.785682 51.529073),18HMR045,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OVSUEUPTHN600,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR045
"Union Square, Swindon",yes,,2020-12-23,,10.18,405,405,18HMR049 - S/11/0614 | Outline application seeking redevelopment to provide mixed-use development,local-authority-eng:SWD,not owned by a public authority,2012-05-03,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=LKMDETPT0FL00,permissioned,full planning permission,POINT(-1.79461 51.522344),18HMR049,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=LKMDETPT0FL00,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR049
"Land At Marlborough Park, Swindon",yes,,2020-12-23,,15.3,91,91,18HMR050 - S/OUT/15/2051 | A Hybrid application for a mix of residential development to include - full details of the erection of 91no. dwellings & 74no. age-restricted retirement dwellings,local-authority-eng:SWD,not owned by a public authority,2017-04-10,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NZ4ZRWPT0FL00,permissioned,full planning permission,POINT(-1.784553 51.61122),18HMR050,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NZ4ZRWPT0FL00,2018-12-31,brownfield-land/local-authority-eng/SWD/18HMR050
"Former Garage & Land, Phillips Lane, Old Town, Swindon, SN1 4BH",yes,,2020-12-23,,0.19,37,37,19HMR004 - S/19/1589 | Erection of 37no. apartments and 2no. commercial units for Class B1 or Class A2 or Class D1 Use and associated works.,local-authority-eng:SWD,not owned by a public authority,2020-09-25,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PZU4LLPTKGF00,permissioned,full planning permission,POINT(-1.642515 51.552619),19HMR004,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PZU4LLPTKGF00,2019-12-31,brownfield-land/local-authority-eng/SWD/19HMR004
"Land Adjacent To Berkley Farm House, Swindon Road, Wroughton, Swindon, SN4 9AQ",yes,,2020-12-23,,0.29,4,4,19HMR007 - S/16/1357 | Erection of 4no. detached dwellings,local-authority-eng:SWD,not owned by a public authority,2017-10-19,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OB9XC2PT0FL00,permissioned,full planning permission,POINT(-1.734456 51.575355),19HMR007,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OB9XC2PT0FL00,2019-12-31,brownfield-land/local-authority-eng/SWD/19HMR007
"Former Haskins Garage, High Street, Wroughton, Swindon",yes,,2020-12-23,,0.18,13,13,19HMR011 - S/17/0286 | Erection of 13no. dwellings and associated works.,local-authority-eng:SWD,not owned by a public authority,2017-04-05,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OLF5M6PTLAJ00,permissioned,full planning permission,POINT(-1.786592 51.556795),19HMR011,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OLF5M6PTLAJ00,2019-12-31,brownfield-land/local-authority-eng/SWD/19HMR011
"Land At Holdcroft, Broad Bush, Blunsdon, Swindon",yes,,2020-12-23,,3,54,54,19HMR014 - S/17/0528 | Erection of 54no. Dwellings,local-authority-eng:SWD,not owned by a public authority,2018-03-27,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ON9VR9PTLVS00,permissioned,full planning permission,POINT(-1.7876 51.524801),19HMR014,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=ON9VR9PTLVS00,2019-12-31,brownfield-land/local-authority-eng/SWD/19HMR014
"Land at Alresco Childcare, Newtown Lare, Bishopstone, SN6 8PW",yes,,2020-12-23,,0.26,2,2,19HMR021 - S/17/1826 | Erection of 2no. dwellings,local-authority-eng:SWD,not owned by a public authority,2018-02-08,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OYQXU2PTIVR00,permissioned,full planning permission,POINT(-1.777064 51.579986),19HMR021,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OYQXU2PTIVR00,2019-12-31,brownfield-land/local-authority-eng/SWD/19HMR021
"Land at 5 Wanborough Road, Stratton St Margaret, Swindon",yes,2020-12-23,2020-12-23,,0.48,15,15,19HMR026 - S/18/0265 | Erection of 15no. dwellings,local-authority-eng:SWD,not owned by a public authority,2019-01-28,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P46S91PT04V00,permissioned,full planning permission,POINT(-1.804841 51.55975),19HMR026,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P46S91PT04V00,2019-12-31,brownfield-land/local-authority-eng/SWD/19HMR026
"The Former Cycle Club, 33 Dixon Street, Swindon",yes,,2020-12-23,,0.03,8,8,19HMR030 - S/18/1523 | Demolition of existing building and erection of 8 no. flats,local-authority-eng:SWD,not owned by a public authority,2019-02-26,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PEU5YHPT04V00,permissioned,full planning permission,POINT(-1.729012 51.586939),19HMR030,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PEU5YHPT04V00,2019-12-31,brownfield-land/local-authority-eng/SWD/19HMR030
"Land Adjacent to Co-operative Convenience Store, Moormead Road, Wroughton, Swindon",yes,,2020-12-23,,0.07,5,5,19HMR038 - S/OUT/17/1693 | Outline application for the erection of 2no. apartments and 3 dwellings,local-authority-eng:SWD,not owned by a public authority,2019-02-28,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXPO62PTIFK00,permissioned,outline planning permission,POINT(-1.780691 51.554122),19HMR038,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXPO62PTIFK00,2019-12-31,brownfield-land/local-authority-eng/SWD/19HMR038
"409 - 411 Cricklade Road, Swindon, SN2 1AQ",yes,,2020-12-23,,0.09,6,6,19HMR039 - S/18/1569 | Demolition of 409 Cricklade Road and erection of 6no. dwellings ( one 1 bed flat and five 2 bed houses),local-authority-eng:SWD,not owned by a public authority,2019-03-07,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PFAM9JPT0FL00,permissioned,full planning permission,POINT(-1.801562 51.565596),19HMR039,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PFAM9JPT0FL00,2019-12-31,brownfield-land/local-authority-eng/SWD/19HMR039
"98 Redcliffe Street, Swindon, SN2 2BZ",yes,,2020-12-23,,0.04,6,6,19HMR041 - S/18/1072 | Erection of a three storey block of 6 no. flats,local-authority-eng:SWD,not owned by a public authority,2019-02-15,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PAXLL7PTGMP00,permissioned,full planning permission,POINT(-1.762084 51.570294),19HMR041,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=PAXLL7PTGMP00,2019-12-31,brownfield-land/local-authority-eng/SWD/19HMR041
Crown Timber Site Unit A Thornhill Industrial Estate South Marston Swindon,yes,,2020-12-23,,2.05,47,47,PP181901 - S/OUT/14/2058 | Outline application for the erection of up to 47no. dwellings,local-authority-eng:SWD,not owned by a public authority,2018-05-15,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NG3QDNPT97000,permissioned,outline planning permission,POINT(-1.782897 51.564644),PP181901,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=NG3QDNPT97000,2018-12-31,brownfield-land/local-authority-eng/SWD/PP181901
"Bus Depot Eastcott Road, Old Town, SwindonSN1 3LS",yes,,2020-12-23,,0.61,45,45,"PP181915 - S/17/1777 | Demolition of existing buildings, erection of new buildings and conversion of existing buildings to form 45no. residential units",local-authority-eng:SWD,not owned by a public authority,2018-11-21,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OYDTNAPTIQF00,permissioned,full planning permission,POINT(-1.782661 51.55904),PP181915,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OYDTNAPTIQF00,2018-12-31,brownfield-land/local-authority-eng/SWD/PP181915
Morris Street Club 20-22 Morris Street Rodbourne Swindon SN2 2HU,yes,,2020-12-23,,0.04,5,5,PP181917 - S/18/0380 | Partial demolition with two storey extension and alterations to allow for the conversion of the existing social club to form 4 no. 1 bedroom flats and 1 no.2 bedroom flat,local-authority-eng:SWD,not owned by a public authority,2018-10-22,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P54EY9PTLSB00,permissioned,full planning permission,POINT(-1.777846 51.555757),PP181917,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P54EY9PTLSB00,2018-12-31,brownfield-land/local-authority-eng/SWD/PP181917
Coachbuilders House Stratton Road Stratton St Margaret Swindon,yes,2020-12-23,2020-12-23,,0.23,8,8,PP181918 - S/18/0256 | Erection of a mansard roof with dormer windows to create 8no. additional flats ( 7 one bed flats and 1 two bed flat),local-authority-eng:SWD,not owned by a public authority,2018-09-07,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P44UC4PTLAY00,permissioned,full planning permission,POINT(-1.77671 51.553074),PP181918,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P44UC4PTLAY00,2018-12-31,brownfield-land/local-authority-eng/SWD/PP181918
175 - 176 Manchester Road Swindon SN1 1TU,yes,2020-12-23,2020-12-23,,0.02,6,6,PP181920 - S/17/1707 | Change of use of 2no. dwellings to 6no. self contained apartments,local-authority-eng:SWD,not owned by a public authority,2018-12-18,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXX2I2PT0FL00,permissioned,full planning permission,POINT(-1.727288 51.555305),PP181920,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=OXX2I2PT0FL00,2018-12-31,brownfield-land/local-authority-eng/SWD/PP181920
"2 Temple Chambers Temple Street, Swindon, SN1 1SQ",yes,2020-12-23,2020-12-23,,0.01,5,5,"PP181922 - S/18/0406 | Change of use of ground, first and second floor and roof space from Class A1/A2/B1 to Class C3 to provide 5no. dwellings",local-authority-eng:SWD,not owned by a public authority,2018-05-18,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5BFPAPTLW600,permissioned,full planning permission,POINT(-1.826729 51.569192),PP181922,https://pa1.swindon.gov.uk/publicaccess/applicationDetails.do?activeTab=documents&keyVal=P5BFPAPTLW600,2018-12-31,brownfield-land/local-authority-eng/SWD/PP181922
