site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Former Co-Op Building, John Street",yes,,2017-03-21,,0.04,6,6,17/00502/CU - Change of use of part of the building into six x2 to bedflats B1 unit,local-authority-eng:LAC,not owned by a public authority,2017-10-19,https://planning.lancaster.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.769577 54.12788),60,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21
"Lundsfield Quarry, Kellet Road",yes,,2017-03-21,,13.44,250,200,"The site has a draft allocation in the emerging Strategic Policies and Land Allocations DPD (policies SG11, SG13 & H1).",local-authority-eng:LAC,owned by a public authority,,https://planning.lancaster.gov.uk/online-applications/,not permissioned,,POINT(-2.769003 54.123327),61,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2017-03-21
Windermere Road Garages,yes,,2018-02-15,,0.19,6,4,,local-authority-eng:LAC,owned by a public authority,,,not permissioned,,POINT(-2.766751 54.120681),83,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15
"Former Police Station, Heysham Road",yes,,2018-02-15,,0.06,14,14,"Planning permission was previously granted for 14 apartments and a retail unit on the site - see 11/01089/FUL & 14/00291/VCN - Erection of 14 no apartments. construction of 3000sq ft retail unit with a further 1000sq ft storage area, parking for 10 vehicles and traffic calming to Knowlys Road (variation of conditions on planning permission 11/01089/FUL)",local-authority-eng:LAC,not owned by a public authority,2012-04-11,https://planning.lancaster.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.892667 54.047946),179,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15
"Garage, Grosvenor Road",yes,,2018-02-15,,0.06,9,9,17/00162/OUT - Erection of 9 flats & parking. The planning permission expires on 7 August 2019 and includes conditions requiring the submission of an application and approval of details before development commences.,local-authority-eng:LAC,not owned by a public authority,2017-05-18,https://planning.lancaster.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.890487 54.059566),202,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15
"Sunacre Court, Maple Avenue",yes,,2018-02-15,,0.14,6,6,16/00861/FUL – Erection of a 2-storey block of four flats and a pair of 2-storey semi- detached dwellings with associated access and parking,local-authority-eng:LAC,not owned by a public authority,2016-08-08,https://planning.lancaster.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.881416 54.059722),203,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15
Garages Adjacent 32 Tan Hill Drive Lancaster Lancashire LA1 2JB,yes,,2018-02-15,,0.04,1,1,,local-authority-eng:LAC,,,,not permissioned,,POINT(-2.799414 54.063315),252,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15
"New Quay, New Quay Road",yes,,2018-02-15,,0.37,12,12,16/00581/OUT - Outline application for the erection of up to 12 dwellings including associated cycle/pedestrian access. The site has a draft allocation for housing in the emerging Strategic Policies and Land Allocations DPD (policy H1.1),local-authority-eng:LAC,not owned by a public authority,2016-12-22,https://planning.lancaster.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.823076 54.051508),260,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15
Land At Corner Of Bulk Road And St Leonards Gate,yes,,2018-02-15,,0.15,4,4,,local-authority-eng:LAC,not owned by a public authority,,https://planning.lancaster.gov.uk/online-applications/,not permissioned,,POINT(-2.794916 54.051814),268,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15
"Private Car Park, Dolphinlee Bridge",yes,,2018-02-15,,0.71,15,10,The site forms part of a draft allocation in the Strategic Policies and Land Allocations DPD (policy SG7),local-authority-eng:LAC,not owned by a public authority,,https://planning.lancaster.gov.uk/online-applications/,not permissioned,,POINT(-2.786153 54.062594),289,http://www.lancaster.gov.uk/planning/planning-policy/brownfield-register,2018-02-15
