site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Meadowcroft, Whitchurch Close, Aldershot",,,2018-12-10,,0.28,9,8,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.747004 51.232196),SHELAA ID: 575,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--575
"The Wellington Centre, Victoria Road, Aldershot",,,2018-12-10,,0.93,25,23,"Proposals would need to be built upon the existing fabric of the building, and active ground floor and town centre uses would be expected to support the viability and vitality of the town centre",local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.765166 51.248773),SHELAA ID: 577,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--577
"Aldershot Bus Station, 3 Station Road, Aldershot",yes,,2018-12-10,,0.21,30,27,,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,POINT(-0.760813 51.246533),SHELAA ID: 580,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--580
"Hippodrome House, Birchett Road, Aldershot",,,2018-12-10,,0.19,70,63,"Ground floor uses should continue to reflect the town centre designation, with an active mix of uses",local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.761983 51.247768),SHELAA ID: 582,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--582
"208 Farnborough Road, Farnborough",,,2017-12-11,,0.09,7,6,The existing doctors' surgery would need to be provided in an alternative location,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.752783 51.292337),SHELAA ID: 583,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--583
"2 Salisbury Road, Farnborough",,,2017-12-11,,0.07,6,5,The existing doctors' surgery would need to be provided in an alternative location,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.752028 51.293713),SHELAA ID: 584,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--584
"124 Victoria Road, Farnborough",,,2017-12-11,,1.73,175,158,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.760458 51.292229),SHELAA ID: 590,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--590
"117 Farnborough Road, Farnborough",,,2018-12-10,,1.09,150,135,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.753661 51.286906),SHELAA ID: 596,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--596
"DIO Accommodation Offices, Ordnance Road, Aldershot",,,2018-12-10,,0.43,15,14,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.745854 51.253918),SHELAA ID: 597,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--597
"Aldershot Distribution Outlet, Ordnance Road, Aldershot",,,2017-12-11,,2.65,80,72,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.742699 51.256096),SHELAA ID: 598,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--598
"1 Clockhouse Road, Farnborough",yes,,2018-12-10,,0.08,6,6,Planning permission: 17/00846/FULPP. Extension and conversion of existing building to create 6 flats,local-authority-eng:RUH,not owned by a public authority,2017-12-15,,permissioned,full planning permission,POINT(-0.753588 51.294369),SHELAA ID: 603,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--603
"149-165 Victoria Road, Aldershot",yes,,2018-12-10,,0.15,6,6,Active ground floor and town centre uses will be required as part of any development proposals. Planning permission: 17/00832/FULPP. Change of use of first-floor offices (B1a) to residential use (C3) comprising 6 flats,local-authority-eng:RUH,not owned by a public authority,2018-01-31,,permissioned,full planning permission,POINT(-0.76542 51.24838),SHELAA ID: 604,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--604
"73-77 High Street, Aldershot",yes,,2018-12-10,,0.07,5,5,Active ground floor and town centre uses will be required as part of any development proposals. Planning permission: 17/00824/FULPP. Extension of existing building to facilitate conversion of office space to provide 5 additional flats and 1 reconfigured flat,local-authority-eng:RUH,not owned by a public authority,2017-12-20,,permissioned,full planning permission,POINT(-0.763447 51.249807),SHELAA ID: 605,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--605
"Land at 68-70 Hawley Lane, Farnborough",,,2017-12-11,,0.35,10,9,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.754955 51.311181),SHELAA ID: 607,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--607
"The Old Warehouse, Star Yard; 182-192 Victoria Road; and 3 Cross Street, Aldershot",yes,,2018-12-10,,0.1,14,14,"Planning permission: 18/00481/FULPP. Conversion of the Old Warehouse to provide 4 one-bedroom flats and the erection of a four-storey extension to provide a further 3 two-bedroom flats, and change of use of the upper floors of 182-192 Victoria Road to residential and the erection of a two-storey extension to provide 7 flats (14 flats in total)",local-authority-eng:RUH,not owned by a public authority,2018-11-08,,permissioned,full planning permission,POINT(-0.76623 51.24864),SHELAA ID: 610,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10,brownfield-land/local-authority-eng/RUH/SHELAA-ID--610
"Land adjacent to Green Hedges, Hawley Road, Blackwater, Camberley",yes,,2018-12-10,,0.33,10,9,,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,POINT(-0.767416 51.318938),SHELAA ID: 612,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10,brownfield-land/local-authority-eng/RUH/SHELAA-ID--612
"Parsons Barracks Car Park, Aldershot",,,2018-12-10,,0.54,200,180,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.756887 51.24918),SHELAA ID: 616,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10,brownfield-land/local-authority-eng/RUH/SHELAA-ID--616
"Block 3, Queensmead, Farnborough",yes,,2018-12-10,,0.55,68,68,Planning permission: 18/00025/FULPP. Partial demolition of Kingsmead shopping centre and an erection of an extension (Block 3) comprising 68 apartments,local-authority-eng:RUH,owned by a public authority,2018-06-19,,permissioned,full planning permission,POINT(-0.755085 51.292577),SHELAA ID: 618,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10,brownfield-land/local-authority-eng/RUH/SHELAA-ID--618
