site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Littlejohns Coalyard, Northam Road, Bideford",,,2017-12-22,,0.2,10,10,Allocated for housing development through saved policy BID7 of the Torridge District Local Plan 1997-2011 Residential potential of site considered through SHLAA SHA/BID/32 (now archived) and SHLAA SHA/BID/132,local-authority-eng:TOR,not owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=9500800OUT|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=9100605LA,not permissioned,,POINT(-4.211422 51.020891),BLR/BID/132,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18220,2017-12-22
"Bywater House, Silford Cross, Westward Ho!, Bideford",yes,,2017-12-22,,0.45,2,2,Residential potential of site considered through SHLAA SHA/NOR/158. Site covered by planning permission 1/0154/2017/REM for 3 dwellings (net 2).. Subdivision of existing dwelling in to two houses and 1 new dwelling.,local-authority-eng:TOR,not owned by a public authority,2017-05-05,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBXSPSQKLVS00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OLGGVDQKGHN00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O4HL6JQKK2W00,permissioned,reserved matters approval,POINT(-4.232163 51.031747),BLR/NOR/158,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18229,2017-12-22
"Former Jet Garage, New Road, Bideford",,,2017-12-22,,0.06,8,8,Permission for 8 apartments now lapsed. 1/0242/2010/FUL - Eight apartments and associated site works with small extension to the northern elevation - PER - 3.12.10 Residential potential of site considered through SHLAA SHA/BID/72,local-authority-eng:TOR,not owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=I5KM3XQKS1000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KZJ1UDQK02X00,not permissioned,,POINT(-4.20594 51.012649),BLR/BID/72,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18218,2017-12-22
"Land at Nuttaberry Works, Bideford",yes,,2017-12-22,,3.64,96,96,Residential capacity of site considered through SHLAA SHA/BID/18. Application 1/0041/2009/OUTM for 96 dwellings currently pending. Allocated for housing development through Saved Policy HSC1 of the Torridge District Local Plan 1997-2011. Non allocated strategic site in emerging North Devon and Torridge Local Plan 2011-2031. Residential redevelopment of former commercial brownfield site comprising up to 96 residential units including affordable homes,local-authority-eng:TOR,not owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=KDINVEQK2M000,pending decision,outline planning permission,POINT(-4.201237 51.00967),BLR/BID/18,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18211,2017-12-22
"8 - 11 Market Place, Bideford",yes,,2017-12-22,,0.16,9,9,"Site subject to planning permission 1/0700/2015/FUL Residential development comprising 9 dwellings with associated access, parking and sewers. PER 10/1/2017 Ressidential potential of site considered through SHLAA - SHA/BID/108. Residential development comprising 9 dwellings",local-authority-eng:TOR,not owned by a public authority,2017-01-10,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LO7T56QK2M000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LO7T5DQK2M000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NR68BRQK06T00,permissioned,full planning permission,POINT(-4.207905 51.017405),BLR/BID/108,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18219,2017-12-22
"Penhaven and Rectory Farm, Bideford",yes,,2017-12-22,,1.63,10,10,Residential potential of site considered through SHLAA SHA/PAR/4 Site covered by planning permission 1/1216/2015/OUTM for 21 dwellings PER 23/12/2016 Only PDL element of site has been included in calculation of yield. Previously developed part of wider site that has planning permission for conversion of former hotel site and erection of dwellings to create up to 21no. dwellings (including affordable housing),local-authority-eng:TOR,not owned by a public authority,2016-12-23,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NYGX50QKINU00,permissioned,outline planning permission,POINT(-4.295251 50.967721),BLR/PAR/4,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18230,2017-12-22
"Roslyn Gardens Caravan Park, Merley Road, Westward Ho!, Bideford",yes,,2017-12-22,,0.54,14,14,"Residential capacity of site considered through SHLAA SHA/NOR/72 Site has planning permission 1/0586/2016/FULM for 14 dwellings, covering the entirety of the site.. 14 dwellings.",local-authority-eng:TOR,not owned by a public authority,2016-01-08,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=0201326OUT|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=JQB62MQK01P00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=LA84SEQK03B00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NNTA2LQKGIE00|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O8T811QKL3U00,permissioned,reserved matters approval,POINT(-4.244229 51.03881),BLR/NOR/72,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18226,2017-12-22
"Land adjacent to Blights Garage, Clovelly Road, Bideford",yes,,2017-12-22,,1.96,100,100,Site subject to outline permission for provision of 100 dwellings (1/1437/2001/OUT) - granted 02.09.2010 (resolution to permit at April 2010). Extension of time application (with resolution to permit subject to s106 - 1/0617/2013/EXT). Site allocated within the adopted development plan (TDLP - HSC1) for comprehensive residential development. Residential potential of site considered through SHLAA SHA/BID/29. Residential Development (Minimum density of 35 units per hectare),local-authority-eng:TOR,not owned by a public authority,2017-03-10,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=0101190OUT|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MQ2MJLQK07L00,permissioned,outline planning permission,POINT(-4.224599 51.011395),BLR/BID/29,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18212,2017-12-22
"Works, Haycross Hill, Shebbear, Beaworthy",yes,,2017-12-22,,1.27,33,33,"Site is proposed allocation SHB02 (Land West of Haycross Hill) for about 20 dwellings and 3 live-work units in the draft North Devon and Torridge Local Plan 2011-2031. 1/0125/2015/OUTM. Outline application (all matters reserved) for 30 dwellings, 3 live work units with associated landscaping and play space (amended plans). Pending S106 Residential capacity of site considered through SHLAA SHA/SHB/8. 30 dwellings",local-authority-eng:TOR,not owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJCXXSQKFO600,pending decision,outline planning permission,POINT(-4.219155 50.859892),BLR/SHB/8,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18231,2017-12-22
"Brunswick, Queens and Clarance Wharves, Barnstaple Street, Bideford",yes,,2017-12-22,,0.89,52,52,"Residential potential of site considered through SHLAA SHA/BID/38. The site is listed as a Non Strategic Housing Site in the emerging North Devon and Torridge Local Plan 2011-2031. Site covered by planning permission 1/0578/2014/FULM for mixed use development comprising of 52 residential units, approximately 763 sq metres of retail / commercial development, open space, car parking, marina (including managers accommodation) and associated development. Site is subject to proposal (BID16) within the adopted development plan (TDLP) which allocates the site for tourism, leisure or commercial uses (or a mix) including provision of a cycle route / walkway and a high standard of design. Site subject to an endorsed Site Development Brief. The draft North Devon and Torridge Local Plan identifies this site as a Bideford Regeneration Site (BID07) for a mix of housing, leisure and retail uses.. Mixed use development comprising of 52 residential units",local-authority-eng:TOR,owned by a public authority,2015-07-02,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N6LA9RQK07L00,permissioned,full planning permission,POINT(-4.201256 51.016991),BLR/BID/38,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18213,2017-12-22
"Land to east of New Road, Bideford",,,2017-12-22,,0.44,14,12,The site is identified as a housing site through policy (HSC1) of the adopted development plan (TDLP). Site is part of proposed policy BID07 (Bideford Regeneration Sites) New Road in the emerging North Devon and Torridge Local Plan 2011-2031 for development that results in the enhancement to the southern gateway to Bideford. No other pertinent planning history in relation to the site. Residential potential of site considered through SHLAA SHA/BID/52,local-authority-eng:TOR,not owned by a public authority,,,not permissioned,,POINT(-4.206089 51.011584),BLR/BID/52,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18216,2017-12-22
"Land south of Longbridge Wharf, New Road, Bideford",,,2017-12-22,,0.09,6,6,Residential potential of site considered through SHLAA SHA/BID/66. Site was subject to planning consent for the redevelopment of the site for provision of 6 self contained flats within a single building (1/0924/2006/FUL). Now lapsed.,local-authority-eng:TOR,not owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=IYZWMAQK60000,not permissioned,,POINT(-4.205901 51.012433),BLR/BID/66,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18217,2017-12-22
"Blagdon Manor Hotel And Restaurant, Ashwater",yes,,2017-12-22,,0.89,1,1,Residential potential of site considered through SHLAA SHA/ASW/6 Planning permission 1/0525/2015/FUL conversion of hotel to residential PER 17/11/2015. Change of use from hotel to residential,local-authority-eng:TOR,not owned by a public authority,2015-11-17,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NOP3W7QK07X00,permissioned,full planning permission,POINT(-4.312274 50.749534),BLR/ASW/6,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18209,2017-12-22
"Ashwater Methodist Church, Ashwater",yes,,2017-12-22,,0.28,1,1,Residential potential of site considered through SHLAA SHA/ASW/7 Planning permission 1/0593/2016/FUL for COU to 1 dwelling PER 25/8/2016. Change of use to dwelling with associated conditions and demolition of part of existing building,local-authority-eng:TOR,not owned by a public authority,2016-08-25,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O923DKQKL5900,permissioned,full planning permission,POINT(-4.279242 50.739896),BLR/ASW/7,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18210,2017-12-22
"Vaughan Tapscott Glove Factory, White Lane, Torrington",,,2017-12-22,,0.06,14,14,Previous permission has now lapsed. 1/1396/2003/COU - Conversion of redundant building to 14 flats - PER - 12.12.2005 Residential capacity of site considered through SHLAA SHA/GTT/36,local-authority-eng:TOR,not owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=HIFGOIQKX0000|http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=HIFKYDQKX0000,not permissioned,,POINT(-4.146087 50.95205),BLR/GTT/36,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18224,2017-12-22
"Buckleigh Service Reservoir, Bay View Road, Bideford",yes,,2017-12-22,,0.28,3,3,Residential potential of site considered through SHLAA SHA/NOR/115 Planning permission 1/0702/2015/FUL for three dwellings (resubmission of 1/1173/2014/FUL) PER 2.10.2015. Three dwellings,local-authority-eng:TOR,owned by a public authority,2015-10-02,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NR7TIVQK06T00,permissioned,full planning permission,POINT(-4.228276 51.03782),BLR/NOR/115,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18227,2017-12-22
"Former Cattle Market Site, Stibb Cross, Torrington",,,2017-12-22,,0.21,8,6,Residential capacity of site considered through SHLAA SHA/LAN/11 This site (together with part of SHA/LAN/13) is within proposed allocation LAG02 (Land at the Former cattle market and Land to North) for approximately 8 dwellings in the draft North Devon and Torridge Local Plan.,local-authority-eng:TOR,not owned by a public authority,,,not permissioned,,POINT(-4.237079 50.912811),BLR/LAN/11,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18225,2017-12-22
"Land at Westcombe Depot, Bideford",,,2017-12-22,,0.59,14,2,Allocated for housing development through saved policy BID7 of the Torridge District Local Plan 1997-2011 Residential potential of site considered through SHLAA SHA/BID/32 (now archived) and SHLAA SHA/BID/133 Planning permission 1/2587/2006/FUL for redevelopment of workshops to 2no. Dwellings - now lapsed.,local-authority-eng:TOR,owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MQDZU8QK07L00,not permissioned,,POINT(-4.211721 51.020579),BLR/BID/133,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18221,2017-12-22
"Land east of Devonshire Park, New Road, Bideford",,,2017-12-22,,0.52,22,12,Allocated for housing development through saved policy HSC1 (Torridge District Local Plan 1997-2011) Site is part of proposed policy BID07 (Bideford Regeneration Sites) New Road (in emerging North Devon and Torridge Local Plan 2011-2031) for development that results in the enhancement to the southern gateway to Bideford. Residential capacity of site considered through SHLAA SHA/BID/49 No relevant planning history.,local-authority-eng:TOR,not owned by a public authority,,,not permissioned,,POINT(-4.206674 51.012788),BLR/BID/49,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18214,2017-12-22
"Former Creamery Site, Rolle Road, Torrington",,,2017-12-22,,3.32,136,136,"Site allocated for housing development through draft Policy GTT01 in emerging North Devon and Torridge Local Plan 2011-2031 Residential potential of site considered through SHLAA SHA/GTT/56 (previously SHA/GTT/11) Hybrid full application 1/0039/2016/OUTM for the erection of 13 dwellings on northern part of site with new access to Limer's Hill, outline application for the erection of up to 136 dwelling.. Previously developed part of wider site that has planning permission for Hybrid full application for the erection of 13 dwellings on northern part of site with new access to Limer's Hill, outline application for the erection of up to 136 dwelling.",local-authority-eng:TOR,not owned by a public authority,,http://publicaccess.torridge.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O0ZW5LQKJ6Y00,permissioned,outline planning permission,POINT(-4.156576 50.949186),BLR/GTT/56,http://www.torridge.gov.uk/CHttpHandler.ashx?id=18245,2017-12-22
