site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
14 Wilbury Villas & 69 Wilbury Avenue Hove,yes,,2017-12-18,,0.04,5,5,Development commenced 201617. Erection of three storey building with lower ground floor level on land to rear to form 5no dwellings,local-authority-eng:BNH,not owned by a public authority,2012-06-01,http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2016%2F05635|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2012%2F03727|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2011%2F03305|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2010%2F00741,permissioned,full planning permission,POINT(-0.163753 50.834575),PP3223,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP3223%2014%20Wilbury%20Villas%20%26%2069%20Wilbury%20Avenue%20Hove_0.pdf,2017-10-03
Koba 135 Western Road Brighton,yes,,2017-12-18,,0.02,5,5,Development commenced 201617. Conversion of rear part of building from cafe/bar (A3) to 5 no one and two bedroom flats incorporating a rear extension at second floor level,local-authority-eng:BNH,not owned by a public authority,2014-05-07,http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2016%2F00998|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2013%2F02437|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2009%2F02511|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2009%2F01256,permissioned,full planning permission,POINT(-0.151664 50.824968),PP4203,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP4203%20Koba%20135%20Western%20Road%20Brighton.pdf,2017-10-03
Seaholme Hotel 10-11 Seafield Road Hove,yes,,2017-12-18,,0.04,5,5,Development not started on site 201617. Conversion of ground first and second floor of 10 Seafield Road Hove from hostel (C1) to 5no self contained flats,local-authority-eng:BNH,not owned by a public authority,2014-07-03,http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2013%2F02543,permissioned,full planning permission,POINT(-0.175805 50.826355),PP4204,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP4204%20Seaholme%20Hotel%2010-11%20Seafield%20Road%20Hove.pdf,2017-10-03
56 Old Steine Brighton,yes,,2017-12-18,,0.02,5,5,Development not started on site 201617. Change of use from offices (B1) at basement first second third and fourth floor to 5no. two and three bedroom flats and maisonettes,local-authority-eng:BNH,not owned by a public authority,2014-09-25,http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2016%2F02028|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2015%2F00153|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2014%2F00967|,permissioned,full planning permission,POINT(-0.138125 50.821227),PP4262,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP4262%2056%20Old%20Steine%20Brighton.pdf,2017-10-03
143-145 Church Road Hove,yes,,2017-12-18,,0.02,5,5,Development commenced 201617. Change of use from offices (B1) to residential (C3) to form 2no one bed flats and 3no studio flats.,local-authority-eng:BNH,not owned by a public authority,2014-12-15,http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2014%2F03696|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2011%2F02457|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2010%2F03709,permissioned,other,POINT(-0.173587 50.828227),PP4411,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP4411%20143-145%20Church%20Road%20Hove.pdf,2017-10-03
1 Gordon Mews Gordon Close Portslade,yes,,2017-12-18,,0.02,5,5,Development not started on site 201617. Change of use from offices (B1) to residential (C3) to form 5no self contained flats.,local-authority-eng:BNH,not owned by a public authority,2014-04-29,http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2014%2F00654,permissioned,other,POINT(-0.207867 50.833768),PP4452,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP4452%201%20Gordon%20Mews%20Gordon%20Close%20Portslade.pdf,2017-10-03
26 & 26A Reigate Road Brighton,yes,,2017-12-18,,0.03,5,5,Development commenced 201617. Demolition of existing detached dwelling and erection of two storey block of 6no flats,local-authority-eng:BNH,not owned by a public authority,2015-03-30,http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2016%2F05073|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2014%2F03799,permissioned,full planning permission,POINT(-0.154968 50.839842),PP4482,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP4482%2026%20%26%2026A%20Reigate%20Road%20Brighton.pdf,2017-10-03
17 Marmion Road Hove,yes,,2017-12-18,,0.07,5,5,Development commenced 201617. Demolition of existing building and erection of 5no three bedroom dwelling houses,local-authority-eng:BNH,not owned by a public authority,2015-11-03,http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2016%2F02639|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2015%2F00914,permissioned,full planning permission,POINT(-0.187872 50.834476),PP4588,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP4588%2017%20Marmion%20Road%20Hove.pdf,2017-10-03
20 Sackville Road & 78 Pembroke Crescent Hove,yes,,2017-12-18,,0.07,5,5,Development commenced 201617. Conversion of surgery (D1) to form 1no four bedroom house 2no one bedroom flats and 2no two bedroom flats,local-authority-eng:BNH,not owned by a public authority,2016-03-01,http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2015%2F02728,permissioned,full planning permission,POINT(-0.178485 50.830462),PP4653,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP4653%2020%20Sackville%20Road%20%26%2078%20Pembroke%20Crescent%20Hove.pdf,2017-10-03
6 Locks Hill Portslade,yes,,2017-12-18,,0.17,5,5,Development not started on site 201618. Most recent application for 4 houses only. Demolition of existing building (D1) and erection of 5no houses,local-authority-eng:BNH,not owned by a public authority,2017-08-25,http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2016%2F06300|http://ww3.brighton-hove.gov.uk/index.cfm?request=c1199915&action=showDetail&APPLICATION_NUMBER=BH2015%2F03138,permissioned,full planning permission,POINT(-0.217633 50.839107),PP5220,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/PP5220%206%20Locks%20Hill%20Portslade.pdf,2017-10-03
Vantage Point and Circus Parade Longley Industrial Estate (New England Street),,,2017-12-18,,0.36,90,90,SHLAA call for Sites 2015 part of Housing led mixed use scheme,local-authority-eng:BNH,not owned by a public authority,,,not permissioned,,POINT(-0.139876 50.833262),SHLA893899,https://www.brighton-hove.gov.uk/sites/brighton-hove.gov.uk/files/SHLA893899%20Vantage%20Point%20and%20Circus%20Parade%20Longley%20Industrial%20Estate%20%28New%20England%20Street%29.pdf,2017-10-03
