site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Seaford Constitutional Club, Crouch Lane, Seaford",yes,,2017-12-21,,0.31,19,19,"Alterations and extension to the Seaford Constitutional Club to provide new club facilities, 8x2 bed flats, 3x1 bed flats & 8x3 bedroom houses together with new carpark layout and landscaping",local-authority-eng:LEE,not owned by a public authority,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZ37JDXD027,pending decision,,,27SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"51-53 Blatchington Road, Seaford",yes,,2017-12-21,,0.12,9,9,"Conversion of existing building on Blatchington Road frontage to three houses and erection of terrace of six houses to the rear, with gardens, parking and turning areas (discontinuation of commercial use)",local-authority-eng:LEE,not owned by a public authority,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=K5J521JD00200&activeTab=summary&previousCaseUprn=010033262911&previousCaseNumber=K5J515JD00200&keyVal=JSXWXLJD01L00,permissioned,outline planning permission,,21SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Land rear of Chichester Road, Seaford",yes,,2017-12-21,,0.3,10,10,,local-authority-eng:LEE,not owned by a public authority,,http://planningpa.lewes.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,,29SF,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Springfield Industrial Estate, Ditchling Road Wivelsfield",yes,,2017-12-21,,2.3,31,31,Erection of 31 residential dwellings,local-authority-eng:LEE,not owned by a public authority,2015-05-21,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NDDJPQJDFSP00,not permissioned,full planning permission,,20WV,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Land between 330-338 South Coast Road, Peacehaven",,,2017-12-21,,0.18,6,6,,local-authority-eng:LEE,not owned by a public authority,,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MMSNAIJD1W000,not permissioned,,,62PT,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"264 South Coast Road, Peacehaven",yes,,2017-12-21,,0.12,31,31,"Demolition of existing buildings and redevelopment to form 31 one and two bedroom sheltered apartments for the elderly including communal facilities, access, car parking and landscaping",local-authority-eng:LEE,not owned by a public authority,2017-05-04,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MWGMTFJD1W000,permissioned,full planning permission,,64PT,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"54 High Street, Newhaven",yes,,2017-12-21,,0.02,5,5,Demolition of existing building and erection of three x one bedroom flats and two x two bedroom flats,local-authority-eng:LEE,not owned by a public authority,2015-05-28,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?previousCaseType=Property&previousKeyVal=000JXNJDLI000&activeTab=summary&previousCaseUprn=100060066333&previousCaseNumber=000HUXJDBU000&keyVal=JMX7UUJD00C00,permissioned,full planning permission,,BLR10,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Garage Block, Rectory Close, Newhaven",yes,,2017-12-21,,0.07,5,5,Erection of 3 x two bedroom houses and 2 x one bedroom flats with associated car parking,local-authority-eng:LEE,not owned by a public authority,2016-02-29,http://planningpa.lewes.gov.uk/online-applications/applicationDetails.do?keyVal=NZG1HAJDMCN00&activeTab=summary,permissioned,full planning permission,,BLR11,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"328 South Coast Road, Peacehaven",yes,,2017-12-21,,0.05,6,6,Demolition of existing bungalow and erection of 3-storey block of 6 x two bedroom flats,local-authority-eng:LEE,not owned by a public authority,2016-08-09,http://planningpa.lewes.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000ONAJDLI000,permissioned,full planning permission,,BLR12,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Unit 1 Newhaven Workshop, Beach Road Industrial Estate",yes,,2017-12-21,,1.1,39,39,,local-authority-eng:LEE,not owned by a public authority,,,not permissioned,,,64NH,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Piddinghoe Avenue Car Park, Peacehaven",yes,,2017-12-21,,0.14,6,6,,local-authority-eng:LEE,owned by a public authority,,http://planningpa.lewes.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001CL6JDLI000,not permissioned,,,45PT,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-21
"Unit 5 North Lane, Newhaven",yes,,2018-12-11,,0.13,13,13,"Redevelopment of site to provide two blocks containing 13 no. three bedroom residential apartments, together with 19 car parking spaces.",local-authority-eng:LEE,not owned by a public authority,2018-01-24,http://padocs.lewes-eastbourne.gov.uk/civica/Resource/Civica/Handler.ashx/Doc/pagestream?cd=inline&pdf=true&docno=12942516,permissioned,,,55PP,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2018-12-11
"Knights Court, South Road, Hamsey",yes,,2018-12-11,,0.33,6,6,Redevelopment of the site with six residential units,local-authority-eng:LEE,not owned by a public authority,2017-04-27,http://padocs.lewes-eastbourne.gov.uk/civica/Resource/Civica/Handler.ashx/Doc/pagestream?cd=inline&pdf=true&docno=13030119,permissioned,,,56PP,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2018-12-11
