site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"180 High Street, Tonbridge, Kent, TN9 1BX",yes,,2017-11-24,,0.07,12,12,Demolition of existing office building and the erection of a new structure to provide 12 (twelve) new 1 and 2 bedroom apartments together with 12 on-site car and cycle parking spaces and refuse facilities. Restoration of existing garden and front boundary,local-authority-eng:TON,not owned by a public authority,2015-10-28,https://publicaccess2.tmbc.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.274958 51.198212),TMBC-BFR-002,,2017-11-24
"Land Rear Of 182 High Street, Tonbridge, Kent, TN9 1BE",yes,,2017-11-25,,0.06,12,12,"Variation of conditions 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 17, 18, 19 and 21 of planning permission TM/12/03803/FL (Construction of 9 town houses and 3 apartments; provision of 15 parking spaces for the residential development together with a further 9 garages, plus a further 30 spaces for the existing commercial use of 182 High Street; works to the scheduled ancient monument; associated landscape works; and the safeguarding of land for the provision of the Lansdowne Road link road)",local-authority-eng:TON,not owned by a public authority,2013-07-09,https://publicaccess2.tmbc.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.275192 51.198315),TMBC-BFR-003,,2017-11-25
"Ferns Surfacing Ltd, Bellingham Way, Larkfield, Aylesford, Kent",yes,,2017-11-28,,0.53,32,32,"Erection of 32 no. dwellings, access road, car parking and landscaping at Bellingham Way, Aylesford, Kent",local-authority-eng:TON,not owned by a public authority,2016-03-01,https://publicaccess2.tmbc.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.44726 51.308026),TMBC-BFR-004,,2017-11-28
"Cricketts Farm House, Borough Green Road, Ightham, Sevenoaks, Kent",yes,,2017-12-04,,0.71,5,5,"The retention, refurbishment and conversion of Crickets Farmhouse into 5 apartments with access, parking and landscaping works, and extensions to create a garden room and lobby/entrance area",local-authority-eng:TON,not owned by a public authority,2016-03-14,https://publicaccess2.tmbc.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.295145 51.29527),TMBC-BFR-006,,2017-12-04
"Land At East Street, Snodland, Kent",yes,,2017-12-08,,0.69,42,42,Latest pemission: 11/02330/FL: Temporary storage of 108 no. shipping containers on redundant car park at junction of East Street and May Street. Outline Application: Redevelopment of car park for 42 no. houses and flats including associated roads and parking,local-authority-eng:TON,not owned by a public authority,2013-06-21,https://publicaccess2.tmbc.gov.uk/online-applications/,permissioned,outline planning permission,POINT(0.447635 51.328011),TMBC-BFR-007,,2017-12-08
"Pickfords (brs Depot), Mill Hall, Aylesford, Kent",yes,,2017-12-09,,1.19,79,79,Residential development of 58 no. apartments and 21 no. town houses,local-authority-eng:TON,not owned by a public authority,2013-05-31,https://publicaccess2.tmbc.gov.uk/online-applications/,permissioned,full planning permission,POINT(0.466585 51.302081),TMBC-BFR-008,,2017-12-09
"The River Centre Medway Wharf Road, Tonbridge, Kent",yes,,2017-12-09,,0.35,,,"Expired Permission: Redevelopment of site to provide 73 residential apartments, 34 units of boarding accommodation for students and conference delegates, lecture and meeting rooms and ancillary facilities, a children's nursery, pedestrian and cycle bridge and associated park",local-authority-eng:TON,not owned by a public authority,2011-06-21,https://publicaccess2.tmbc.gov.uk/online-applications/,not permissioned,,POINT(0.279045 51.194014),TMBC-BFR-009,,2017-12-09
"Platt C Of E Primary School, Maidstone Road, Platt, Sevenoaks, Kent, TN15 8JY",yes,,2017-12-09,,0.32,,,Expired Permission: Extension of time limit on planning permission TM/07/01810/FL (Demolition of existing buildings and erection of 11 dwellings with car ports and access road),local-authority-eng:TON,not owned by a public authority,2012-04-17,https://publicaccess2.tmbc.gov.uk/online-applications/,not permissioned,,POINT(0.326442 51.292944),TMBC-BFR-010,,2017-12-09
"Drayton Road Industial Estate, Tonbridge",yes,,2017-12-13,,1.68,,,,local-authority-eng:TON,not owned by a public authority,,https://publicaccess2.tmbc.gov.uk/online-applications/,not permissioned,,POINT(0.276448 51.186923),TMBC-BFR-011,,2017-12-13
"Office site, Quarry Hill Rd, Borough Green",yes,,2017-11-14,,0.28,5,5,"GREEN BELT REFUSED: Planning App 16/03760/FL: Demolition of existing office building and the erection of 10 residential dwellings. Access from existing Quarry Hill Roundabout, provision of public open space, works associated with de-culverting and diversion of the watercourse, sustainable urban drainage systems; associated landscaping, infrastructure and earthworks",local-authority-eng:TON,not owned by a public authority,,,not permissioned,,POINT(0.302863 51.28841),TMBC-BFR-012,,2017-11-14
