site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"First Floor, 50-52 The Walnuts, BR6 0TW",yes,,2019-10-20,,0.041,9,9,,local-authority-eng:BRY,,2017-05-12,,permissioned,full planning permission,BLR55,,
"2 Crampton Road, SE20 7AT",yes,,2019-10-20,,0.073,6,6,,local-authority-eng:BRY,,2017-01-12,,permissioned,full planning permission,BLR59,,
44 Westmoreland Road Bromley BR2 0QS,yes,,2019-10-20,,0.051,6,6,,local-authority-eng:BRY,,2017-08-17,,permissioned,full planning permission,BLR60,,
136 Main Road Biggin Hill TN16 3BA,yes,,2019-10-20,,0.100,7,7,,local-authority-eng:BRY,,2017-09-05,,permissioned,full planning permission,BLR61,,
173-175 High Street Orpington BR6 0LW,yes,,2019-10-20,,0.014,8,8,,local-authority-eng:BRY,,2017-09-05,,permissioned,full planning permission,BLR62,,
36 Great Elms Road Bromley BR2 9NF,yes,,2019-10-20,,0.038,5,5,,local-authority-eng:BRY,,2017-09-07,,permissioned,full planning permission,BLR63,,
56a Foxgrove Road Beckenham BR3 5DB,yes,,2019-10-20,,0.260,18,18,,local-authority-eng:BRY,,2017-09-28,,permissioned,outline planning permission,BLR64,,
Alan Hills Motors Alma Place Anerley London,yes,,2019-10-20,,0.170,6,6,,local-authority-eng:BRY,,2017-11-13,,permissioned,full planning permission,BLR65,,
286-290 High Street Orpington BR6 0LU,yes,,2019-10-20,,0.100,5,5,,local-authority-eng:BRY,,2017-12-04,,permissioned,full planning permission,BLR66,,
"Heatherwood, 33 Station Road Orpington",yes,,2019-10-20,,0.060,5,5,,local-authority-eng:BRY,,2018-01-04,,permissioned,full planning permission,BLR67,,
"Warren Farm, Berrys Green Road, Westerham",yes,,2019-10-20,,0.740,7,7,,local-authority-eng:BRY,,2018-01-04,,permissioned,full planning permission,BLR68,,
115 High Street Beckenham BR3 1AG,yes,,2019-10-20,,0.065,12,12,,local-authority-eng:BRY,,2018-01-12,,permissioned,full planning permission,BLR69,,
19 Anerley Road Penge London SE19 2AS,yes,,2019-10-20,,0.022,9,9,,local-authority-eng:BRY,,2018-01-30,,permissioned,full planning permission,BLR70,,
112 Beckenham Road Beckenham BR3 4RH,yes,,2019-10-20,,0.030,6,6,,local-authority-eng:BRY,,2018-02-14,,permissioned,full planning permission,BLR71,,
Hollywood House 1 Station Road Penge London,yes,,2019-10-20,,0.023,7,7,,local-authority-eng:BRY,,2018-02-26,,permissioned,full planning permission,BLR72,,
16 St John's Road Penge London SE20 7ED,yes,,2019-10-20,,0.047,6,6,,local-authority-eng:BRY,,2018-03-16,,permissioned,full planning permission,BLR73,,
Land At Junction With South Eden Park Road And Bucknall Way Beckenham,yes,,2019-10-20,,1.620,67,67,,local-authority-eng:BRY,,2018-03-22,,permissioned,outline planning permission,BLR74,,
Land At Junction With South Eden Park Road And Bucknall Way Beckenham,yes,,2019-10-20,,1.620,105,105,,local-authority-eng:BRY,,2018-03-22,,permissioned,outline planning permission,BLR75,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O82VDCBTG4M00,
100 High Street Orpington BR6 0JY,yes,,2019-10-20,,0.060,7,7,,local-authority-eng:BRY,,2018-05-17,,permissioned,full planning permission,BLR76,,
8 Page Heath Lane Bickley Bromley BR1 2DS,yes,,2019-10-20,,0.044,6,6,,local-authority-eng:BRY,,2018-05-31,,permissioned,full planning permission,BLR77,,
255 Elmers End Road Beckenham BR3 4EJ,yes,,2019-10-20,,0.060,7,7,,local-authority-eng:BRY,,2018-06-04,,permissioned,full planning permission,BLR78,,
Barn Hawe Church Hill Orpington BR6 0HE,yes,,2019-10-20,,0.100,6,6,,local-authority-eng:BRY,,2018-06-15,,permissioned,full planning permission,BLR79,,
46 Crystal Palace Park Road Sydenham London SE26 6UG,yes,,2019-10-20,,0.068,6,6,,local-authority-eng:BRY,,2018-06-18,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P5N4TFBT0RD00,permissioned,full planning permission,BLR80,,
156 - 158 Main Road Biggin Hill TN16 3BA,yes,,2019-10-20,,0.080,7,7,,local-authority-eng:BRY,,2018-07-05,,permissioned,full planning permission,BLR81,,
Maybrey Business Park Worsley Bridge Road London SE26 5AZ,yes,,2019-10-20,,0.600,159,159,,local-authority-eng:BRY,,2018-07-16,,permissioned,full planning permission,BLR82,,
15 Bromley Common Bromley BR2 9LS,yes,,2019-10-20,,0.059,9,9,,local-authority-eng:BRY,,2018-07-20,,permissioned,full planning permission,BLR83,,
129 High Street Penge London SE20 7DS,yes,,2019-10-20,,0.018,6,6,,local-authority-eng:BRY,,2018-07-25,,permissioned,full planning permission,BLR84,,
County House 241 Beckenham Road Beckenham BR3 4FD,yes,,2019-10-20,,0.218,7,7,,local-authority-eng:BRY,,2018-08-09,,permissioned,full planning permission,BLR85,,
67 Bromley Road Beckenham BR3 5PA,yes,,2019-10-20,,0.133,7,7,,local-authority-eng:BRY,,2018-08-10,,permissioned,full planning permission,BLR86,,
Land Adjacent To Bromley College London Road Bromley,yes,,2019-10-20,,0.300,24,24,,local-authority-eng:BRY,,2018-09-25,,permissioned,full planning permission,BLR87,,
Tahoma Lodge 70 Lubbock Road Chislehurst BR7 5JX,yes,,2019-10-20,,0.180,5,5,,local-authority-eng:BRY,,2018-10-11,,permissioned,full planning permission,BLR88,,
