site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"14 Westfield Lane, St Leonards",yes,,2018-12-17,,0.33,14,14,,local-authority-eng:HAS,owned by a public authority,,,not permissioned,,BL22,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL22.pdf,2017-12-15
"Century House, Menzies Road, St Leonards",,,2018-12-17,,0.10,37,37,,local-authority-eng:HAS,not owned by a public authority,,,not permissioned,,BL23,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL23.pdf,2017-12-15
"12-13 York Buildings, Wellington Place, Hastings",yes,,2018-12-17,,0.02,6,6,Alteration works to ground floor stair and to three upper storeys of existing building and conversion into six flats for residential accommodation (Application HS/LB/16/00661 also applies),local-authority-eng:HAS,owned by a public authority,2017-01-20,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_103972,permissioned,full planning permission,BL27,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL27.pdf,2017-12-15
"The Grove School (Former St Leonards Academy, Darwell Campus, Darwell Close), St Leonards",,,2018-12-17,,9.40,240,210,"Outline application for the erection of up to 210 dwellings (25% affordable) with associated open space, play areas, landscaping and access.",local-authority-eng:HAS,owned by a public authority,2017-11-17,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_102356,permissioned,outline planning permission,BL28,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL28.pdf,2017-12-15
"Kings Head Inn, 61 Rye Road, Hastings",yes,,2018-12-17,,0.17,12,12,,local-authority-eng:HAS,not owned by a public authority,2018-05-02,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_104514,permissioned,full planning permission,BL29,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL29.pdf,2017-12-15
"1 & 2 Wayside, 490-492 Sedlescombe Road North, St Leonards",yes,,2018-12-17,,0.19,5,5,Refused planning permission for 6 dwellings,local-authority-eng:HAS,not owned by a public authority,,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_105013,not permissioned,,BL31,https://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL31.pdf,2017-12-15
"309-311 Harold Road, Hastings",yes,,2018-12-17,,0.09,7,6,,local-authority-eng:HAS,not owned by a public authority,2018-11-23,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_115587,permissioned,full planning permission,BL33,http://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL33.pdf,2018-12-17
"Cinques Port Way (Former Stamco Timber Yard and TA Centre), St Leonards",,,2018-12-17,,0.65,25,25,,local-authority-eng:HAS,not owned by a public authority,,,not permissioned,,BL34,http://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL34.pdf,2018-12-17
"Part of the former Spyway School Buildings, Hollington Park School Grounds, Gillsmans Hill, St Leonards-on-sea",,,2018-12-17,,0.32,8,8,,local-authority-eng:HAS,not owned by a public authority,2018-05-24,http://publicaccess.hastings.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_HSTBC_DCAPR_105161,permissioned,outline planning permission,BL35,http://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL35.pdf,2018-12-17
"Spyways School, Gillsmans Hill, St Leonards",,,2018-12-17,,0.72,25,25,,local-authority-eng:HAS,not owned by a public authority,,,not permissioned,,BL36,http://www.hastings.gov.uk/content/planning/planning_policy/pdfs/BL36.pdf,2018-12-17
