site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Ilex House Fishponds Road Wokingham Berkshire RG41 2GY,yes,,2017-11-17,,0.25,45,45,,local-authority-eng:WOK,not owned by a public authority,2016-09-21,,permissioned,other,BR077,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
21-26 Tape Lane Hurst RG10 0DP .,yes,,2017-11-17,,0.37,11,11,,local-authority-eng:WOK,not owned by a public authority,2016-12-06,,permissioned,full planning permission,BR078,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
The Cabin Rear Of 85 Kiln Ride Finchampstead RG40 3PJ,yes,,2017-11-17,,0.4,1,1,,local-authority-eng:WOK,not owned by a public authority,2017-08-02,,permissioned,full planning permission,BR083,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Worleys Farm Worleys Lane Wargrave Wokingham RG10 8PA,yes,,2017-11-17,,0.3,2,2,,local-authority-eng:WOK,not owned by a public authority,2016-12-08,,permissioned,full planning permission,BR085,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
19 Pine Drive Finchampstead RG40 3LD,yes,,2017-11-17,,0.59,1,1,,local-authority-eng:WOK,not owned by a public authority,2016-12-13,,permissioned,full planning permission,BR087,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Gravelly Bridge Farmhouse Grazeley Green Road Grazeley RG7 1LG .,yes,,2017-11-17,,0.4,1,1,,local-authority-eng:WOK,not owned by a public authority,2017-02-14,,permissioned,full planning permission,BR092,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Unit 3 Cutbush Court Danehill RG6 4UW .,yes,,2017-11-17,,0.0195,6,6,,local-authority-eng:WOK,not owned by a public authority,2017-02-28,,permissioned,other,BR098,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Land at 56a, 58, 60 Finchampstead Road, Earley RG6 7JU",yes,,2017-11-17,,0.22,6,6,,local-authority-eng:WOK,not owned by a public authority,2017-05-12,,permissioned,full planning permission,BR102,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"North Wokingham - Matthewsgreen Farm, Phase 3",yes,,2017-11-17,,,93,93,,local-authority-eng:WOK,not owned by a public authority,2017-07-17,,permissioned,reserved matters approval,BR104,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Land At, Arborfield Garrison Biggs Lane Arborfield Parcel H, I and J",yes,,2017-11-17,,,179,179,,local-authority-eng:WOK,not owned by a public authority,2017-07-25,,permissioned,reserved ?matters approval,BR106,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
Willow Haven Loddon Drive Wargrave Wokingham RG10 8HD,yes,,2017-11-17,,0.8,1,1,,local-authority-eng:WOK,not owned by a public authority,2017-08-02,,permissioned,full planning permission,BR107,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Former Fosters Home for the Elderly, Fosters Lane, Woodley",yes,,2017-11-17,,0.51,34,34,,local-authority-eng:WOK,not owned by a public authority,2014-10-15,,permissioned,full planning permission,BR113,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Youngs Farm, Kenton Lane, Upper Culham",yes,,2017-11-17,,0.5,1,1,,local-authority-eng:WOK,not owned by a public authority,2014-12-19,,permissioned,full planning permission,BR138,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Beechtree Farm, Henley Road",yes,,2017-11-17,,2.2,1,1,,local-authority-eng:WOK,not owned by a public authority,2015-10-17,,permissioned,full planning permission,BR144,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"269 Headley Road East, Woodley",yes,,2017-11-17,,0.3,1,1,,local-authority-eng:WOK,not owned by a public authority,2015-01-21,,permissioned,full planning permission,BR146,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
25 Sandy Lane,yes,,2017-11-17,,0.25,1,1,,local-authority-eng:WOK,not owned by a public authority,2015-02-10,,permissioned,full planning permission,BR150,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
20 Aborfield Road,yes,,2017-11-17,,0.75,1,1,,local-authority-eng:WOK,not owned by a public authority,2015-03-26,,permissioned,full planning permission,BR155,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Land at Market Place, Peach St & Rose St, Wokingham",yes,,2017-11-17,,1.09,26,26,,local-authority-eng:WOK,not owned by a public authority,2015-03-05,,permissioned,full planning permission,BR156,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Green Isle, Wargave Road",yes,,2017-11-17,,0.28,1,1,,local-authority-eng:WOK,not owned by a public authority,2015-04-30,,permissioned,full planning permission,BR160,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Sanagree, Little Hill Road",yes,,2017-11-17,,1.86,1,1,,local-authority-eng:WOK,not owned by a public authority,2015-02-13,,permissioned,full planning permission,BR161,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Queen Victoria, Blakes Lane, Hare Hatch",yes,,2017-11-17,,0.49,1,1,,local-authority-eng:WOK,not owned by a public authority,2015-05-06,,permissioned,full planning permission,BR167,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Hilltop Yard, Crest Close",yes,,2017-11-17,,0.3,1,1,,local-authority-eng:WOK,not owned by a public authority,2015-08-20,,permissioned,full planning permission,BR173,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Land at The Manor, Brookers Hill, Shinfield",yes,,2017-11-17,,8.43,126,126,,local-authority-eng:WOK,not owned by a public authority,2017-06-03,,permissioned,reserved matters approval,BR175,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Land at 146 London Road, Ruscombe",yes,,2017-11-17,,0.82,17,17,,local-authority-eng:WOK,not owned by a public authority,2015-08-19,,permissioned,outline planning permission,BR177,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Land At, Arborfield Garrison (Crest)",yes,,2017-11-17,,167.03,1108,1108,,local-authority-eng:WOK,not owned by a public authority,2015-04-02,,permissioned,outline planning permission,BR180,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Carnival Pool, Wellington Rd, Wokingham",yes,,2017-11-17,,2.23,55,55,,local-authority-eng:WOK,owned by a public authority,2015-08-05,,permissioned,outline planning permission,BR182,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Marlborough House, Basingstoke Rd, Spencers Wood. RG7 1AE",yes,,2017-11-17,,0.25,15,15,,local-authority-eng:WOK,not owned by a public authority,2016-06-24,,permissioned,full planning permission,BR183,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-08-18
"Ritza Plaza House, 9 Easthampstead Road, Wokingham",yes,,2017-11-29,,,10,4,,local-authority-eng:WOK,not owned by a public authority,,,not permissioned,,BR189,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-11-29
"Exa House, Elms Road, Wokingham",yes,,2017-11-29,,0.135,18,18,,local-authority-eng:WOK,owned by a public authority,,,not permissioned,,BR190,http://planning.wokingham.gov.uk/FastWebPL/welcome.asp,2017-11-29
