site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"BT Building and Newgate House, St John's Street, Chester",,,2017-12-21,,0.322,29,29,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,CHC/0032,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Loves Garage, Garden Lane, Chester",,,2017-12-21,,0.136,6,6,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,CHC/0034,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land at Bollands Court, Commonhall Street, Chester",,,2018-12-30,,0.302,15,15,24 town houses and apartments and ground floor shop on corner plot.,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,CHC/0058,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"104 Watergate Street, Chester, CH1 2LF",,,2018-12-30,,0.03,9,9,"Conversion of building to form nine (9) self contained flats. (2x1bed and 3x2bed flats, 4xbedsits)",local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,CHC/0072,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"35 Eastgate Street, Chester, CH1 1LG",yes,,2018-12-30,,0.017,5,5,17/01670/FUL. change of use from offices to 5 apartments over three storeys,local-authority-eng:CHW,not owned by a public authority,2017-06-16,,permissioned,full planning permission,CHC/0100,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"14 - 20 Watergate Street, Chester (within boundary of CHC/0008/H)",yes,,2018-12-30,,0.098,23,23,16/00580/FUL. Change of use / conversion / extension to / part-demolition of for mixed-use development incorporating retail (Use Class A1) / residential (23 apartments) (Use Class C3) / food and beverage (Use Class A3). HELAA capacity = 25 dwellings,local-authority-eng:CHW,mixed ownership,2018-04-19,,permissioned,full planning permission,CHC/0120,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
Clemence House St Werburgh Street Chester Cheshire CH1 2DY ,yes,,2017-12-21,,0.032,8,8,16/00844/FUL. Conversion of 2nd and 3rd floors into 8 apartments ,local-authority-eng:CHW,not owned by a public authority,2016-06-28,,permissioned,full planning permission,CHC/0163,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Car park off Hunter Street, Chester",yes,2019-12-01,2019-12-01,,0.08,70,70,15/04014/FUL. 77 self contained student units-Under construction,local-authority-eng:CHW,not owned by a public authority,2016-09-20,,permissioned,full planning permission,CHC/0176,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land at Volunteer Street, Chester",yes,,2018-12-30,,0.056,8,8,17/02631/FUL. demolition of warehouse and erection of four storey building for 8 apartments,local-authority-eng:CHW,not owned by a public authority,2017-08-10,,permissioned,full planning permission,CHC/0183,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"Concorde House, 6 Canal Street, Chester",yes,,2019-12-01,,0.087,32,32,18/03988/PDO. Change of use to residential apartments,local-authority-eng:CHW,not owned by a public authority,2019-02-22,,permissioned,full planning permission,CHC/0219,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2019-12-01
"White Lane Depot, White Lane, Christleton",,,2017-12-21,,0.265,7,7,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,CHV/0013,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"The Moorings, Rowton Bridge Road, G716Christleton, CH3 7AE",yes,,2017-12-21,,0.231,5,5,13/00999/FUL. Demolition of existing office buildings and erection of five (5) dwellings with associated parking and drive improvements,local-authority-eng:CHW,not owned by a public authority,2013-08-02,,permissioned,full planning permission,CHV/0092,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Christleton Hall, Pepper Street, Christleton, CH3 7AB",,2019-12-01,2019-12-01,,5.14,,,18/03803/FUL refused 25/01/2019. residential development of 42 dwellings,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,CHV/0126,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"Land at 44 Church Street, Shipbrook Road, Davenham",,,2018-12-30,,0.265,5,5,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,DAM/0038(a),http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land to side and rear of The Salt Museum, London Road, Northwich",,,2017-12-21,,0.259,18,18,Residential development,local-authority-eng:CHW,owned by a public authority,,,not permissioned,,DAM/0054(a),http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land at 618 London Road, Davenham",,,2017-12-21,,0.733,53,53,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,DAM/0072(a),http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Former Huntington Primary School, Butterbache Road, Huntington, Chester",yes,,2018-12-30,,0.143,,,Residential development,local-authority-eng:CHW,owned by a public authority,,,not permissioned,,DOH/0000,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"Land at Decoy Farm, Lache Lane, Marlston cum Lache, Chester",yes,,2017-12-21,,1.128,24,24,15/01429/OUT. Mixed use development comprising up to 24 dwellings and 24 commercial units with associated access. ,local-authority-eng:CHW,not owned by a public authority,2016-09-20,,permissioned,outline planning permission,DOH/0016,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Balderton Saw Mills, Welsh Road, Dodleston, CH4 9LF",,2019-12-01,2019-12-01,,1.67,,,Redevelopment of site for residential development of up to 25 dwellings-permission expired,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,DOH/0022,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"Lyndale Farm, Wrexham Road, Pulford, CH4 9DG",yes,,2018-12-30,,1.35,24,24,17/00049/OUT|17/05230/DIS. Construction of mixed use development up to 24 dwellings and 24 commercial units,local-authority-eng:CHW,not owned by a public authority,2017-11-24,,permissioned,outline planning permission,DOH/0052,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"CROMWELL ROAD - Phase 3 - Land north of Cromwell Road, Ellesmere Port (HH Roberts)",yes,,2018-12-30,,3.23,102,102,"14/00041/OUT. Residential development comprising up to 350 dwellings together with associated road infrastructure and open space (outline)-Phase 1a, 1b and 2 complete",local-authority-eng:CHW,not owned by a public authority,2015-03-20,,permissioned,outline planning permission,EPT/0038C,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"Wellington Road North car park, rear of 89 - 109 Cambridge Road, Ellesmere Port",,,2017-12-21,,0.821,26,26,Site in Middle;Outer hazard zone. Residential development,local-authority-eng:CHW,owned by a public authority,,,not permissioned,,EPT/0041,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"The Knot PH, Whitby Road, Ellesmere Port",,,2017-12-21,,0.242,9,9,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,EPT/0059,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land at Coronation Road (site of former leisure centre and office building), Stanney Lane, Ellesmere Port",,,2017-12-21,,2.018,30,30,Demolition of Former Leisure Centre Building - permission granted Local Authority surplus land / site HELAA capacity = 85 for wider site,local-authority-eng:CHW,owned by a public authority,,,not permissioned,,EPT/0063B,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land south of Cromwell Road (former PZ Cussons), Ellesmere Port",,,2017-12-21,,1.535,71,71,P/08/745 P/2008/102/ST/745. Erection of 71 Dwellings (Outline) (Demolition Of Existing Buildings),local-authority-eng:CHW,not owned by a public authority,2010-03-19,,permissioned,outline planning permission,EPT/0067,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"53 Whitby Road, Ellesmere Port CH65 8AB",yes,2019-12-01,2019-12-01,,0.05,10,10,16/02077/FUL. Conversion of first floor to mixed use drinking establishment (Use Class A4)/snooker hall (Use Class D2) (relocation from first floor) and one flat and conversion of first floor to form 9 flats (total 10 flats)-Complete,local-authority-eng:CHW,not owned by a public authority,2016-07-26,,permissioned,full planning permission,EPT/0096,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Agra Fort, 3 to 7 Cambridge Road, Ellesmere Port, CH65 8AB",yes,,2018-12-30,,0.3,8,8,17/02172/FUL. Conversion of building to provide residetial accommodtaion - 8no one-bed apartments,local-authority-eng:CHW,not owned by a public authority,2017-09-14,,permissioned,full planning permission,EPT/0117,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"Phoenix Social Club, Cromwell Road, Ellesmere Port, CH65 4AA",yes,2019-12-01,2019-12-01,,0.0162,20,20,17/02173/FUL. Conversion of first floor to dwelling use to create 20 bedsits/flats-Complete,local-authority-eng:CHW,not owned by a public authority,2017-12-08,,permissioned,full planning permission,EPT/0118,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"Grace Arms, Stanney Lane, Ellesmere Port",yes,2019-12-01,2019-12-01,,0.4,,,17/04425/FUL (withdrawn). 2no three-storey apartment blocks to provide 42no social rented units-refused,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,EPT/0126,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"Grosvenor Estate Yard, Middle Lane, Aldford, Chester CH3 6JA",,,2017-12-21,,0.661,8,8,"08/01294/FUL 11/04335/EXT. Re-organisation of existing estate yard, provision of new forestry building and conversion of existing storage barns into 8 affordable units with associated bins/cycle stores and parking areas ",local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,FAR/0054,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land at Bridge Lane, Frodsham",,,2019-12-01,,0.164,10,10,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,FRO/0037A,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2019-12-01
"Land off Greenfield Lane, Frodsham",,,2017-12-21,,0.371,11,11,Site in Outer hazard zone. Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,FRO/0038,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"29 Main Street, Frodsham",,,2019-12-01,,0.083,8,8,18/01239/OUT. 6 new dwellings and conversion to create 2 dwellings,local-authority-eng:CHW,not owned by a public authority,2018-11-20,,permissioned,outline planning permission,FRO/0040,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2019-12-01
"Land off Queensway, Frodsham",,,2018-12-30,,0.253,,,Residential development,local-authority-eng:CHW,owned by a public authority,,,not permissioned,,FRO/0041,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"Mersey View Club, Overton Hill, Bellemonte Road, Frodsham Cheshire WA6 6HH ",yes,,2017-12-21,,1.39,12,12,"14/03835/OUT. 12 Dwellings (4 affordable), Provision of Revised Car Parking Layout to existing Hotel, Revised Access, Provision of New Access and Open Space (demolition of existing buildings) ",local-authority-eng:CHW,not owned by a public authority,2015-11-19,,permissioned,outline planning permission,FRO/0054,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land to rear of Crane Bank Garage, Chester",,,2017-12-21,,0.184,12,12,Site in Middle;Outer hazard zone. Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,GAQ/0005,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Southern Tail development (remaining part of allocation), New Crane Street",,,2017-12-21,,0.656,31,31,Residential development,local-authority-eng:CHW,not owned by a public authority,,,not permissioned,,GAQ/0006,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Raymond House and Diocesan House, Raymond Street, Chester",yes,,2017-12-21,,0.049,10,10,15/02650/FUL. Change of use of existing buildings to form 18 bedroom student accommodation with ancillary rooms,local-authority-eng:CHW,not owned by a public authority,2015-10-14,,permissioned,full planning permission,GAQ/0024,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Council depot and garage court off Sutton Way, Ellesmere Port",,,2018-12-30,,0.377,,,Residential development,local-authority-eng:CHW,owned by a public authority,,,not permissioned,,GRA/0010,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Former school site (The Acorns Primary and Nursery), Pooltown Road, Ellesmere Port",,,2017-12-21,,0.455,59,59,Local Authority owned vacant site,local-authority-eng:CHW,owned by a public authority,,,not permissioned,,GRA/0012(a),http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Beechmoor Garden Centre / Shed sales, Whitchurch Road, Chester, Cheshire, CH3 5QD",,,2019-12-01,,0.929,111,111,17/03661/FUL allowed on appeal. Age restricted residential development,local-authority-eng:CHW,not owned by a public authority,2019-07-17,,permissioned,full planning permission,GRB/0034(a),http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Foxwood, Caldy Valley Road, Great Boughton Chester Cheshire CH3 5PR",yes,,2017-12-21,,0.198,7,7,15/01278/FUL. Demolition of existing bungalow and construction of 7no new two storey houses and associated garages and external works,local-authority-eng:CHW,not owned by a public authority,2016-02-10,,permissioned,full planning permission,GRB/0042,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"176 and 178 Chester Road, Northwich, CW8 4AL",,,2017-12-21,,0.103,10,10,"13/02368/OUT. Demolition of existing retail units and temporary buildings and re development of the site with residential accommodation, up to 10 units",local-authority-eng:CHW,not owned by a public authority,2013-08-23,,not permissioned,outline planning permission,HAG/0028,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Abbey Lodge, Abbey Lane, Hartford, CW8 1LX",yes,,2018-12-30,,0.438,8,8,16/03165/FUL (allowed on appeal). Demolition of existing dwelling and construction of 6no detached dwellings and pair of semi-detached dwellings,local-authority-eng:CHW,not owned by a public authority,2017-04-05,,permissioned,full planning permission,HAG/0065,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2018-12-30
"Land to rear of 45-51 Percy Road / 15-17 Eaton Road, Handbridge",,,2017-12-21,,0.294,8,8,Residential development,local-authority-eng:CHW,mixed ownership,,,not permissioned,,HAP/0030,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
"Land to rear of 2 -14 Bradford Street, Handbridge, Chester",yes,,2017-12-21,,0.141,5,5,"08/02031/FUL 13/02232/EXT. Demolition of existing depot shed, erection of five three bedroom terrace houses with parking and refuse collection point",local-authority-eng:CHW,not owned by a public authority,2016-01-12,,permissioned,full planning permission,HAP/0032,http://consult.cheshirewestandchester.gov.uk/portal/cwc_ldf/land/blr?tab=files,2017-12-21
