site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Queens Arms, Farnham Road, Ewshot, Farnham, GU10 5AU",yes,,2019-12-16,,0.26,9,9,Conversion and extension of building to form 9 residential units: change of use from B1 to C3. Previous application 17/02501/FUL for 9 units permitted 2018-04-27.,local-authority-eng:HAT,not owned by a public authority,2019-08-14,,permissioned,full planning permission,POINT(-0.833672 51.237508),19/01376/FUL,https://publicaccess.hart.gov.uk/online-applications/,2018-12-20
"The Oakmede And The Millmede, Minley Road, Fleet, Hampshire, GU51 2RB",yes,22/11/2019,2018-12-20,,0.25,14,14,Demolition of The Oakmede and outbuildings and the construction of two blocks of 7 flats each. Development under construction at April 2019.,local-authority-eng:HAT,not owned by a public authority,2018-06-27,,permissioned,full planning permission,POINT(-0.829103 51.294571),17/02492/FUL,https://publicaccess.hart.gov.uk/online-applications/,2018-12-20
"Rawlings Building, Station Road, Hook, RG27 9HU",yes,,2019-11-20,,1.13,56,56,"PP is for 37 retirement living apartments for older persons and 19 residential units, plus 68 C2 extra care units. New application 19/01783/FUL (same except C2 units increased to 75) undetermined at Dec 19.",local-authority-eng:HAT,not owned by a public authority,2019-03-29,,permissioned,full planning permission,POINT(-0.961059 51.278768),18/00110/FUL,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Imac Systems Ltd, Upper Street, Fleet, GU51 3PE",,,2019-11-14,,0.05,6,6,"17/02891/PREAPP for 6 dwgs, acceptable in principle. 18/02285/FUL for 8 dwgs refused 2019-03-25. Appeal in progress Dec 19.",local-authority-eng:HAT,not owned by a public authority,,,pending decision,,POINT(-0.841537 51.279561),18/02285/FUL,https://www.hart.gov.uk/Evidence-base#SHLAADocs,2017-12-22
"Land To The Rear Of, 140-148 Fleet Road, Fleet, GU51 4BE",,,2019-11-19,,0.21,12,12,12 dwgs figure taken from SHLAA. Site formerly in B1 use but all buildings demolished in 2014 and site now vacant. Application 18/02321/FUL for 14 flats undetermined at Dec 19. Site address revised from 140-150 to 140-148 Nov 19.,local-authority-eng:HAT,not owned by a public authority,,,pending decision,,POINT(-0.842446 51.282178),SHL192,https://www.hart.gov.uk/Evidence-base#SHLAADocs,2017-12-22
"Land south and east of Elvetham Heath Way, Elvetham Heath, Fleet",,,2019-11-15,,0.84,40,20,"Forms part of SHLAA site SHL104 (2.25 ha, 40 dwellings). Only the PDL element (the car park) is included here. 20 dwgs represents the PDL element at standard SHLAA ratios.",local-authority-eng:HAT,not owned by a public authority,,,not permissioned,,POINT(-0.872939 51.289409),SHL104,https://www.hart.gov.uk/Evidence-base#SHLAADocs,2017-12-22
"Lismoyne Hotel, 45 Church Road, Fleet, Hampshire, GU51 4NE",,,2017-12-22,,0.98,40,40,"Numbers taken from SHLAA, which suggests potential for 40-unit residential (C3 use) or a 70-unit care home (C2 use)",local-authority-eng:HAT,not owned by a public authority,,,not permissioned,,POINT(-0.845655 51.284035),SHL195,https://www.hart.gov.uk/Evidence-base#SHLAADocs,2017-12-22
"Admiral House, Harlington Way, Fleet, Hampshire, GU51 4YA",,,2017-12-22,,0.46,20,20,Numbers taken from SHLAA,local-authority-eng:HAT,not owned by a public authority,,,not permissioned,,POINT(-0.847441 51.279683),SHL208,https://www.hart.gov.uk/Evidence-base#SHLAADocs,2017-12-22
"Gefferys House, London Road, Hook, Hampshire, RG27 9EF",,,2018-12-20,,1.87,65,65,Numbers taken from SHLAA,local-authority-eng:HAT,not owned by a public authority,,,not permissioned,,POINT(-0.954733 51.28489),SHL047,,2018-12-20
"93 Fleet Road, Fleet, Hampshire, GU51 3PJ",,,2019-12-04,,0.17,10,10,14/02101/MAJOR granted 2014-11-20 (now lapsed) established principle of no. of dwgs.,local-authority-eng:HAT,not owned by a public authority,,,not permissioned,,POINT(-0.836563 51.285213),14/02101/MAJOR,https://publicaccess.hart.gov.uk/online-applications/,2017-12-22
"Poundworld Plus, 187 - 191 Fleet Road, Fleet, Hampshire, GU51 3BL",yes,,2019-12-04,,0.09,10,10,Change of use of first floor to 10 C3 flats.,local-authority-eng:HAT,not owned by a public authority,2018-11-09,,permissioned,full planning permission,POINT(-0.841588 51.282737),18/01637/FUL,https://publicaccess.hart.gov.uk/online-applications/,2019-12-04
"The Acorns, Rye Common, Odiham, Hook, Hampshire, RG29 1HU",yes,,2019-12-04,,0.48,2,2,Demolition of office/workshop building and construction of two new dwellings (amendments to 16/01568/FUL).,local-authority-eng:HAT,not owned by a public authority,2017-04-18,,permissioned,full planning permission,POINT(-0.903248 51.247038),17/00340/FUL,https://publicaccess.hart.gov.uk/online-applications/,2019-12-04
"Unit B, Lees Buildings, Alton Road, South Warnborough, Hook, Hampshire, RG29 1RZ",yes,,2019-12-04,,0.7,3,3,Change of Use from Premises in Light Industrial Use (Class B1(c)) to Dwellinghouses (Class C3).,local-authority-eng:HAT,not owned by a public authority,2018-06-19,,permissioned,other,POINT(-0.964149 51.223026),17/02569/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2019-12-04
"Building A, Lees Buildings, Alton Road, South Warnborough, Hook, Hampshire, RG29 1RZ",yes,,2019-12-04,,0.41,4,4,Change of Use from Premises in Light Industrial Use (Class B1(c)) to 4 x 2 bedroom Dwellinghouses (Class C3).,local-authority-eng:HAT,not owned by a public authority,2018-12-20,,permissioned,other,POINT(-0.963974 51.223196),18/01754/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2019-12-04
"Steel Frame Building, Lees Buildings, Alton Road, South Warnborough, Hook, Hampshire, RG29 1RZ",yes,,2019-12-04,,0.41,6,6,Change of Use from Premises in Light Industrial Use (Class B1(c)) to 6 x 2 bedroom Dwellinghouses (Class C3).,local-authority-eng:HAT,not owned by a public authority,2018-12-20,,permissioned,other,POINT(-0.963974 51.223196),18/01755/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2019-12-04
"Regus, Centaur House, Ancells Road, Fleet, Hampshire, GU51 2UJ",,,2019-12-04,,0.51,38,38,Change of use of offices (class B1(a)) to dwellinghouse (class C3) to create 38 dwellings. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. Permission lapses 2022-03-26.,local-authority-eng:HAT,not owned by a public authority,2019-03-26,,permissioned,other,POINT(-0.820388 51.297039),19/00272/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2019-12-04
"One Fleet, Ancells Road, Fleet, Hampshire, GU51 2UN",,,2019-12-04,,0.63,28,28,Change of use of offices (class B1(a)) to dwellinghouse (class C3) to create 28 dwellings. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. Permission lapses 2022-03-26.,local-authority-eng:HAT,not owned by a public authority,2019-03-26,,permissioned,other,POINT(-0.819798 51.296538),19/00279/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2019-12-04
"EDS Ltd, Hartley House, Bartley Wood Business Park, 15 Bartley Way, Hook, Hampshire, RG27 9XA",,,2019-12-04,,0.7,37,37,Change of use of offices (class B1(a)) to dwellinghouse (class C3) to create 37 dwellings. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. Permission lapses 2021-11-28.,local-authority-eng:HAT,not owned by a public authority,2018-11-28,,permissioned,other,POINT(-0.950903 51.279712),18/02263/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2019-12-04
"Hook A, Bartley Wood Business Park, Bartley Way, Hook, Hampshire, RG27 9XA",,,2019-12-04,,1.02,41,41,Change of use of offices (class B1(a)) to dwellinghouse (class C3) to create 41 dwellings. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. Permission lapses 2022-01-03.,local-authority-eng:HAT,not owned by a public authority,2019-01-03,,permissioned,other,POINT(-0.956531 51.278144),18/02551/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2019-12-04
"1 - 3 Bartley Wood Business Park, Bartley Way, Hook, Hampshire, RG27 9XA",,,2019-12-04,,0.75,37,37,Change of use of offices (class B1(a)) to dwellinghouse (class C3) to create 37 dwellings. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. Permission lapses 2022-01-03.,local-authority-eng:HAT,not owned by a public authority,2019-01-03,,permissioned,other,POINT(-0.955193 51.278312),18/02552/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2019-12-04
"EDS Ltd, Unit D, 7 Bartley Wood Business Park, Bartley Way, Hook, Hampshire, RG27 9XA",,,2019-12-04,,0.91,55,55,Change of use of offices (class B1(a)) to dwellinghouse (class C3) to create 55 dwellings. Site covered by Article 4 Direction removing right to change from B1 to C3 with effect from 2019-05-06. Permission lapses 2022-01-03.,local-authority-eng:HAT,not owned by a public authority,2019-01-03,,permissioned,other,POINT(-0.953691 51.280061),18/02553/PRIOR,https://publicaccess.hart.gov.uk/online-applications/,2019-12-04
