site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Derby Street Auction Rooms,,,2017-09-29,,0.22,6,6,"Site historically a SHLAA site - Site vacant (P/2011/00272/MB - 2011 Application for the erection of a 61 bedroomed residential nursing home (Class C2) , never implemented)",local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR16,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
60-62 Queen Street,,,2017-09-29,,0.10,3,3,"Site historically a SHLAA site - Site currently occupied (OU/06274/014 - 2007 Application for Outline application for residential development including means of access, never implemented)",local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR17,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Uttoxeter Highways Depot,,,2017-09-29,,0.87,30,30,"Site historically a SHLAA site - Site could become vacant as new recycling centre now open (P/2010/01298/JPM - 2010 Application for the erection of upto 30 dwellings, never implemented). Outline application for the erection of up-to 30 dwellings",local-authority-eng:EST,owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,Not Permissioned,,ESBC-BR18,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
132 Derby Street Burton,yes,,2017-09-29,,0.13,8,8,Site included in the Housing Permissions - Not yet commenced. Conversion of existing buildings to form 8 dwellings,local-authority-eng:EST,not owned by a public authority,2015-03-30,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR19,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
36 Derby Road Burton,yes,,2017-09-29,,0.10,10,10,Site included in the Housing Permissions - Not yet commenced. Erection of 7 dwellings and conversion and extension of existing building to form 3 flats,local-authority-eng:EST,not owned by a public authority,2015-01-30,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR20,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Proposed Residential Development Victoria Crescent,yes,,2017-09-29,,0.91,47,47,"Site included in the Housing Permissions - Under Construction but no residential completions on site yet. Demolition of existing warehouse building, storage tanks and electricity sub-station to facilitate the erection of 47 dwellings",local-authority-eng:EST,not owned by a public authority,2017-01-24,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR21,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
43 High Street Burton,yes,,2017-09-29,,0.02,8,8,Site included in the Housing Permissions - Under Construction but no residential completions on site yet,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,,ESBC-BR22,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
The Refinery,yes,,2017-09-29,,0.04,10,10,Site included in the Housing Permissions - Under Construction but no residential completions on site yet,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,,ESBC-BR23,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Britannia House,yes,,2017-09-29,,0.09,6,6,Site included in the Housing Permissions - Not yet commenced. Change of use of first floor offices (Class B1a) to form six flats (Class C3),local-authority-eng:EST,not owned by a public authority,2014-05-16,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,Other,ESBC-BR24,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
146 and 146A Horninglow Street,yes,,2017-09-29,,0.04,5,5,Site included in the Housing Permissions - Not yet commenced. Conversion of existing building to 2 self contained flats and the erection of 3 self contained flats,local-authority-eng:EST,not owned by a public authority,2014-10-14,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR25,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
The Appleby Burton,yes,,2017-09-29,,0.10,9,9,Site included in the Housing Permissions - Not yet commenced. Demolition of part of existing public house to facilitate the conversion to form 6 self contained flats and erection of a detached building to form 3 self contained flats to rear,local-authority-eng:EST,not owned by a public authority,2015-01-14,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR26,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
126 New Street Burton,yes,,2017-09-29,,0.14,7,7,"Site included in the Housing Permissions - Not yet commenced. Conversion of the first, second and third floors to form seven self contained apartments",local-authority-eng:EST,not owned by a public authority,2016-08-01,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR27,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
The Old Sunday School Burton,yes,,2017-09-29,,0.07,1,1,Site included in the Housing Permissions - Not yet commenced. Conversion of the rear section of Old Sunday School to a 12 unit House in Multiple Occupation (HMO) (Class C4) and provision of cycle shelter and bin store,local-authority-eng:EST,not owned by a public authority,2016-11-21,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR28,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Rear of 143 Horninglow Street,yes,,2017-09-29,,0.38,32,32,Site included in the Housing Permissions - Not yet commenced. Conversion and alterations to the Plough Maltings to form 32 apartments,local-authority-eng:EST,not owned by a public authority,2016-12-08,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR29,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Rear of 38-54 Bridge Street,yes,,2017-09-29,,0.20,14,14,Site included in the Housing Permissions - Under Construction but no residential completions on site yet,local-authority-eng:EST,not owned by a public authority,,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,,ESBC-BR30,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Wellington Inn,yes,,2017-09-29,,0.15,5,5,Site included in the Housing Permissions - Not yet commenced. Erection of four detached bungalows and one detached dwelling,local-authority-eng:EST,not owned by a public authority,2014-12-03,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR31,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Uttoxeter Household Waste Site,yes,,2017-09-29,,1.45,49,49,Site included in the Housing Permissions - Not yet commenced. Erection of 49 dwellings,local-authority-eng:EST,not owned by a public authority,2016-02-25,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR32,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Tutbury Mill Mews,yes,,2017-09-29,,0.01,5,5,Site included in the Housing Permissions - Not yet commenced. Conversion of existing first floor retail space and existing second/third floor apartment to form five self contained apartments,local-authority-eng:EST,not owned by a public authority,2014-07-07,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR33,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Howards Transport,yes,,2017-09-29,,2.56,86,86,Site included in the Housing Permissions - Not yet commenced. Outline application for residential purposes (up to 86 dwellings),local-authority-eng:EST,not owned by a public authority,2016-11-29,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,outline planning permission,ESBC-BR34,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Proposed Residential Development Phase 1 Rose Cottage Gardens,yes,,2017-09-29,,0.09,5,5,Site included in the Housing Permissions - Not yet commenced. Demolition of existing garages to facilitate the erection of 5 dwellings,local-authority-eng:EST,not owned by a public authority,2014-10-15,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR35,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Model Dairy Farm,yes,,2017-09-29,,3.42,78,78,Site included in the Housing Permissions - Not yet commenced - Reserved Matters application submitted May 2017. Outline application to develop land by the erection of up to 84 dwellings,local-authority-eng:EST,not owned by a public authority,2014-05-16,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,outline planning permission,ESBC-BR36,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Land adjacent to Eastfield Uttoxeter,yes,,2017-09-29,,0.17,25,25,Site included in the Housing Permissions - Not yet commenced. Erection of a detached building to form 24 sheltered accommodation apartments for the elderly with 1 apartment for warden accommodation,local-authority-eng:EST,not owned by a public authority,2014-11-11,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,full planning permission,ESBC-BR37,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
Eyes Farm Bungalow,yes,,2017-09-29,,0.63,16,16,Site included in the Housing Permissions - Not yet commenced - Reserved Matters application approved 07/04/2017. Reserved matters for the erection of 16 dwellings,local-authority-eng:EST,not owned by a public authority,2017-04-07,http://www.eaststaffsbc.gov.uk/planning/applications-and-decisions/applications-and-appeals,permissioned,reserved matters approval,ESBC-BR38,http://www.eaststaffsbc.gov.uk/planning/planning-policy,2017-09-29
