site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Site of Former 41 Sunningvale Avenue Sunningvale Close TN16 3BX,yes,,2018-05-22,,0.3,8,8,,local-authority-eng:BRY,,2017-07-20,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OPGSOVBTMOL00,permissioned,full planning permission,POINT(0.03006 51.317299),BLR19,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OPGSOVBTMOL00,
Bromley Common Liveries Cameron Buildings Bromley Common Bromley BR2 8HA,yes,,2018-05-22,,2.9,9,9,,local-authority-eng:BRY,,2015-01-14,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NBB9Y6BTJX000,permissioned,outline planning permission,POINT(0.039413 51.380969),BLR20,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NBB9Y6BTJX000,
Ravensbourne Westerham Road BR2 6HE,yes,,2018-05-22,,0.4,7,7,,local-authority-eng:BRY,,2015-12-10,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NVU40JBTJKI00,permissioned,full planning permission,POINT(0.036962 51.362973),BLR21,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NVU40JBTJKI00,
H G Wells Centre St Marks Road BR2 9HG,yes,,2018-05-22,,0.08,52,52,,local-authority-eng:BRY,,2015-08-13,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MU5H71BT0GG00,permissioned,full planning permission,POINT(0.018665 51.399358),BLR22,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MU5H71BT0GG00,
7 Sandford Road BR2 9AL,yes,,2018-05-22,,,5,5,,local-authority-eng:BRY,,2016-11-30,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEM205BTIIQ00,permissioned,full planning permission,POINT(0.017155 51.397703),BLR23,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OEM205BTIIQ00,
33 Hammelton Road BR1 3PZ,yes,,2018-05-22,,,5,5,,local-authority-eng:BRY,,2017-03-03,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIIVHDBTJYY00,permissioned,full planning permission,POINT(0.013394 51.410276),BLR24,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIIVHDBTJYY00,
9 London Road BR1 1BY,yes,,2018-05-22,,0.05,6,6,,local-authority-eng:BRY,,2016-11-02,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2XRG2BTLWI00,permissioned,full planning permission,POINT(0.010922 51.408017),BLR25,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O2XRG2BTLWI00,
Upfield Hillbrow Road BR1 4JL,yes,,2018-05-22,,0.1,6,6,,local-authority-eng:BRY,,2016-11-02,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFJDYBBTITB00,permissioned,full planning permission,POINT(0.000207 51.417175),BLR26,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OFJDYBBTITB00,
7 Beckenham Lane BR2 0DA,yes,,2018-05-22,,8,7,7,,local-authority-eng:BRY,,2017-01-20,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O2KST8BTLSO00,permissioned,full planning permission,POINT(0.008567 51.406438),BLR27,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O2KST8BTLSO00,
Ravensbourne Westerham Road BR2 6HE,yes,,2018-05-22,,0.39,7,7,,local-authority-eng:BRY,,2015-12-10,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NVU40JBTJKI00,permissioned,full planning permission,POINT(0.036962 51.362973),BLR28,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NVU40JBTJKI00,
Hasells Nursery Jackson Road BR2 8NS,yes,,2018-05-22,,0.7,9,9,,local-authority-eng:BRY,,2017-08-10,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OGZBEUBTJC900,permissioned,full planning permission,POINT(0.049876 51.374888),BLR29,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OGZBEUBTJC900,
Ontario Centre Helegan Close BR6 9XJ,yes,,2018-05-22,,0.18,14,14,,local-authority-eng:BRY,,2017-05-19,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OIS4TNBTK2800,permissioned,outline planning permission,POINT(0.094964 51.364782),BLR30,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OIS4TNBTK2800,
63-65 Chislehurst Road BR7 5NP,yes,,2018-05-22,,0.035,5,5,,local-authority-eng:BRY,owned by a public authority,2016-09-14,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O3CKSKBTM3600,permissioned,full planning permission,POINT(0.055888 51.40774),BLR31,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O3CKSKBTM3600,
L'Ancresse Hayne Road BR3 4HY,yes,,2018-05-22,,0.08,5,5,,local-authority-eng:BRY,,2017-02-06,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O3RE4XBTMAT00,permissioned,full planning permission,POINT(-0.032821 51.410315),BLR32,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O3RE4XBTMAT00,
3 Beckenham Road BR3 4ES,yes,,2018-05-22,,0.1,8,8,,local-authority-eng:BRY,,2016-12-22,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OD0NE3BTHXJ00,permissioned,full planning permission,POINT(-0.03266 51.407029),BLR33,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OD0NE3BTHXJ00,
The Elms Westbury Road BR3 4DD,yes,,2018-05-22,,0.07,8,8,,local-authority-eng:BRY,,2017-06-30,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMFM3TBTLDP00,permissioned,full planning permission,POINT(-0.040565 51.401388),BLR34,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OMFM3TBTLDP00,
Adj To 22 Southend Road BR3 1SD,yes,,2018-05-22,,0.046,7,7,,local-authority-eng:BRY,,2015-04-21,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NHWD6XBTJX000,permissioned,full planning permission,POINT(-0.023761 51.412986),BLR35,https://searchapplications.bromley.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NHWD6XBTJX000,
