site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Drill Service Ltd, 89 Albert Road, Horley",yes,,2019-12-31,,0.09,7,7,"Conversion of existing ground floor commercial property, alterations to existing first and second floor residential properties and single storey side extension to create 3 no. 1-bed, 3 no. 2-bed and 1 no. 3-bed flats.",local-authority-eng:REI,not owned by a public authority,2019-09-17,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001FYCMVLI000,permissioned,outline planning permission,RBBCBLR130,http://www.reigate-banstead.gov.uk/downloads/file/5946/rbbcblr130,2019-12-31
"Land R/O 127-139 Ruden Way, Epsom Downs",yes,,2019-12-31,,0.30,4,4,Demolition of no.s 129 and 131 Ruden Way and the erection of 6 new detached dwellings with access from Ruden Way together with car parking.,local-authority-eng:REI,not owned by a public authority,2019-11-29,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000FALMVLI000,permissioned,outline planning permission,RBBCBLR131,http://www.reigate-banstead.gov.uk/downloads/file/5947/rbbcblr131,2019-12-31
"Warwick House, 67 Station Road, Redhill",yes,,2019-12-31,,0.20,56,56,Change of use to 56 residential flats.,local-authority-eng:REI,not owned by a public authority,2019-11-21,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IVG16ZMVR5005,permissioned,other,RBBCBLR132,http://www.reigate-banstead.gov.uk/downloads/file/5948/rbbcblr132,2019-12-31
"Berkley House, Redhill",,,2019-12-31,,0.13,,,The site is located in the secondary retail frontage of Redhill town centre. Development would need to retain the active retail frontage.,local-authority-eng:REI,not owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000OLEMVLI000,Not permissioned,,RBBCBLR133,http://www.reigate-banstead.gov.uk/downloads/file/5949/rbbcblr133,2019-12-31
"Cambridge Hotel, Horley",yes,,2019-12-31,,0.53,20,20,The site is comprised of the main hotel a large Grade II Listed Building and a smaller building to the rear of the existing hotel which is a Grade II Listed Curtilage Building. The site promoter has suggested conversion of the existing building into 20 residential units. This has not been reality-checked. The site is located within the Green Belt and any wider redevelopment of the site (other than the conversion of the listed buildings) would need to comply with Paragraph 145(g) of the revised NPPF. The site is located within Flood Zones 2 and 3.,local-authority-eng:REI,mixed ownership,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0015IHMVLI000,Not permissioned,,RBBCBLR134,http://www.reigate-banstead.gov.uk/downloads/file/5950/rbbcblr134,2019-12-31
"Collingwood Batchelor, 46-48 Victoria Road, Horley",yes,,2019-12-31,,0.17,40,40,"The site promoter has suggested the retention of the retail/ office/ storage uses and the development of 40 1- and 2-bed units above. The feasibility of this development has not been reality-checked as part of this application. The site is located within the primary frontage of Horley town centre, development would therefore need to retain retail uses and an active retail frontage.",local-authority-eng:REI,mixed ownership,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000YPQMVLI000,Not permissioned,,RBBCBLR135,http://www.reigate-banstead.gov.uk/downloads/file/5951/rbbcblr135,2019-12-31
"Former Park Hall Nursing Home, Reigate",yes,,2019-12-31,,1.50,25,25,,local-authority-eng:REI,owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000XQLMVLI000,Not permissioned,,RBBCBLR136,http://www.reigate-banstead.gov.uk/downloads/file/5952/rbbcblr136,2019-12-31
"Redhill Family Centre, 134-148 Station Road, Redhill",yes,,2019-12-31,,0.14,10,10,,local-authority-eng:REI,owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000I74MVLI000,Not permissioned,,RBBCBLR137,http://www.reigate-banstead.gov.uk/downloads/file/5953/rbbcblr137,2019-12-31
"Wray Park, Reigate",yes,,2019-12-31,,2.90,120,120,"A larger part of the site has been promoted for redevelopment, this includes the St David’s recreation ground. The wider site includes two areas of Urban Area of Open Space.",local-authority-eng:REI,owned by a public authority,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=HVUKMPMVR5000,Not permissioned,,RBBCBLR138,http://www.reigate-banstead.gov.uk/downloads/file/5954/rbbcblr138,2019-12-31
"Gasholder Site, Hooley Lane, Redhill",yes,,2019-12-31,,0.93,25,25,,local-authority-eng:REI,mixed ownership,,https://planning.reigate-banstead.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PM1JHJMV0FL00,Not permissioned,,RBBCBLR139,http://www.reigate-banstead.gov.uk/downloads/file/5955/rbbcblr139,2019-12-31
