site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Land To The Rear Of 337 To 359 Middlewood Road Sheffield S6 1TH,yes,,2017-12-12,,0.07,6,6,Estimated to comprise of 6 Apartments,local-authority-eng:SHF,not owned by a public authority,2016-02-09,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NKA785NYFY000,permissioned,full planning permission,S02856,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Land Between Athol Road And Smithy Wood Road Athol Road Sheffield,yes,,2017-12-12,,0.24,14,14,Estimated to comprise of 9 Apartments and 5 Houses,local-authority-eng:SHF,not owned by a public authority,2016-04-07,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O0J071NYFY000,permissioned,full planning permission,S03278,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
"Musgrave Road, Shirecliffe",yes,,2017-12-12,,0.44,16,16,Estimated to comprise of 16 Houses,local-authority-eng:SHF,owned by a public authority,2015-07-08,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NM6KLGNY0JJ00,permissioned,full planning permission,S03262,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Junction Road,yes,,2017-12-12,,0,17,17,Estimated to comprise of 17 Houses,local-authority-eng:SHF,not owned by a public authority,2016-09-21,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NS8XE0NYFY000,permissioned,full planning permission,S03220,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Land At 7-17 Copper Street And 26-34 Trinity Street Sheffield S3,,,2017-12-12,,0.19,26,26,Estimated to comprise of 4 Apartments and 22 Houses,local-authority-eng:SHF,not owned by a public authority,2016-06-23,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O5MBUVNYFY000,permissioned,full planning permission,S02906,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Land At Main Road Ross Street And Whitwell Street Sheffield S9 4QL,,,2017-12-12,,0.61,28,28,Estimated to comprise of 28 Houses,local-authority-eng:SHF,not owned by a public authority,2016-02-25,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NWW25VNYFY000,permissioned,full planning permission,S02858,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
The Market Inn 18 Wortley Road High Green Sheffield S35 4LU,yes,,2017-12-12,,0.72,16,16,Estimated to comprise of 16 Houses,local-authority-eng:SHF,not owned by a public authority,2017-01-30,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ODV0HWNYN0900,permissioned,full planning permission,S02857,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Site Of Motehall Hotel Motehall Road Sheffield S2 1RA,yes,,2017-12-12,,0.13,9,9,Estimated to comprise of 9 Houses,local-authority-eng:SHF,owned by a public authority,2016-01-18,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NY9TV9NYFY000,permissioned,full planning permission,S02847,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
The Old Dairy Broadfield Road Sheffield S8 0XQ,yes,,2017-12-12,,0.06,9,9,Estimated to comprise of 9 Apartments,local-authority-eng:SHF,not owned by a public authority,2015-12-15,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NWIKF6NY0LV00,permissioned,full planning permission,S02817,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
Park Gardeners Club And Institute Cricket Inn Road Sheffield S2 5AT,yes,,2017-12-12,,0.44,38,38,Estimated to comprise of 38 Apartments,local-authority-eng:SHF,not owned by a public authority,2015-12-24,https://planningapps.sheffield.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NURWFTNYFY000,permissioned,full planning permission,S02811,https://www.sheffield.gov.uk/content/sheffield/home/planning-development/housing-land-sites.html,2017-12-05
