site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Land at Chester Walk Car Park,yes,,2017-12-31,,0.15,14,14,,local-authority-eng:CHT,owned by a public authority,,,not permissioned,,BFR001,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=001&scale=512,2017-12-31
"Premiere Products, Bouncers Lane",yes,,2017-12-31,,2.17,58,58,Only part of site permissioned remaining site Allocated in Pre-Submission Cheltenham Plan. Outline application for up to 58 residential dwellings including access with all other matters reserved for future consideration,local-authority-eng:CHT,not owned by a public authority,,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OPZI30EL08300|https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=8500116PC,permissioned,outline planning permission,BFR002,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=002&scale=1024,2017-12-31
Land at Lansdown Road (Gloucestershire Constabulary Headquarters),yes,,2017-12-31,,1,68,68,"Allocated in Pre-Submission Cheltenham Plan. Demolition of all existing buildings on site and erection of 68no. new homes, access, landscaping and other associated works at the former Police Headquarters, Lansdown Road",local-authority-eng:CHT,,,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OLGHJAELGZK00,permissioned,full planning permission,BFR003,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=003&scale=1024,2017-12-31
"102, 106 Prestbury Road",yes,,2017-12-31,,0.8,35,35,Allocated in Pre-Submission Cheltenham Plan. Construction of 35 new dwellings with associated infrastructure and parking following the demolition of existing commercial buildings,local-authority-eng:CHT,not owned by a public authority,,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OSEEP6ELI9V00|https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=J1M5RMEL59000,permissioned,full planning permission,BFR004,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=004&scale=1024,2017-12-31
"96, 100, 104 Prestbury Road",yes,,2017-12-31,,0.49,15,15,,local-authority-eng:CHT,not owned by a public authority,,,not permissioned,,BFR005,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=005&scale=1024,2017-12-31
Land at Prestbury Road,yes,,2017-12-31,,0.23,8,8,,local-authority-eng:CHT,not owned by a public authority,,,not permissioned,,BFR006,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=006&scale=1024,2017-12-31
Springbank Shopping Centre,yes,,2017-12-31,,0.51,34,34,Allocated in Pre-Submission Cheltenham Plan. Construction of 34 new dwellings with associated infrastructure and parking following the demolition and clearance of existing redundant shopping centre,local-authority-eng:CHT,not owned by a public authority,2017-03-22,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OIMMTWELGIZ00,permissioned,full planning permission,BFR007,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=007&scale=1024,2017-12-31
Land and buildings at Coronation Square,,,2017-12-31,,1.48,17,17,Allocated in Pre-Submission Cheltenham Plan,local-authority-eng:CHT,not owned by a public authority,,,not permissioned,,BFR008,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=008&scale=1024,2017-12-31
"Axiom, 57 Winchcombe Street",yes,,2017-12-31,,0.07,11,11,"The is a flat, vacant/derelict, town centre site, previously in use as a Community Arts and Music venue. The site is within the Central Conservation Area and Core Commercial Area and is surrounded by a mix of retail, restaurant, employment and residential uses.. Partial demolition and mixed-use conversion to 11 apartment and commercial/ retail units of 57-59 Winchcombe Street",local-authority-eng:CHT,not owned by a public authority,2016-03-10,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=OPZN68EL08300,permissioned,full planning permission,BFR009,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=009&scale=1024,2017-12-31
"Tebbit House, 51 Winchcombe Street",yes,,2017-12-31,,0.04,8,8,"Site has planning permission, construction not started April 2017. Notification of a proposed Change of Use to Dwellings. Change of use of 1st, 2nd and 3rd floors of Tebbit House from Offices (B1) to residential (C3)",local-authority-eng:CHT,not owned by a public authority,2013-12-19,https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=O55YYLEL08300|https://publicaccess.cheltenham.gov.uk/online-applications/applicationDetails.do?activeTab=details&keyVal=M463GMEL0B100,permissioned,full planning permission,BFR010,https://maps.cheltenham.gov.uk/map/Aurora.svc/run?script=%5cAurora%5cCBC+Brownfield+register.AuroraScript%24&nocache=416161679&resize=always&inspect_query=CBCBrownfield&inspect_value=010&scale=1024,2017-12-31
