site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"New Mill, Wesley Street",yes,,2017-09-20,,6.5,163,163,"07/2016/0690/REM - approved 4/9/17.. Reserved matters application for the erection 188 dwellings following outline approval 07/2012/0729/OUT. Matters of layout, scale, appearance and landscaping are applied for (Amended Site Layout Plan)",local-authority-eng:SRI,not owned by a public authority,2017-09-04,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,reserved matters approval,POINT(-2.658661 53.72445),BBE01,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
"Expac, Dunkirk Mill, Dunkirk Lane",yes,,2017-09-20,,0.67,17,17,"May come forward with Rear of Dunkirk Mill. Site clearance completed at the beginning of the year, construction unlikely to start until 2019. 07/2012/0551/REN - approved 31/3/15.. Outline application for the erection of 35 No dwellings and creation of new access onto Dunkirk Lane (Access Only) - Renewal of permission 07/2008/0422/OUT",local-authority-eng:SRI,not owned by a public authority,2015-03-31,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,outline planning permission,,SS05,https://www.southribble.gov.uk/content/housing-land-availability,2016-06-03
"Farington Business Park, east of Wheelton Lane (northern section) - Phase 2",yes,,2017-09-20,,6.49,162,162,"D1 - Housing. 07/2013/0288/FUL approved 30/8/13. (234 dwellings full/234 dwellings outline) - the outline approval relates to this part of the site. S106. AH - Phase 2 - up to a minimum of 20 units in accordance with a reserved matters approval taking account of any review pursuant to Part 4 of Schedule 3 of S106 agreement. UU still on site.. Erection of a Residential development - Outline application with all matters reserved for approx 234 dwellings with associated ground works, access arrangements and demolition.",local-authority-eng:SRI,not owned by a public authority,2013-08-30,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,full planning permission,,FW09b,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
"Vernon Carus Site/Penwortham Mills, Factory Lane - Phase 2",yes,,2017-09-20,,9.45,74,74,"Hybrid application approved 20/2/17. The public house has been vacated.. Outline application for the erection of approximately 385 dwellings. This is hybrid application which includes two parts - Part A : Outline application permission (excluding Phase 1) for the erection of up to 204 dwellings, with the provision of associated infrastructure (including roads, footpath,cycleways and open space). All matters reserved for subsequent approval PART B: Full planning permission (Phase 1 as shown on the plans) for the erection of 181 dwellings and the provision of associated infrastructure (including roads, footpaths, cycleways and open spaces)",local-authority-eng:SRI,not owned by a public authority,,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,reserved matters approval,,MF02b,https://www.southribble.gov.uk/content/housing-land-availability,2016-06-03
"Vernon Carus Site/Penwortham Mills, Factory Lane - Phase 3",yes,,2017-09-20,,1.17,29,29,"Hybrid application approved 20/2/17. The public house has been vacated.. Outline application for the erection of approximately 385 dwellings. This is hybrid application which includes two parts - Part A : Outline application permission (excluding Phase 1) for the erection of up to 204 dwellings, with the provision of associated infrastructure (including roads, footpath,cycleways and open space). All matters reserved for subsequent approval PART B: Full planning permission (Phase 1 as shown on the plans) for the erection of 181 dwellings and the provision of associated infrastructure (including roads, footpaths, cycleways and open spaces)",local-authority-eng:SRI,not owned by a public authority,2015-12-22,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,reserved matters approval,,MF02c,https://www.southribble.gov.uk/content/housing-land-availability,2016-06-03
"Lostock Hall Gas Works, Leyland Road/The Cawsey",yes,,2017-09-20,,12,281,281,07/2015/0315/REM approved 13/8/15.. Reserved matters application for the erection of 281 dwellings with associated infrastructure and landscaping (amended plans),local-authority-eng:SRI,not owned by a public authority,2014-04-01,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,reserved matters approval,,TG03,https://www.southribble.gov.uk/content/housing-land-availability,2016-06-03
"The Maltings, Hill Road South",yes,,2017-09-20,,1.7,43,43,07/2017/1266/REM - pending decision.. Reserved Matters application for the erection of 61 residential units comprising of dwellings and apartments with associated landscaping,local-authority-eng:SRI,not owned by a public authority,2017-03-22,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,reserved matters approval,POINT(-2.79585 53.724453),MF05,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
"Land on west side of Mill Street, Leyland",yes,,2017-09-20,,0.18,5,5,07/2014/0574/OUT - approved 17/3/15.. Outline planning application for residential development comprising seven dwellings. (Access applied for),local-authority-eng:SRI,not owned by a public authority,2015-03-17,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,outline planning permission,,SS11,https://www.southribble.gov.uk/content/housing-land-availability,2016-06-03
"Moorhey Farm, Moss House Lane, Much Hoole",yes,,2017-09-20,,0.3,8,8,07/2016/0341/FUL - approved 20/9/16. Erection of two storey dwelling house with attached double garage,local-authority-eng:SRI,not owned by a public authority,2016-09-20,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.779364 53.698423),1803,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
"Whitestake Garage, Long Moss Lane, New Longton",yes,,2017-09-20,,0.31,8,8,"07/2016/0728/OUT - approved 2/11/16. Outline application for the erection of 4no detached bungalows following demoliiton of existing garage and outbuildings (Access, Landscaping, Layout and Scale applied for)",local-authority-eng:SRI,not owned by a public authority,2016-11-02,http://publicaccess.southribble.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.729889 53.7225),1921,https://www.southribble.gov.uk/content/housing-land-availability,2017-09-20
