site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Former Hewden Hire site Two Waters Road Hemel Hempstead,yes,,2018-08-16,,0.30,36,36,Housing led development,local-authority-eng:DAC,not owned by a public authority,2016-08-25,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.473795 51.74095),BLR/011,https://goo.gl/,2017-12-31
Leverstock Green Tennis Club Grasmere Close Hemel Hempstead,yes,,2018-08-16,,1.16,25,25,4/00518/15/PRE. Housing led development,local-authority-eng:DAC,not owned by a public authority,,,not permissioned,,POINT(-0.43813 51.745292),BLR/012,https://goo.gl/,2017-12-31
233 London Road Hemel Hempstead,yes,,2018-12-31,,0.11,10,10,Application has expired. Housing led development,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.472068 51.738887),BLR/013,https://goo.gl/,2017-12-31
Apsley Paper Trail land London Road,yes,,2018-08-16,,0.31,31,31,4/00675/14/PRE. Housing led development,local-authority-eng:DAC,owned by a public authority,,,not permissioned,,POINT(-0.462418 51.733896),BLR/014,https://goo.gl/,2017-12-31
The Point (former petrol filling station) Two Waters Road Hemel Hempstead,yes,,2018-08-16,,0.15,25,25,4/02158/13/PRE. Housing led development,local-authority-eng:DAC,owned by a public authority,,,not permissioned,,POINT(-0.472857 51.745551),DBC/015,https://goo.gl/,2017-12-31
Former Martindale School Boxted Road Hemel Hempstead,yes,,2018-08-16,,1.41,66,66,Full application resolved to be granted subject to s106. Housing led development,local-authority-eng:DAC,owned by a public authority,2015-02-27,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.498282 51.760751),BLR/016,https://goo.gl/,2017-12-31
Frogmore Road Hemel Hempstead,yes,,2018-08-16,,2.93,100,100,4/03226/16/PRE. Housing led development,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.46659 51.73815),BLR/017,https://goo.gl/,2017-12-31
Corner of High Street / Swing Gate Lane Berkhamsted,yes,,2018-08-16,,0.10,11,11,Housing led development,local-authority-eng:DAC,owned by a public authority,2015-06-29,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.556029 51.757419),BLR/018,https://goo.gl/,2017-12-31
Western Road Tring,yes,,2018-08-16,,0.47,25,25,Housing led development,local-authority-eng:DAC,not owned by a public authority,,,not permissioned,,POINT(-0.66847 51.792052),BLR/019,https://goo.gl/,2017-12-31
Depot land Langdon Street Tring,yes,,2018-08-16,,0.22,10,10,Housing led development,local-authority-eng:DAC,not owned by a public authority,2016-05-18,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.663863 51.791928),BLR/020,https://goo.gl/,2017-12-31
Watling Street (rear of Hicks Road/High Street) Markyate,yes,,2018-08-16,,0.27,10,10,Housing led development,local-authority-eng:DAC,not owned by a public authority,2015-11-02,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.458572 51.836587),BLR/021,https://goo.gl/,2017-12-31
Garden Scene Nursery Chapel Croft Chipperfield,yes,,2018-08-16,,0.81,12,12,4/00780/14/PRE 4/02659/06/PRE 4/00369/93/4 refer to simmonds nursery. Housing led development,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,,POINT(-0.491149 51.707391),BLR/022,https://goo.gl/,2017-12-31
Bourne End Mills Bourne End Lane,yes,,2018-08-16,,3.98,45,45,Hybrid application granted outline / part full permission on 9/03/16. Housing led development,local-authority-eng:DAC,not owned by a public authority,2017-07-17,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,reserved matters approval,POINT(-0.526102 51.742957),BLR/023,https://goo.gl/,2017-12-31
St Mary's Convent Green End Road Boxmoor,yes,,2018-08-16,,0.81,20,20,LBC granted 13/06/16. Housing led development,local-authority-eng:DAC,not owned by a public authority,2016-06-13,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.491942 51.747065),BLR/024,https://goo.gl/,2017-12-31
Former Sappi Nash Mills,yes,,2018-08-16,,6.67,38,38,"Part permissioned as applications not recived for part of site to south of Red Lion Lane. CoU of Blocks I and K granted 2/04/13. 450 dwellings plus care home, community use, A3, B1 and Day Nursery, etc granted 12/05/10. Housing led development",local-authority-eng:DAC,not owned by a public authority,2015-10-19,http://www.dacorum.gov.uk/brownfield-land-register,permissioned,full planning permission,POINT(-0.45143 51.728698),BLR/025,https://goo.gl/,2017-12-31
St Francis De Sales Preparatory School Aylesbury Road,yes,,2018-08-16,,0.69,40,40,Query whether this constitutes previously developed land. Housing led development,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,full planning permission,POINT(-0.699309 51.831475),BLR/026,https://goo.gl/,2017-12-31
"Chipperfield Garden Centre, Chipperfield",yes,,2018-08-17,,3.22,71,71,Housing led development,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,full planning permission,POINT(-0.507454 51.71278),BLR/027,https://goo.gl/,2018-08-17
"Hemel Hempstead Garden Centre, Great gaddesden",yes,,2018-08-17,,2.44,74,74,Housing led development,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,full planning permission,POINT(-0.506741 51.79204),BLR/028,https://goo.gl/,2018-08-17
"Marchmont Farm, Link Road, Hemel",yes,,2018-08-17,,0.65,6,6,Housing led development,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,full planning permission,POINT(-0.473399 51.767037),BLR/029,https://goo.gl/,2018-08-17
"Former Bobsleigh Hotel, Bovingdon",yes,,2018-08-17,,1.40,,,Housing led development,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,full planning permission,POINT(-0.526586 51.72837),BLR/030,https://goo.gl/,2018-08-17
"Caddington Hall, Markyate",yes,,2018-08-17,,4.65,10,10,Housing led development,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,full planning permission,POINT(-0.452067 51.843896),BLR/031,https://goo.gl/,2018-08-17
"Dacre House, Hillfield Road",yes,,2018-08-17,,0.05,5,5,Housing led development,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,full planning permission,POINT(-0.470114 51.753007),BLR/032,https://goo.gl/,2018-08-17
Leys Road (No 121),yes,,2018-08-17,,0.15,3,3,Housing led development,local-authority-eng:DAC,not owned by a public authority,,http://www.dacorum.gov.uk/brownfield-land-register,not permissioned,full planning permission,POINT(-0.456609 51.742723),BLR/033,https://goo.gl/,2018-08-17
