site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Pembroke House, 11 Northlands Pavement, Pitsea, Essex. SS13 3DX",yes,,2019-08-07,,0.18,32,32,"Prior Approval granted. Works have not commenced. Permission expires 10/06/2021. Only to be removed once expired or completed. Deliverable within 2 years. 20/09/18. 07/08/19.. Notification for Prior Approval for the conversion of the existing first (in part), second and third floors of Pembroke House from office (B1) to residential (C3) to form 32 residential units.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,2016-06-10,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,BAS0069,https://www.basildon.gov.uk/media/8691/BLR/pdf/BLR.pdf,2018-09-20
"1 - 29 Lower Southend Road, Wickford, Essex.",,,2019-08-07,,0.34,117,117,"Planning Permission granted. Works commenced. Only to be removed once completed. Deliverable within 6 years. 62 dwellings have been completed. 20/09/18. 07/08/19.. The creation of 6 additional flats, together with external and internal alterations to block 'E' (amendment to planning approval no. 05/00654/FULL for 173 no. flats, offices, retail units and restaurants, car parking, landscaping and access).. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,2010-05-14,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,BAS0071,https://www.basildon.gov.uk/media/8693/BLR/pdf/BLR.pdf,2018-09-20
"Acorn House, Great Oaks, Basildon. SS14 1AH",yes,,2019-08-07,,0.14,86,86,Planning Permission granted. Works have not commenced. Permission expires 25/03/2024. Only to be removed once expired or completed. Deliverable within 3 years. See also BAS0061 & BAS0073 as duplicate permisions for same site. 07/08/19.. Notification for prior approval for a proposed change of use of a building from Office Use (Class B1(a)) to a Residential Use (Class C3) comprising 86 apartments.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,local-authority-eng:BAI,not owned by a public authority,2019-03-25,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,BAS0072,https://www.basildon.gov.uk/media/8683/BLR/pdf/BLR.pdf,2019-08-07
"Acorn House, Great Oaks, Basildon. SS14 1AH",yes,,2019-08-07,,0.14,76,76,Planning Permission granted. Works have not commenced. Permission expires 25/03/2024. Only to be removed once expired or completed. Deliverable within 3 years. See also BAS0061 & BAS0072 as duplicate permisions for same site. 07/08/19.. Notification for prior approval for a proposed change of use of a building from Office Use (Class B1(a)) to a Residential Use (Class C3) comprising of 76 apartments.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,local-authority-eng:BAI,not owned by a public authority,2019-03-25,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,BAS0073,https://www.basildon.gov.uk/media/8683/BLR/pdf/BLR.pdf,2019-08-07
"Dunton Grange, Lower Dunton Road, Brentwood, CM13 3SL",,,2019-08-09,,0.67,19,15,Deliverable within 7 years. 09/08/19.,local-authority-eng:BAI,not owned by a public authority,,,not permissioned,,BAS0074,https://www.basildon.gov.uk/media/9722/BLR/pdf/BLR.pdf,2019-08-09
"Land at Friern Farm House, Lower Dunton Road, Basildon, CM13 3SL",,,2019-08-09,,0.65,18,15,Deliverable within 7 years. 09/08/19.,local-authority-eng:BAI,not owned by a public authority,,,not permissioned,,BAS0075,https://www.basildon.gov.uk/media/9723/BLR/pdf/BLR.pdf,2019-08-09
"Unit 1, Great Oaks, SS14 1GB",,,2019-08-09,,0.37,98,90,Deliverable within 7 years. 09/08/19.,local-authority-eng:BAI,not owned by a public authority,,,not permissioned,,BAS0076,https://www.basildon.gov.uk/media/9724/BLR/pdf/BLR.pdf,2019-08-09
"Milk & More, Time Square, Southernhay, Basildon SS14 1DJ",yes,,2019-08-12,,0.2,53,49,Deliverable within 5 years. 12/08/19.,local-authority-eng:BAI,not owned by a public authority,,,not permissioned,,BAS0077,https://www.basildon.gov.uk/media/9725/BLR/pdf/BLR.pdf,2019-08-12
"28-62 East Walk and 36-44 Southernhay, Basildon SS14 1HH",,,2019-08-12,,0.27,71,66,"Deliverable within 6 years. 12/08/19.. Erection of part single, part two storey extension to form new second and third floors above 28 to 62 East Walk and 36 to 44 Southernhay to provide 37 flats comprising 24 no. 1 bed flats, 12 no. 2 bed flats and 1 no. 3 bed flat.. https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,pending decision,full planning permission,BAS0078,https://www.basildon.gov.uk/media/9726/BLR/pdf/BLR.pdf,2019-08-12
"Four Oaks Farm, Cranfield Park Road, Wickford SS12 9LE",yes,,2019-08-12,,0.67,4,4,"Planning permission granted. Works have not commenced. Permission expires 26/07/2020. Only to be removed once expired or completed. Deliverable within 1 year. 12/08/19.. Revised submission following approval of 15/00994/FULL for removal of established use of site for motor repairs and storage, including demolition of all outbuildings, and construction of 4 no. detached houses on land adjacent to Four Oaks Farm (amendments to dwellings at plots 2, 3 and 4 and addition of a single-storey annex to plot 1). https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application",local-authority-eng:BAI,not owned by a public authority,2017-07-26,https://planning.basildon.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,BAS0079,https://www.basildon.gov.uk/media/9727/BLR/pdf/BLR.pdf,2019-08-12
