site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Brampton Manor, Old Road, Chesterfield",,,2017-12-19,,0.92,6,1,Parts of the site have potential for future residential develoment subject to consideration of the impact upon listed structures/buildings and scheduled ancient monuments.,local-authority-eng:CHS,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0016PUEPLI000,not permissioned,,POINT(-1.456517 53.235298),15,https://www.chesterfield.gov.uk/media/562063/15-brampton-manor-old-road-chesterfield.pdf,2017-12-19
"Brockwell Court (Former), Cheedale Avenue, Newbold, Chesterfield",yes,,2019-12-09,,0.72,20,1,"The site has been occupied by a permanent structure but the remains have not sufficiently blended into the landscape over the process of time. There is a possibility that the site may be required to meet unmet open space needs but there is no conclusive evidence to this effect, Whilst the nearby junior school is at capacity certain types of residential development would be possible without an increase in demand for school places. Furthermore the potential for expansion of the nearby schools is as yet undetermined. Provided biodiversity impacts can be mitigated the site would be appropriate for residential development.",local-authority-eng:CHS,owned by a public authority,2019-09-24,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&keyVal=0012F6EPLI000&previousCaseNumber=CHE%2F19%2F00239%2FFUL&activeTab=summary&previousKeyVal=PQ5A79EPFXD00,permissioned,full planning permission,POINT(-1.452349 53.249598),16,https://www.chesterfield.gov.uk/media/562066/16-brockwell-court-former-cheedale-avenue-newbold.pdf,2017-12-19
"Catherine Street, Bank Street and Catherine Street Chesterfield",yes,,2019-12-09,,0.25,12,1,The site appropriate for residential development. Constraints identified within the LAA are likely to be mitigable.,local-authority-eng:CHS,owned by a public authority,2019-09-24,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?keyVal=K72Y86EP00200&activeTab=summary,permissioned,full planning permission,POINT(-1.440974 53.235801),17,https://www.chesterfield.gov.uk/media/562069/17-catherine-street-chesterfield.pdf,2017-12-19
"Land at Duewell Court, Station Road, Barrow Hill",yes,,2017-12-19,,0.69,20,1,"Whilst no local centre is nearby (notwithstanding any centre developed within the Staveley Rother Corridor), the site is still appropriate for residential development being in regeneration priority area. Identified constraints are likely to be mitigable.",local-authority-eng:CHS,owned by a public authority,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=ORIZHUEPL8000&activeTab=summary&previousCaseNumber=CHE%2F17%2F00428%2FDEM&keyVal=0012KDEPLI000,not permissioned,,POINT(-1.376965 53.274298),18,https://www.chesterfield.gov.uk/media/562072/18-land-at-duewell-court-station-road-barrow-hill.pdf,2017-12-19
"Heaton Court (Former), Meynell Close, Chesterfield",yes,,2019-12-09,,0.2,10,1,"The site is appropriate for residential development in terms of access to centres, services and facilities. Identified constraints are likely to be mitigable.",local-authority-eng:CHS,owned by a public authority,2019-01-29,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=O2P2KKEP00M00&activeTab=summary&previousCaseNumber=CHE%2F16%2F00096%2FDEM&keyVal=000RVOEPLI000,permissioned,full planning permission,POINT(-1.456377 53.233302),23,https://www.chesterfield.gov.uk/media/562075/23-heaton-court-former-meynell-close-chesterfield.pdf,2017-12-19
"Miller Avenue, Mastin Moor, Chesterfield",yes,,2017-12-19,,0.41,14,1,The site is appropriate for residential development despite no local centre nearby and limited accessibility to services and facilities given that it is within a regeneration priority area. Identified constraints are likely to be mitigable.,local-authority-eng:CHS,owned by a public authority,,,not permissioned,,POINT(-1.321949 53.2778),32,https://www.chesterfield.gov.uk/media/562078/32-miller-avenue-mastin-moor.pdf,2017-12-19
"Land North-East of Sainsburys Roundabout, Rother Way, Chesterfield",yes,,2018-12-11,,1.6,45,45,Development is under construction. 45 dwellings based on brownfield element.,local-authority-eng:CHS,not owned by a public authority,2018-01-09,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=N6W98SEP00T00&activeTab=summary&previousCaseNumber=CHE%2F14%2F00404%2FOUT&keyVal=NV6DW0EP03B00,permissioned,reserved matters approval,POINT(-1.414648 53.255702),49,https://www.chesterfield.gov.uk/media/562081/49-land-north-east-of-sainsburys-roundabout-rother-way-chesterfield.pdf,2017-12-19
"Boythorpe Works (Former), Goytside Road Chesterfield",yes,,2017-12-19,,5.71,135,1,Application for full planning permission is pending consideration.,local-authority-eng:CHS,not owned by a public authority,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OUB3YTEP04100&activeTab=summary&previousCaseNumber=CHE%2F17%2F00566%2FTPO&keyVal=JFAROTEP20000,pending decision,,POINT(-1.446608 53.231099),64,https://www.chesterfield.gov.uk/media/562084/64-boythorpe-works-former-goytside-road-chesterfield.pdf,2017-12-19
"Land At East Of A61 Known as Chesterfield Waterside, Brimington Road, Chesterfield",yes,,2019-12-11,,19.22,1550,1550,Outline planning permission receieved. CHE/19/00116/REM and CHE/19/00007/REM recently approved which covers 177 dwellings and the Basin Square area of the scheme.,local-authority-eng:CHS,not owned by a public authority,2011-03-09,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OGSFD2EP02A00&activeTab=summary&previousCaseNumber=CHE%2F16%2F00762%2FDOC&keyVal=KRTIMDEP00200,permissioned,outline planning permission,POINT(-1.421246 53.243303),68,https://www.chesterfield.gov.uk/media/562912/68-land-east-of-a61-known-as-chesterfield-waterside.pdf,2017-12-19
"Ashbrook Centre (Former), Cuttholme Road, Chesterfield",yes,,2017-12-19,,0.68,20,1,The site has been occupied by a permanent structure but the remains have not sufficiently blended into the landscape over the process of time. It is in a location accessible to a centre and with reasonable accessibility to services and facilities and it is likely that constraints can be mitigated.,local-authority-eng:CHS,owned by a public authority,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OGDF9GEP02A00&activeTab=summary&previousCaseNumber=CHE%2F16%2F00745%2FTPOEXP&keyVal=00147YEPLI000,not permissioned,,POINT(-1.45621 53.241804),91,https://www.chesterfield.gov.uk/media/562087/91-ashbrooke-centre-former-cuttholme-road-chesterfield.pdf,2017-12-19
