site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Land at Weston Paddocks, Whitmoor Road, Bagshot",yes,,2017-12-18,,0.55,16,16,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR851&activeTab=summary. https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR851&activeTab=summary,local-authority-eng:SUR,not owned by a public authority,2015-07-25,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR851&activeTab=summary,permissioned,,POINT(-0.683 51.3569),SHBR3,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,2017-12-18
Land at half moon street,,,2017-12-18,,0.83,47,47,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf. https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,local-authority-eng:SUR,mixed ownership,,,Not permissioned,,POINT(-0.6917 51.3623),SHBR97,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,2017-12-18
"The Deans, Bridge Road, Bagshot",,,2017-12-18,,0.15,20,20,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf. https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,local-authority-eng:SUR,not owned by a public authority,,,Not permissioned,,POINT(-0.6908 51.3625),SHBR98,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,2017-12-18
"Tanners Yard, London Road, Bagshot",,,2017-12-18,,0.3,9,9,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf. https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,local-authority-eng:SUR,not owned by a public authority,,,Not permissioned,,POINT(-0.693 51.3628),SHBR99,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,2017-12-18
"134 and 136 London Road, Bagshot, GU19 5BZ",yes,,2019-12-19,,0.3,19,19,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf. https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,local-authority-eng:SUR,not owned by a public authority,,,Not permissioned,,POINT(-0.698671 51.356389),SHBR113,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,2019-12-19
"Highways Farm, 226 London Road, Bagshot, GU19 5EZ",yes,,2019-12-19,,0.45,6,6,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR569&activeTab=summary. https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR569&activeTab=summary,local-authority-eng:SUR,not owned by a public authority,2019-06-21,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMPPRDR569&activeTab=summary,permissioned,,POINT(-0.704358 51.352854),SHBR115,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,2019-12-19
"Land r/o 192-210 London Road, Bagshot, GU19 5EZ",yes,,2019-12-19,,1.4,20,20,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf. https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,local-authority-eng:SUR,not owned by a public authority,,,Not permissioned,,POINT(-0.702249 51.352757),SHBR116,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,2019-12-19
"34 London Road, Bagshot, GU19 5HN",yes,,2019-12-19,,0.2,8,8,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR441&activeTab=summary. https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR441&activeTab=summary,local-authority-eng:SUR,not owned by a public authority,2018-04-16,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR441&activeTab=summary,permissioned,,POINT(-0.69069 51.364777),SHBR118,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,2019-12-19
"175 London Road, Bagshot, GU19 5DH",yes,,2019-12-19,,0.3,8,8,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf. https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,local-authority-eng:SUR,not owned by a public authority,,,Not permissioned,,POINT(-0.701357 51.355185),SHBR119,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,2019-12-19
"46-50 London Road, Bagshot, GU19 5HL",yes,,2019-12-19,,0.13,9,9,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf. https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,local-authority-eng:SUR,not owned by a public authority,,,pending decision,,POINT(-0.731455 51.343336),SHBR134,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,2019-12-19
"Greenways, 24-26 London Road, Bagshot, GU19 5HN",yes,,2019-12-19,,0.21,23,23,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR740&activeTab=summary. https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR740&activeTab=summary,local-authority-eng:SUR,not owned by a public authority,2017-04-12,https://publicaccess.surreyheath.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZMRPRDR740&activeTab=summary,permissioned,,POINT(-0.69015 51.365382),SHBR137,https://www.surreyheath.gov.uk/sites/default/files/documents/residents/planning/planning-policy/SLAA2019/4.%20SLAA%202019%20Appendix%202%20-%20Bagshot%20Site%20Assessments.pdf,2019-12-19
