site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Land and buildings at and behind 98-100 Wenlock Street,,,2018-12-28,,0.15,6,6,Part of this application has been built-out. Erection of 8 one and two bedroom flats in three blocks and alterations to existing two bedroom flats with associated parking,local-authority-eng:LUT,,2005-04-08,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OYHKGLI000,permissioned,outline planning permission,SHLAA422,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/421-and-422.pdf,2017-12-01
"Land adj. to 18, 18a Cowper Street and 17 Tavistock Crescent",,,2018-12-28,,0.05,7,6,,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001NX0KGLI000,not permissioned,,SHLAA433,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/433-and-434.pdf,2017-12-01
"Connaught House, 15-17 Upper George Street",yes,,2018-12-28,,0.04,17,15,,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001N37KGLI000,not permissioned,,SHLAA456,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/455-and-456.pdf,2017-12-01
Britannia Estate,,,2018-12-28,,4.40,323,294,,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001UL4KGLI000,not permissioned,,SHLAA460,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/459-and-460.pdf,2017-12-01
Saints Community Centre,yes,,2018-12-28,,0.18,7,7,"The permission applies across this site and site reference SHLAA345. Erection of 4 two bedroom, 7 three bedroom and 4 four bedroom houses",local-authority-eng:LUT,,2017-11-02,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00253VKGLI000,permissioned,outline planning permission,SHLAA471,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/471-and-472.pdf,2017-12-01
"The Old School House, Trinity Road",,,2018-12-28,,0.13,8,7,,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002578KGLI000,not permissioned,,SHLAA472,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/471-and-472.pdf,2017-12-01
"The Parrott, Whipperley Ring",yes,,2018-12-28,,0.28,25,25,Permission for a medical centre exists on part of the site (18/00489/FUL),local-authority-eng:LUT,,2018-05-01,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OT4KGLI000,permissioned,full planning permission,SHLAA477,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/477-and-478.pdf,2017-12-01
"The Roman Way, Tomlinson Avenue",yes,,2018-12-28,,0.24,20,20,"Erection of 3 bungalows and 17 flats with associated landscaping, off-street parking, cycle and pram storage",local-authority-eng:LUT,,2017-01-17,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001U24KGLI000,permissioned,full planning permission,SHLAA478,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/477-and-478.pdf,2017-12-01
High Town plot 7,,,2018-12-28,,0.16,30,27,No planning history provided as site covers multiple plots with multiple histories. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,,not permissioned,,SHLAA482,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/482_483-and-484.pdf,2017-12-01
High Town plot 5A,,,2018-12-28,,0.07,4,3,https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001P6VKGLI000,not permissioned,,SHLAA483,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/482_483-and-484.pdf,2017-12-01
High Town plot 5B,,,2018-12-28,,0.13,23,21,No planning history provided as site covers multiple plots with multiple histories. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,,not permissioned,,SHLAA485,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/485-to-489.pdf,2017-12-01
High Town plot 1A,,,2018-12-28,,0.72,83,75,https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0024WCKGLI000,not permissioned,,SHLAA486,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/485-to-489.pdf,2017-12-01
High Town plot 1C,,,2018-12-28,,0.16,21,19,https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OUBKGLI000,not permissioned,,SHLAA487,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/485-to-489.pdf,2017-12-01
High Town plot 1D,,,2018-12-28,,0.16,30,27,https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=N7EQIZKG0A300,not permissioned,,SHLAA488,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/485-to-489.pdf,2017-12-01
High Town plot 1B,,,2018-12-28,,0.32,15,14,SHLAA584 also covers part of this site. The details in this row relate to the undeveloped land. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001X1YKGLI000,not permissioned,,SHLAA489,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/485-to-489.pdf,2017-12-01
High Town plot 2A,,,2018-12-28,,0.57,69,63,No planning history provided as site covers multiple plots with multiple histories. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,,not permissioned,,SHLAA490,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/490-to-493.pdf,2017-12-01
High Town plot 2B,,,2018-12-28,,0.05,16,16,Erection of four and five storey block comprising 15 one bedroom flats and 7 two bedroom flats. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OXOKGLI000,pending decision,,SHLAA491,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/490-to-493.pdf,2017-12-01
High Town plot 3,,,2018-12-28,,0.31,34,31,https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OVRKGLI000,not permissioned,,SHLAA492,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/490-to-493.pdf,2017-12-01
High Town plot 6D,,,2018-12-28,,0.28,43,39,No planning history provided as site covers multiple plots with multiple histories. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,,not permissioned,,SHLAA494,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/494-to-497.pdf,2017-12-01
High Town plot 6A,,,2018-12-28,,0.40,66,60,No planning history provided as site covers multiple plots with multiple histories. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,,not permissioned,,SHLAA496,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/494-to-497.pdf,2017-12-01
High Town plot 6B,,,2018-12-28,,0.11,20,18,No planning history provided as site covers multiple plots with multiple histories. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,,not permissioned,,SHLAA497,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/494-to-497.pdf,2017-12-01
High Town plot 4,yes,,2018-12-28,,0.77,49,49,"Erection of 49 affordable dwellings -18 one and two bedroom apartments and 31 two, three and four bedroom houses. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx",local-authority-eng:LUT,,2017-06-05,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OUXKGLI000,permissioned,full planning permission,SHLAA501,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/498-to-502.pdf,2017-12-01
High Town plot 9,,,2018-12-28,,0.20,10,9,No planning history exists for this site. https://www.luton.gov.uk/ENVIRONMENT/PLANNING/REGIONAL%20AND%20LOCAL%20PLANNING/HIGHTOWN-MASTERPLAN/Pages/default.aspx,local-authority-eng:LUT,,,,not permissioned,,SHLAA504,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/503-and-504.pdf,2017-12-01
Birdsfoot Lane depot,yes,,2018-12-28,,0.30,6,6,Erection of 2 semi detatched two bedroom dwellings and 4 semi detached three bedroom dwellings.,local-authority-eng:LUT,,2017-12-07,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001WDZKGLI000,permissioned,full planning permission,SHLAA519,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/519-and-520.pdf,2017-12-01
Land rear Of 81 Dumfries Street,yes,,2018-12-28,,0.05,8,7,,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000FF5KGLI000,not permissioned,,SHLAA530,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/529-and-530.pdf,2017-12-01
2B Medina Road,yes,,2018-12-28,,0.05,9,8,,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001X4NKGLI000,not permissioned,,SHLAA532,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/531-and-532.pdf,2017-12-01
15 - 17 Cardiff Road,yes,,2018-12-28,,0.02,8,8,Change of use from Class B1(a) offices to C3 (dwellings). Proposal to convert 15 - 17 Cardiff Road from offices to create 8 x Studio Flats,local-authority-eng:LUT,,2015-04-08,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001N03KGLI000,permissioned,other,SHLAA533,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/533-and-534.pdf,2017-12-01
"The Compasses, 11 Farley Hill",yes,,2018-12-28,,0.04,10,9,,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OL2KGLI000,not permissioned,,SHLAA535,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/535-and-536.pdf,2017-12-01
9 - 15 Adelaide Street,,,2018-12-28,,0.04,9,9,Conversion and change of use of office to residential and erection of two addtional stories to create 14 studio apartments,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001SRNKGLI000,pending decision,,SHLAA536,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/535-and-536.pdf,2017-12-01
32 King Street,yes,,2018-12-28,,0.02,13,13,"Change of use from Class B1(a) (offices ) to C3 (dwelling). Proposed to convert into 13 flats consisting of 11 x 1 Bedroom, 2 x Studio / bedsit",local-authority-eng:LUT,,2015-02-06,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001T65KGLI000,permissioned,other,SHLAA538,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/537-and-538.pdf,2017-12-01
28 Dunstable Road,yes,,2018-12-28,,0.12,42,42,"The site also benefits from additional permissions (15/01015/COM, 17/00761/COM, 17/00763/COM, 17/00764/COM). Change of use from office(s) (B1(a)) to residential (Class O) (C3) Second Floor. 12 flats.",local-authority-eng:LUT,,2017-07-04,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001MI6KGLI000,permissioned,other,SHLAA542,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/541-and-542.pdf,2017-12-01
39 Castle Street,,,2018-12-28,,0.13,35,35,"Erection of a 4, 9 and 13 storey building comprising 75 flats with associated car parking, cycle and refuse store, landscaping and access after demolition of existing building",local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001OEIKGLI000,pending decision,,SHLAA543,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/543-and-544.pdf,2017-12-01
39 - 49 Manor Road,yes,,2018-12-28,,0.26,94,94,"Erection of new 3, 4, 5 + 6 storey building, accommodating 105 residential flats (Use Class C3)",local-authority-eng:LUT,,2018-06-07,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001X1NKGLI000,permissioned,outline planning permission,SHLAA545,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/545-and-546.pdf,2017-12-01
179 - 185 Dunstable Road,yes,,2018-12-28,,0.07,13,12,,local-authority-eng:LUT,,,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001N0SKGLI000,not permissioned,,SHLAA552,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/551-and-552.pdf,2017-12-01
49 to 57 Castle Street,yes,,2018-12-28,,0.33,69,69,Erection of three blocks consisting of 24 one bedroom and 45 two bedroom flats (affordable housing) with associated external works,local-authority-eng:LUT,,2016-08-18,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001UUNKGLI000,permissioned,full planning permission,SHLAA557,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/557-and-558.pdf,2017-12-01
"Cresta House, Alma Street",,,2018-12-28,,0.16,29,29,"The site also benefits from additional permissions (17/00892/COM, 17/00097/COM, 17/00096/COM, 17/00895/COM). Change of use from office(s) (B1(a)) to (C3) residential - 55 units at first & third, part of fourth and sixth floors",local-authority-eng:LUT,,2018-08-28,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001N4ZKGLI000,permissioned,other,SHLAA559,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/559%20and%20560.pdf,2017-12-01
"Gainsborough House, 10 Cardiff Road",yes,,2018-12-28,,0.02,13,13,Change of use from office(s) (B1a) to residential (Class O) (C3) 13 Residential units,local-authority-eng:LUT,,2017-02-17,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PD3CGWKG05503,permissioned,other,SHLAA560,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/559%20and%20560.pdf,2017-12-01
2 - 6 Cardigan Street,yes,,2018-12-28,,0.03,11,11,Change of use from office(s) (B1a) to residential (Class O) (C3) Ground and first floor to 11 residential units,local-authority-eng:LUT,,2016-11-03,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001SWMKGLI000,permissioned,other,SHLAA561,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/561-to-564.pdf,2017-12-01
80 - 88 Collingdon Street,yes,,2018-12-28,,0.07,18,18,Change of use under Class O - from B1(a) (office) to C3 (dwellings) 18 apartments,local-authority-eng:LUT,,2016-08-09,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001MHLKGLI000,permissioned,other,SHLAA562,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/561-to-564.pdf,2017-12-01
"Gilmartins House, 102 Collingdon Street",yes,,2018-12-28,,0.05,13,13,"The site also benefits from additional permission (17/00095/COM). Erection of 5 storey front extension, addition of 2 storeys comprising 4 flats and creation of 1 additional flat on ground floor together with external alterations to include landscaped areas and balconies/terraces.",local-authority-eng:LUT,,2018-07-13,https://planning.luton.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NQ6XUNKG05500,permissioned,full planning permission,SHLAA563,http://www.luton.gov.uk/Environment/Lists/LutonDocuments/PDF/SHLAA-2017/Maps/561-to-564.pdf,2017-12-01
