site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Rear of 129 157 & 159 Cropston Road Anstey,yes,,2018-12-19,,1.7,36,36,Erection of 36 dwellings,local-authority-eng:CHA,not owned by a public authority,2017-03-02,http://portal.charnwood.gov.uk/Northgate/PlanningExplorerAA/Home.aspx,permissioned,full planning permission,PSH3,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-15
Land between 1 and 3 Latimer Street and 10a and 16 Bradgate Road Anstey,,,2018-12-19,,0.13,12,12,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,SH10,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-15
Gynsill Court Gynsill Lane Anstey,yes,,2018-12-19,,2.8,40,40,Erection of 40 dwellings. (Reserved matters - outline application P/13/2263/2 refers),local-authority-eng:CHA,not owned by a public authority,2017-05-19,http://portal.charnwood.gov.uk/Northgate/PlanningExplorerAA/Home.aspx,permissioned,full planning permission,SH108,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-15
Warehouse and Premises 83 Hollow Road Anstey,yes,,2018-12-19,,0.07,8,8,Erection of 3 storey apartment building containing eight dwellings,local-authority-eng:CHA,not owned by a public authority,2016-06-01,http://portal.charnwood.gov.uk/Northgate/PlanningExplorerAA/Home.aspx,permissioned,full planning permission,SH17,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-15
Albion Street Anstey,,,2018-12-19,,0.28,8,8,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,SH4,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
Hollow Road Anstey General Industrial Anstey,,,2018-12-19,,0.3,9,9,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,SH9,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
Meadow Farm Marina Huston Close Barrow Upon Soar,,,2018-12-19,,2.5,35,35,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,PSH281,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
3A - 9 Melton Road LE12 8NS,yes,,2018-12-19,,0.2,5,5,Site for the erection of 3 detached dwellings and conversion of workshop to form 2 apartments with associated access.,local-authority-eng:CHA,not owned by a public authority,2018-04-27,http://portal.charnwood.gov.uk/Northgate/PlanningExplorerAA/Home.aspx,permissioned,outline planning permission,PSH374,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
Charnwood Mill Sileby Road Barrow Upon Soar,yes,,2018-12-19,,0.67,10,10,"Creation of access following demolition of part of building, use of former employment land for siting for 10 permanent park homes and creation of additional parking for Charnwood Mill and residents of Nos 16-24 Sileby Road. (Revised scheme - P/13/1330/2 refers)",local-authority-eng:CHA,not owned by a public authority,2015-08-03,http://portal.charnwood.gov.uk/Northgate/PlanningExplorerAA/Home.aspx,permissioned,full planning permission,SH18,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
Sturdee Poultry Farms Site Sowters Lane Burton on the Wolds,,,2018-12-19,,3.1,60,60,,local-authority-eng:CHA,not owned by a public authority,,,not permissioned,,PSH182,https://www.charnwood.gov.uk/pages/strategic_housing_and_employment_land_availability_assessments_2014,2017-11-16
