site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Land at Barnwood Manor, Barnwood Road, Barnwood",yes,,2018-12-18,,0.7,31,31,proposal by barnwood trust and city plan proposed allocation. there are proposals for new residential development replacing existing dwellings,local-authority-eng:GLO,not owned by a public authority,,,not permissioned,,GLOSBR001,http://www.gloucester.gov.uk/Documents/GLOSBR001%20%20Barnwood%20Manor.pdf,2017-12-01
"Jordans Brook House, North Upton Lane, Barnwood",yes,,2018-12-18,,0.85,20,20,county council residential care facility site to be vacated early 2018. county council site proposed for residential development,local-authority-eng:GLO,owned by a public authority,2001-10-08,http://glcstrplnng12.co.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,GLOSBR002,http://www.gloucester.gov.uk/Documents/GLOSBR002%20%20Jordans%20Brook%20House.pdf,2017-12-01
"Allstone site, off Myers Road, Elmbridge",yes,,2018-12-18,,5.5,250,250,this site has permission for residential and student units but at the point of entry into this register is still operating as a commercial waste transfer station. outline application for housing and student accommodation,local-authority-eng:GLO,not owned by a public authority,,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001DFGHMLI000,pending decision,,GLOSBR004,http://www.gloucester.gov.uk/Documents/GLOSBR004%20%20Allstone%20Site.pdf,2017-12-01
"Cheltenham Surfacing, off Myers Road, Elmbridge",yes,,2018-12-18,,0.36,10,10,residential development on this site would be dependent on a new site being found for the existing business. proposed for residential development,local-authority-eng:GLO,not owned by a public authority,,,not permissioned,,GLOSBR005,http://www.gloucester.gov.uk/Documents/GLOSBR005%20%20Land%20at%20Cheltenham%20Surfacing.pdf,2017-12-01
"Great Western Road Sidings, Great Western Road, Kingsholm and Wotton",yes,,2018-12-18,,4.5,200,200,a brownfield site which has been used as an operational siding but which has now been acquired by the homes and communities agency for housing and a university technical college with links to the hospital. proposed for c.100 dwellings on part of the site,local-authority-eng:GLO,owned by a public authority,,,not permissioned,,GLOSBR007,http://www.gloucester.gov.uk/Documents/GLOSBR007%20%20Great%20Western%20Road%20Sidings.pdf,2017-12-01
"Wessex House, Great Western Road, Kingsholm and Wotton",yes,,2018-12-18,,0.3,20,20,"city council owned site in a strategic location near to the railway station and underpass. proposed for residential, employment or for educational use",local-authority-eng:GLO,owned by a public authority,,,not permissioned,,GLOSBR008,http://www.gloucester.gov.uk/Documents/GLOSBR008%20%20Wessex%20House.pdf,2017-12-01
"Former Bishops College, off Estcourt Close, Longlevens",yes,,2018-12-18,,5.6,90,90,proposed for 90 dwellings,local-authority-eng:GLO,not owned by a public authority,2018-03-21,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0011LZHMLI000,permissioned,outline planning permission,GLOSBR012,http://www.gloucester.gov.uk/Documents/GLOSBR012%20%20Former%20Bishops%20College.pdf,2017-12-01
"Land at St James Close, Quedgeley Fieldcourt",yes,,2018-12-18,,0.23,13,13,gloucester city homes proposal. proposed for 13 dwellings including 9 bungalows,local-authority-eng:GLO,not owned by a public authority,2017-08-24,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=O9SI0AHM04701,permissioned,full planning permission,GLOSBR013,http://www.gloucester.gov.uk/Documents/GLOSBR013%20%20Land%20at%20St%20James%20Close.pdf,2017-12-01
"Land at St Oswalds, off Gavel Way, Westgate",yes,,2018-12-18,,2.5,213,213,city council owned site. housing development proposed through city plan,local-authority-eng:GLO,owned by a public authority,,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001HUYHMLI000,not permissioned,,GLOSBR015,http://www.gloucester.gov.uk/Documents/GLOSBR015%20%20Land%20at%20St%20Oswalds.pdf,2017-12-01
"37-39 Worcester Street, Tanners Hall, Westgate",yes,,2018-12-18,,0.07,10,10,Listed building on site will need appropriate protection.. no housing development is currently proposed,local-authority-eng:GLO,not owned by a public authority,,http://glcstrplnng12.co.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0011N2HMLI000,not permissioned,,GLOSBR017,http://www.gloucester.gov.uk/Documents/GLOSBR017%20%2037-39%20Worcester%20Street.pdf,2017-12-01
