site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Buffer Depot, Trent Valley Road, Lichfield",yes,,2017-07-17,,1.9,75,45,"Proposed for allocation in LPA. Former rail depot, consists of several large warehouses and areas of hardstanding",local-authority-eng:LIF,owned by a public authority,,,not permissioned,,LDC-BLR-26,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-2-Lichfield-East.pdf,2017-07-17
"Beaconsfield House, Sandford Street, Lichfield",yes,,2017-07-17,,0.05,30,24,Proposed for allocation in LPA. Three storey office building identified as out of scale and character with area,local-authority-eng:LIF,not owned by a public authority,,,not permissioned,,LDC-BLR-27,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-1-Lichfield-City-Centre.pdf,2017-07-17
"Hawthorn House, Burton Old Road, Lichfield",yes,,2017-07-17,,0.6,25,25,Proposed for allocation in LPA. County council offices and associated accommodation.,local-authority-eng:LIF,owned by a public authority,2016-11-30,,permissioned,full planning permission,LDC-BLR-28,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-2-Lichfield-East.pdf,2017-07-17
"Land off Gorse Lane, Fradley Park",yes,,2017-07-17,,12,300,250,Part of SDA within adopted LPS. Outline planning application submitted but not yet determined.. Part of former airfield - allocated for development in Local Plan,local-authority-eng:LIF,not owned by a public authority,,,not permissioned,,LDC-BLR-29,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-7-Fradley.pdf,2017-07-17
"Former Home, Scotch Orchard, Lichfield",yes,,2017-07-17,,0.97,27,27,Proposed for allocation in LPA. Former Children's care home building and associated car parking,local-authority-eng:LIF,owned by a public authority,2017-04-24,,permissioned,full planning permission,LDC-BLR-30,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-2-Lichfield-East.pdf,2017-07-17
"Cottage of Content Public House, Queen Street, Chasetown, Burntwood",yes,,2017-07-17,,0.24,11,9,Proposed for allocation in LPA. Operational public house and associated car parking,local-authority-eng:LIF,not owned by a public authority,,,not permissioned,,LDC-BLR-31,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-6-Burntwood-South.pdf,2017-07-17
"Former Bridge Cross Garage, Bridge Cross Road, Burntwood",yes,,2017-07-17,,0.34,8,8,Proposed for allocation in LPA. Site of former car show room and garage,local-authority-eng:LIF,not owned by a public authority,2015-09-15,,permissioned,outline planning permission,LDC-BLR-32,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-5-Burntwood-North.pdf,2017-07-17
"Land East of Burntwood Bypass, Milestone Way, Burntwood",yes,,2017-07-17,,10.5,351,351,Site is allocated through adopted LPS.. Former industrial site - site currently under construction,local-authority-eng:LIF,mixed ownership,2014-07-21,,permissioned,full planning permission,LDC-BLR-33,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-6-Burntwood-South.pdf,2017-07-17
"Former 'What' store, Cross Keys, Lichfield",yes,,2017-07-17,,0.3,35,35,Proposed for allocation in LPA. Former retail unit has been demolished. Site currently in use as car park,local-authority-eng:LIF,not owned by a public authority,2016-06-06,,permissioned,full planning permission,LDC-BLR-34,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-1-Lichfield-City-Centre.pdf,2017-07-17
"Land at Halifax Avenue, Fradley",yes,,2017-07-17,,34,750,750,Site is allocated through adopted LPS.. Part of former airfield - allocated for development in Local Plan,local-authority-eng:LIF,not owned by a public authority,2016-06-30,,permissioned,full planning permission,LDC-BLR-35,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-7-Fradley.pdf,2017-07-17
"Boney Hay Concrete, Chorley Road, Burntwood",yes,,2017-07-17,,0.34,7,7,Proposed for allocation in LPA. Former concrete manufacturer works,local-authority-eng:LIF,not owned by a public authority,2014-07-08,,permissioned,full planning permission,LDC-BLR-36,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-5-Burntwood-North.pdf,2017-07-17
"The New Lodge, Kings Bromley Road, Alrewas",yes,,2017-07-17,,0.15,6,6,Proposed for allocation in LPA. Currently in use as restaurant,local-authority-eng:LIF,not owned by a public authority,2015-06-18,,permissioned,full planning permission,LDC-BLR-37,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-8-Alrewas.pdf,2017-07-17
"Tricorn House, 99-101 High Street, Chasetown, Burntwood",yes,,2017-07-17,,0.15,7,7,Proposed for allocation in LPA. Former office and commercial buildings - redevelopment currently under construction.,local-authority-eng:LIF,not owned by a public authority,2016-01-08,,permissioned,full planning permission,LDC-BLR-38,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-6-Burntwood-South.pdf,2017-07-17
"Colton Road, Rugeley",yes,,2017-07-17,,0.4,14,14,Proposed for allocation in LPA. Warehouse and office building associated with adjacent railway,local-authority-eng:LIF,not owned by a public authority,2016-05-25,,permissioned,outline planning permission,LDC-BLR-39,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-9-Rugeley-rural-north.pdf,2017-07-17
"Rugeley Power Station, Rugeley",yes,,2017-07-17,,83.76,880,820,"Proposed for allocation in LPA. Uses associated with former Rugeley Power Station, parts of site are green field",local-authority-eng:LIF,not owned by a public authority,,,not permissioned,,LDC-BLR-40,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-9-Rugeley-rural-north.pdf,2017-07-17
"Lombard Court, Lombard Street, Lichfield",yes,,2017-07-17,,0.13,14,14,Proposed for allocation in LPA. Former County Council Offices and associated parking - site currently under construction,local-authority-eng:LIF,owned by a public authority,2016-04-12,,permissioned,full planning permission,LDC-BLR-41,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-1-Lichfield-City-Centre.pdf,2017-07-17
"Former Beatrice Court, St John Street, Lichfield",yes,,2017-07-17,,0.36,39,39,Proposed for allocation in LPA. Former nursing home - redevelopment currently under construction,local-authority-eng:LIF,not owned by a public authority,2016-12-14,,permissioned,full planning permission,LDC-BLR-42,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-1-Lichfield-City-Centre.pdf,2017-07-17
"Land off Greenhough Road, Lichfield",yes,,2017-07-17,,0.5,39,39,Proposed for allocation in LPA. Vacant land - redevelopment currently under construction,local-authority-eng:LIF,not owned by a public authority,2017-01-13,,permissioned,full planning permission,LDC-BLR-43,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-4-Lichfield-North.pdf,2017-07-17
"Land at Levett Road, Lichfield",yes,,2017-07-17,,0.7,22,22,Proposed for allocation in LPA. Existing RSL estate - 12 'Airey' houses,local-authority-eng:LIF,not owned by a public authority,2017-02-14,,permissioned,full planning permission,LDC-BLR-44,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-11-Whittington-rural-east.pdf,2017-07-17
"Land off Milestone Way, Burntwood",yes,,2017-07-17,,4.4,150,150,"Proposed for allocation in LPA. Vacant industrial land, former industrial buildings demolished",local-authority-eng:LIF,not owned by a public authority,,,not permissioned,,LDC-BLR-45,https://www.lichfielddc.gov.uk/Council/Planning/The-local-plan-and-planning-policy/Resource-centre/Evidence-base/Housing/Downloads/Brownfield-land-register/Map-6-Burntwood-South.pdf,2017-07-17
