site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Union Street West Car Park, Union Street, Farnborough",,,2018-12-10,,0.25,40,36,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,SHELAA ID: 8,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10
"Union Street East Car Park, Union Street, Farnborough",,,2018-12-10,,0.08,8,7,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,SHELAA ID: 9,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Farnborough Civic Quarter, Farnborough",yes,,2018-12-10,,5.96,700,630,Decision pending on an outline application for the erection of up to 174 units across 8 storeys at the former Police Station site (ref: 18/00367/OUTPP),local-authority-eng:RUH,mixed ownership,,,pending decision,,SHELAA ID: 15,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Willow House, 23 Grosvenor Road, Aldershot",,,2018-12-10,,0.06,23,21,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 102,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Progress House and Penmark House, Albert Road, Aldershot",,,2017-12-11,,0.07,50,45,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 110,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Former Laundry, 53 Rectory Road, Farnborough",,,2017-12-11,,0.14,5,4,,local-authority-eng:RUH,,,,not permissioned,,SHELAA ID: 284,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"69 Gordon Road, Aldershot",yes,,2018-12-10,,0.06,9,9,Planning permission: 18/00400/FULPP. Erection of roof extension and alterations to existing building to facilitate conversion to provide 6 two-bedroom and 3 one-bedroom flats,local-authority-eng:RUH,not owned by a public authority,2018-07-13,,permissioned,full planning permission,SHELAA ID: 304,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10
"Car Park next to Scout Hall, Fleet Road, Farnborough",,,2018-12-10,,0.10,5,4,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,SHELAA ID: 320,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"16 Union Street, Aldershot",,,2018-12-10,,0.01,6,5,Active ground floor and town centre uses will be required as part of any development proposals,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 409,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10
"The Crescent, Southwood Business Park, Summit Avenue, Farnborough",yes,,2018-12-10,,4.26,150,135,,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,SHELAA ID: 516,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Meudon House, Meudon Avenue, Farnborough",yes,,2018-12-10,,2.04,230,207,,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,SHELAA ID: 518,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Ayling Hill / York Road, Aldershot",,,2018-12-10,,0.26,24,22,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 548,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Former Garage Site at Bideford Close and Carmarthen Close, Farnborough",,,2018-12-10,,0.10,5,4,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 550,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"The Galleries Shopping Centre; High Street Multi-Storey Car Park; and The Arcade, Aldershot",yes,,2017-12-11,,1.77,500,450,Active ground floor and town centre uses will be required as part of any development proposals,local-authority-eng:RUH,mixed ownership,,,not permissioned,,SHELAA ID: 554,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Briarwood, Sorrel Close, Broadhurst, Farnborough",,,2018-12-10,,0.64,14,13,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 557,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"30 Grosvenor Road, Aldershot",,,2017-12-11,,0.08,11,10,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,SHELAA ID: 563,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Blandford House and Malta Barracks, Shoe Lane, Aldershot",yes,,2018-12-10,,8.50,165,149,,local-authority-eng:RUH,owned by a public authority,,,pending decision,,SHELAA ID: 572,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Meadowcroft, Whitchurch Close, Aldershot",,,2018-12-10,,0.28,9,8,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,SHELAA ID: 575,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"The Wellington Centre, Victoria Road, Aldershot",,,2018-12-10,,0.93,25,23,"Proposals would need to be built upon the existing fabric of the building, and active ground floor and town centre uses would be expected to support the viability and vitality of the town centre",local-authority-eng:RUH,owned by a public authority,,,not permissioned,,SHELAA ID: 577,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Aldershot Bus Station, 3 Station Road, Aldershot",yes,,2018-12-10,,0.21,30,27,,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,SHELAA ID: 580,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Hippodrome House, Birchett Road, Aldershot",,,2018-12-10,,0.19,70,63,"Ground floor uses should continue to reflect the town centre designation, with an active mix of uses",local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 582,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"208 Farnborough Road, Farnborough",,,2017-12-11,,0.09,7,6,The existing doctors' surgery would need to be provided in an alternative location,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 583,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"2 Salisbury Road, Farnborough",,,2017-12-11,,0.07,6,5,The existing doctors' surgery would need to be provided in an alternative location,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 584,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"124 Victoria Road, Farnborough",,,2017-12-11,,1.73,175,158,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 590,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"117 Farnborough Road, Farnborough",,,2018-12-10,,1.09,150,135,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 596,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"DIO Accommodation Offices, Ordnance Road, Aldershot",,,2018-12-10,,0.43,15,14,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,SHELAA ID: 597,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Aldershot Distribution Outlet, Ordnance Road, Aldershot",,,2017-12-11,,2.65,80,72,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,SHELAA ID: 598,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"1 Clockhouse Road, Farnborough",yes,,2018-12-10,,0.08,6,6,Planning permission: 17/00846/FULPP. Extension and conversion of existing building to create 6 flats,local-authority-eng:RUH,not owned by a public authority,2017-12-15,,permissioned,full planning permission,SHELAA ID: 603,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"149-165 Victoria Road, Aldershot",yes,,2018-12-10,,0.15,6,6,Active ground floor and town centre uses will be required as part of any development proposals. Planning permission: 17/00832/FULPP. Change of use of first-floor offices (B1a) to residential use (C3) comprising 6 flats,local-authority-eng:RUH,not owned by a public authority,2018-01-31,,permissioned,full planning permission,SHELAA ID: 604,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"73-77 High Street, Aldershot",yes,,2018-12-10,,0.07,5,5,Active ground floor and town centre uses will be required as part of any development proposals. Planning permission: 17/00824/FULPP. Extension of existing building to facilitate conversion of office space to provide 5 additional flats and 1 reconfigured flat,local-authority-eng:RUH,not owned by a public authority,2017-12-20,,permissioned,full planning permission,SHELAA ID: 605,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"Land at 68-70 Hawley Lane, Farnborough",,,2017-12-11,,0.35,10,9,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,SHELAA ID: 607,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11
"The Old Warehouse, Star Yard; 182-192 Victoria Road; and 3 Cross Street, Aldershot",yes,,2018-12-10,,0.10,14,14,"Planning permission: 18/00481/FULPP. Conversion of the Old Warehouse to provide 4 one-bedroom flats and the erection of a four-storey extension to provide a further 3 two-bedroom flats, and change of use of the upper floors of 182-192 Victoria Road to residential and the erection of a two-storey extension to provide 7 flats (14 flats in total)",local-authority-eng:RUH,not owned by a public authority,2018-11-08,,permissioned,full planning permission,SHELAA ID: 610,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10
"Land adjacent to Green Hedges, Hawley Road, Blackwater, Camberley",yes,,2018-12-10,,0.33,10,9,,local-authority-eng:RUH,not owned by a public authority,,,pending decision,,SHELAA ID: 612,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10
"Parsons Barracks Car Park, Aldershot",,,2018-12-10,,0.54,200,180,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,SHELAA ID: 616,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10
"Block 3, Queensmead, Farnborough",yes,,2018-12-10,,0.55,68,68,Planning permission: 18/00025/FULPP. Partial demolition of Kingsmead shopping centre and an erection of an extension (Block 3) comprising 68 apartments,local-authority-eng:RUH,owned by a public authority,2018-06-19,,permissioned,full planning permission,SHELAA ID: 618,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2018-12-10
