site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Former Pyramid Posters, Park Road, Blaby",,02/12/2019,2019-12-02,,0.58,34,34,Development completed.,local-authority-eng:BLA,not owned by a public authority,2016-07-06,,permissioned,reserved matters approval,BLR01,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"2-4 Westover Road, Braunstone Town",yes,,2019-12-02,,0.1,6,6,,local-authority-eng:BLA,not owned by a public authority,2017-03-03,,permissioned,full planning permission,BLR02,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Land off Cambridge Road, Cosby",yes,,2019-12-02,,3.92,73,73,,local-authority-eng:BLA,not owned by a public authority,2018-11-29,,permissioned,outline planning permission,BLR03,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Countesthorpe Conservative Club, Main Street, Countesthorpe",yes,,2019-12-02,,0.1,7,7,,local-authority-eng:BLA,not owned by a public authority,2015-01-22,,permissioned,full planning permission,BLR04,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Land to the north of 81 Bassett Avenue, Countesthorpe",,02/12/2019,2019-12-02,,0.01,8,8,Development completed.,local-authority-eng:BLA,not owned by a public authority,2015-09-17,,permissioned,full planning permission,BLR05,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Land rear of 33-37 Salisbury Avenue, Croft",,02/12/2019,2019-12-02,,0.1,4,4,"Development completed. Two permissions on the site at the same time, one for 4 dwellings, one for 6 dwellings. The permission that was implemented was for 4 dwellings.",local-authority-eng:BLA,not owned by a public authority,2016-03-10,,permissioned,full planning permission,BLR06,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Imperial Buildings, King Street, Enderby",,02/12/2019,2019-12-02,,0.07,10,10,Development completed.,local-authority-eng:BLA,not owned by a public authority,2015-12-03,,permissioned,full planning permission,BLR07,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Land at Cambridge Road, Warwick Road, Whetstone",,02/12/2019,2019-12-02,,5.38,103,103,Development completed.,local-authority-eng:BLA,not owned by a public authority,2015-12-22,,permissioned,full planning permission,BLR08,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"JC Remedial, The Nook, Whetstone",,,2019-12-02,,0.18,21,21,Previous outline permission has expired.,local-authority-eng:BLA,not owned by a public authority,,,not permissioned,other,BLR09,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Glen Ford Grange, Little Glen Road, Glen Parva",,,2019-12-02,,0.48,10,10,Previous outline permission has expired.,local-authority-eng:BLA,not owned by a public authority,,,not permissioned,other,BLR10,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Travelodge, Hinckley Road, Leicester Forest East",yes,,2019-12-02,,0.17,6,6,,local-authority-eng:BLA,not owned by a public authority,2017-09-15,,permissioned,full planning permission,BLR11,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Land west of Blue Banks Avenue, Glen Parva",yes,,2019-12-02,,0.1,10,10,,local-authority-eng:BLA,not owned by a public authority,2019-01-09,,permissioned,full planning permission,BLR12,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Land at The Depot, Church Farm, Station Road, Elmesthorpe",yes,,2019-12-02,,0.47,7,7,,local-authority-eng:BLA,not owned by a public authority,2018-05-11,,permissioned,full planning permission,BLR13,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Land rear of 14-16 Aldeby Close, Enderby",,,2019-12-02,,0.09,8,8,Previous full permission has expired.,local-authority-eng:BLA,not owned by a public authority,,,not permissioned,other,BLR14,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"Council Depot, Warwick Road, Littlethorpe",yes,,2019-12-02,,0.83,20,20,,local-authority-eng:BLA,owned by a public authority,,,not permissioned,other,BLR15,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2017-12-04
"90 High Street, Whetstone",yes,,2019-12-02,,0.16,10,10,,local-authority-eng:BLA,not owned by a public authority,2017-08-18,,permissioned,full planning permission,BLR16,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2018-12-03
"1-3 Castle Road, former Kirby Footwear, Kirby Muxloe",yes,,2019-12-02,,0.01,7,7,,local-authority-eng:BLA,not owned by a public authority,2017-07-22,,permissioned,full planning permission,BLR17,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2018-12-03
"Unit 1, 29 Wigston Street, Countesthorpe",yes,,2019-12-02,,0.03,5,5,,local-authority-eng:BLA,not owned by a public authority,2017-03-09,,permissioned,full planning permission,BLR18,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2018-12-03
"Plot 1, Whittle Estate, Cambridge Road, Whetstone",yes,,2019-12-02,,2.74,78,78,,local-authority-eng:BLA,not owned by a public authority,2019-09-27,,permissioned,outline planning permission,BLR19,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2019-12-02
"Plots 4 and 5, Whittle Estate, Cambridge Road, Whetstone",yes,,2019-12-02,,1.47,85,85,Resolution to grant planning permission subject to the signing of a S106 agreement.,local-authority-eng:BLA,not owned by a public authority,,,pending decision,outline planning permission,BLR20,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2019-12-02
"2 Barry Close, Kirby Muxloe",yes,,2019-12-02,,0.13,7,7,,local-authority-eng:BLA,not owned by a public authority,2019-03-29,,permissioned,full planning permission,BLR21,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2019-12-02
"Land at Wykeham Close, Blaby",yes,,2019-12-02,,0.09,6,6,,local-authority-eng:BLA,not owned by a public authority,2019-03-07,,permissioned,full planning permission,BLR22,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2019-12-02
"The Mechanical Workshop, 45 Station Road, Littlethorpe",yes,,2019-12-02,,0.05,7,7,,local-authority-eng:BLA,not owned by a public authority,2018-09-07,,permissioned,outline planning permission,BLR23,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2019-12-02
"Former Stoney Stanton WMC, Hinckley Road, Stoney Stanton",yes,,2019-12-02,,0.11,6,6,,local-authority-eng:BLA,not owned by a public authority,2019-03-27,,permissioned,full planning permission,BLR24,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2019-12-02
"85 High Street, Whetstone",yes,,2019-12-02,,0.09,5,5,,local-authority-eng:BLA,not owned by a public authority,2018-05-03,,permissioned,full planning permission,BLR25,https://www.blaby.gov.uk/planning-and-building/guidance-and-policies/brownfield-land-register/,2019-12-02
