site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
TIPNER WEST,yes,,2018-12-12,,6.56,650,650,Part of City Deal. Proposed for up to 650 dwelling mixed-use as part of larger development scheme for City Deal,local-authority-eng:POR,mixed ownership,,,Not permissioned,,,1,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
TIPNER FIRING RANGE,yes,,2018-12-12,,15.46,600,600,Part of City Deal. Proposed for up to 600 dwelling mixed-use as part of larger development scheme for City Deal,local-authority-eng:POR,owned by a public authority,,,Not permissioned,,,2,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
LAND OFF AND BETWEEN M275 SOUTH OF TIPNER LAKE INCLUDING GREYHOUND STADIUM TWYFORD AVENUE,yes,,2018-12-12,,11.29,600,600,"Outline planning permission granted for up to 600 homes, 615sqm commercial floor space and sea wall. Permission granted for Park & Ride facility.",local-authority-eng:POR,owned by a public authority,2012-03-30,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=L7GM7TMO5G000,permissioned,outline planning permission,,3,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
"PORT SOLENT, HMS EXCELLENT",yes,,2018-12-12,,25.34,500,500,"The site has considerable contaminated land issues through industrial use of the land, landfill and land reclamation. Therefore, before any development can take place the council will need to be satisfied that an appropriate scheme for remediation of the site is in place to deal with the historic land contamination.. Allocated in Core Strategy (2011-2027) for approx. 500 homes. Also part of City Deal.",local-authority-eng:POR,mixed ownership,,,Not permissioned,,,4,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
"EUROPA HOUSE, HAVANT STREET",yes,,2018-12-12,,0.26,200,200,Subject to conditions. Change of use from office (Class B1) to halls of residence (Class C1) at levels 6-18 of Europa House and the annex building to form 262 study bedrooms with communal facilities,local-authority-eng:POR,,2015-06-18,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJCF4FMOI3V00,permissioned,full planning permission,,5,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
TRAFALGAR WHARF,yes,,2018-12-12,,3.23,160,160,"The site has considerable contaminated land issues. Therefore, before any development can take place the council will need to be satisfied that thorough investigation of the site has taken place and an appropriate scheme for remediation of the site is in place to deal with the historic land contamination.. Resolution to grant permission for 163 units. Allocated for residential development in Portsmouth City Plan 2001-2011.",local-authority-eng:POR,not owned by a public authority,,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=MSUUZTMO5G000,pending decision,,,6,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
DRAYTON DAIRY,yes,,2018-12-12,,2.52,100,100,Resolution to grant permission subject to S106.. Outline application for the construction of up to 108 dwellings,local-authority-eng:POR,owned by a public authority,2017-09-20,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OL60SKMOJTS00,permissioned,Other,,7,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
QINETIQ - FRASER BATTERY,yes,,2018-12-12,,5.45,130,130,Previous planning application withdrawn for 131 residential dwellings. Recent refused planning application for access road to accommodate residential development.,local-authority-eng:POR,not owned by a public authority,,,Not permissioned,,,8,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
QUEENS HOTEL,yes,,2018-12-12,,0.84,30,30,Subject to conditions. Construction of eight-storey building comprising 38 apartments above extended landscapes podium level and associated car parking facilities,local-authority-eng:POR,not owned by a public authority,2012-03-15,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=LDTP2UMO02T00,permissioned,full planning permission,,9,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
THE ROYAL BEACH HOTEL (EAST WING) ST HELENS PARADE,yes,,2018-12-12,,0.11,40,40,Conversion of east wing to form 9 maisonettes and 31 flats including construction of mansard roof to form additional floor and external alterations,local-authority-eng:POR,,2013-07-18,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=KYYKV6MO04R00,permissioned,full planning permission,,10,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
140-142 KINGSTON ROAD (BINGO HALL),yes,,2018-12-12,,0.07,10,10,Part demolition of former bingo hall and conversion to form retail unit (Class A1/A2) and 10 dwellinghouse; conversion/extension of outbuilding to form dwellinghouse; provision of associated refuse/ bicycle stores and car parking,local-authority-eng:POR,not owned by a public authority,2018-05-30,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OTLPCOMOG6Y00,permissioned,full planning permission,,11,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
GARAGES AT EXMOUTH ROAD,yes,,2018-12-12,,0.11,8,8,Construction of 8 three-storey dwellinghouses following demolition of existing buildings,local-authority-eng:POR,not owned by a public authority,2018-10-17,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P8I92PMOFOW00,permissioned,full planning permission,,12,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2018-12-18
"FORMER AQUATICS CENTRE, 201 HIGHLAND ROAD AND 197 AND LAND AT REAR",yes,,2018-12-12,,0.25,7,7,Construction of four 3-storey houses and three 2-storey houses with associated access road and car parking after demolition of existing buildings,local-authority-eng:POR,not owned by a public authority,2015-09-11,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=NR2RVQMOLKU00,permissioned,full planning permission,,13,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
LAND SOUTH OF MARINA KEEP,yes,,2018-12-12,,0.19,15,15,"Promoted through SHLAA call for sites. The site has considerable contaminated land issues. The site has considerable contaminated land issues. Therefore, before any development can take place the council will need to be satisfied that thorough investigation of the site has taken place and an appropriate scheme for remediation of the site is in place to deal with the historic land contamination.. Site adjacent to existing marina, previously promoted for residential development.",local-authority-eng:POR,not owned by a public authority,,,Not permissioned,,,14,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
NORTH END KWIKSAVE,yes,,2018-12-12,,0.17,10,10,"Vacant retail unit, being promoted for residential development",local-authority-eng:POR,not owned by a public authority,,,Not permissioned,,,15,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
108 - 112 ELM GROVE,yes,,2018-12-12,,0.04,15,15,Construction of 3-storey building to form a 17 study bedroom halls of residence for student use (Class C1) and 2 shops on ground floor (Class A1) with associated cycle and refuse stores,local-authority-eng:POR,not owned by a public authority,2015-05-01,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=NKXUNKMOIS300,permissioned,full planning permission,,16,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
251 - 253 NEW ROAD (GOSPORT METAL TREATMENT),yes,,2018-12-12,,0.06,8,8,Construction of a terrace of nine 2 and 2.5-storey dwellinghouse,local-authority-eng:POR,not owned by a public authority,2017-02-01,http://publicaccess.portsmouth.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OGN2Y3MOHQM00,permissioned,full planning permission,,17,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
WIGHTLINK CAR PARK,yes,,2018-12-12,,0.35,60,60,"Promoted through SHLAA call for sites. The site has considerable contaminated land issues. Therefore, before any development can take place the council will need to be satisfied that thorough investigation of the site has taken place and an appropriate scheme for remediation of the site is in place to deal with the historic land contamination.. Existing car park site, identified as suitable for residential development",local-authority-eng:POR,not owned by a public authority,,,Not permissioned,,,18,https://www.portsmouth.gov.uk/ext/development-and-planning/planning/brownfield-land-register,2017-12-18
