site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
"Telephone Exchange, Friargate, Penrith, CA11 7XR",,,2019-11-26,,0.483728768291775,,,,local-authority-eng:EDN,not owned by a public authority,,,,,17/PEN/0130,http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0130,
"Land at Westmorland Road, Appleby",yes,,2019-11-26,,0.504,15,15,,local-authority-eng:EDN,not owned by a public authority,,,,,17/APP/0053,http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/APP/0053,
"Old Fire Station, Bridge Lane, Penrith",,,2019-11-26,,0.575385980717256,,,,local-authority-eng:EDN,not owned by a public authority,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/9001&ApplicationNumber=07%2F9001&AddressPrefix=&Postcode=&Submit=Search│http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/9013&ApplicationNumber=10%2F9013&AddressPrefix=&Postcode=&Submit=Search│http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0577&ApplicationNumber=14%2F0577&AddressPrefix=&Postcode=&Submit=Search│http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=14/0783&ApplicationNumber=14%2F0783&AddressPrefix=&Postcode=&Submit=Search,,,17/PEN/0132,http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0132,
"QEGS Annexe, Ullswater Road, Penrith",yes,,2019-11-26,,0.579,18,18,,local-authority-eng:EDN,not owned by a public authority,,,,,17/PEN/0048,http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0048,
"Wright Bros Garage, Nenthead",yes,,2019-11-26,,0.586,13,13,,local-authority-eng:EDN,not owned by a public authority,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=06/0696&ApplicationNumber=06%2F0696&AddressPrefix=&Postcode=&Submit=Search│http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=10/1082&ApplicationNumber=10%2F1082&AddressPrefix=&Postcode=&Submit=Search│http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=12/0599&ApplicationNumber=12%2F0599&AddressPrefix=&Postcode=&Submit=Search│http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/0071&ApplicationNumber=16%2F0071&AddressPrefix=&Postcode=&Submit=Search│http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=17/0179&ApplicationNumber=17%2F0179&AddressPrefix=&Postcode=&Submit=Search,,,17/NEN/0047,http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/NEN/0047,
"Former Food Factory, Shap",,,2019-11-26,,0.631,15,15,"Despite the site's allocation in the Local Plan for housing, planning permission was granted in May 2018 to redevelop the existing employment site for B2/B8 purposes",local-authority-eng:EDN,not owned by a public authority,2018-05-30,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=18/0167&submit1=View+current+applications,,full planning permission,17/SHA/0052,http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/SHA/0052,
"Myers Lane depot, Norfolk Road, Penrith",yes,,2019-11-26,,0.634,20,20,,local-authority-eng:EDN,not owned by a public authority,2017-02-09,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=16/1101&submit1=View+current+applications|,,full planning permission,17/PEN/0051,http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/PEN/0051,
"Land at Belgravia, off Long Marton Road, Appleby",yes,,2019-11-26,,0.66,10,10,,local-authority-eng:EDN,mixed ownership,,http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=11/0300&ApplicationNumber=11%2F0300&AddressPrefix=&Postcode=&Submit=Search,,,17/APP/0054,http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/APP/0054,
"Lime Tree Farm, Culgaith, Penrith, CA10 1QW",yes,,2019-11-26,,0.76,18,18,,local-authority-eng:EDN,not owned by a public authority,,,,,17/CUL/0073,http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/CUL/0073,
"Farmyard Adjacent Midtown Farm, Glassonby",yes,,2019-11-26,,0.8,9,9,,local-authority-eng:EDN,not owned by a public authority,,,,,17/GLA/0139,http://my.eden.gov.uk/myeden.aspx?MapSource=EDC/MyMapsEden&SearchLayer=Brownfield_Sites&SearchField=alt_site_reference&SearchValue=17/GLA/0139,
