site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Land at Simpson Street,yes,,2018-02-28,,0.31,19,19,"Planning permission is for the demolition of industrial buildings, construction of 7no. town houses and 12no. apartments including details of layout, scale, access and appearance (landscaping reserved for future approval)",local-authority-eng:BUN,not owned by a public authority,2016-05-27,http://www.burnley.gov.uk/custom/plnapps/results.php?ref=APP/2015/0048&reference=app%2F2015%2F0048&search=search&recs=1&,permissioned,outline planning permission,POINT(-2.31723 53.784062),BURN001,http://www.burnley.gov.uk/attachments/APP20150048_215%200048%20Amended%20Prop%20Site%20Plan.pdf,2018-01-12
Land rear of 7 Southern Avenue,yes,,2018-02-28,,0.23,5,5,Planning permission is for the erection of 5 no. detached dwellings including details of access,local-authority-eng:BUN,not owned by a public authority,2015-07-13,http://www.burnley.gov.uk/custom/plnapps/results.php?ref=APP/2015/0233&reference=app%2F2015%2F0233&search=search&recs=1&,permissioned,outline planning permission,POINT(-2.272475 53.798344),BURN002,http://www.burnley.gov.uk/attachments/APP20150233_315%200233%20Site%20Plan.pdf,2018-01-12
"Lower Gibfield Farm, Crown Point Road",yes,,2018-02-28,,0.3,1,1,Planning permission for the demolition of existing farm cottage and conversion of existing barn to form new dwelling,local-authority-eng:BUN,not owned by a public authority,2015-04-24,http://www.burnley.gov.uk/custom/plnapps/results.php?ref=APP/2015/0064&reference=app%2F2015%2F0064&search=search&recs=1&,permissioned,outline planning permission,POINT(-2.255995 53.768488),BURN004,http://www.burnley.gov.uk/attachments/APP20150064_415%200064%20Drawing%203.pdf,2018-01-12
Lambert Howarth,yes,,2018-02-28,,3.2,100,100,Housing Allocation in Burnley's Local Plan (HS1/6),local-authority-eng:BUN,not owned by a public authority,2014-09-03,http://www.burnley.gov.uk/custom/plnapps/results.php?ref=APP/2013/0501&reference=app%2F2013%2F0501&search=search&recs=1&,permissioned,outline planning permission,POINT(-2.242949 53.784426),BURN005,http://www.burnley.gov.uk/attachments/APP20130501_113%200500%20&%200501%20Amended%20Proposed%20Site%20Plan%20Healey%20Royd%20&%20Finsley%20Gate%20Sites.pdf,2018-01-12
Former AIT Site,yes,,2018-02-28,,1.81,54,54,Housing Allocation in Burnley's Local Plan (HS1/11),local-authority-eng:BUN,not owned by a public authority,,http://www.burnley.gov.uk/custom/plnapps/results.php?ref=APP/2014/0145&reference=app%2F2014%2F0145&search=search&recs=1&,not permissioned,,POINT(-2.268806 53.785174),BURN006,http://www.burnley.gov.uk/attachments/APP20140145_014%200145%20Illustrative%20Masterplan.pdf,2018-01-12
Former Baxi Site,yes,,2018-02-28,,6.9,244,205,Housing Allocation in Burnley's Local Plan (HS1/5),local-authority-eng:BUN,mixed ownership,,http://www.burnley.gov.uk/custom/plnapps/results.php?ref=NOT/2017/0474&address_short=baxi&search=search&recs=7&,not permissioned,,POINT(-2.306442 53.802634),BURN007,http://www.burnley.gov.uk/attachments/NOT20170474_0_17%200474%20Demolition%20Works%20Site%20Layout.pdf,2018-01-12
George Street Mill,yes,,2018-02-28,,0.98,143,143,"Housing Allocation in Burnley's Local Plan (HS1/28). This would be suitable for B1, C2, C3 and D1 uses",local-authority-eng:BUN,not owned by a public authority,,http://www.burnley.gov.uk/custom/plnapps/results.php?ref=APP/2013/0194&address_short=george+street&search=search&recs=5&,not permissioned,,POINT(-2.250105 53.788686),BURN008,http://www.burnley.gov.uk/attachments/APP20130194_013%200194%20Location%20plan.PDF,2018-01-12
"Barden Mill, Barden Lane",yes,,2018-02-28,,0.86,37,37,Housing Allocation in Burnley's Local Plan (HS1/31). Planning permission for redevelopment of existing retail mill site,local-authority-eng:BUN,not owned by a public authority,2015-04-20,http://www.burnley.gov.uk/custom/plnapps/results.php?ref=APP/2014/0031&reference=app%2F2014%2F0031&search=search&recs=1&,permissioned,full planning permission,POINT(-2.242842 53.810281),BURN010,http://www.burnley.gov.uk/attachments/app20140031_014%200031%20Amended%20proposed%20site%20plan.pdf,2018-01-12
Land at Burnley General Hospital,yes,,2018-02-28,,1.27,64,64,Housing Allocation in Burnley's Local Plan (HS1/10),local-authority-eng:BUN,owned by a public authority,,,not permissioned,,POINT(-2.227403 53.807582),BURN012,http://www.planvu.co.uk/burnleybc/bbcplanvu2.php,2018-01-12
Tay Street,yes,,2018-02-28,,1.18,35,35,Housing Allocation in Burnley's Local Plan (HS1/13),local-authority-eng:BUN,owned by a public authority,,http://www.burnley.gov.uk/custom/plnapps/results.php?ref=APP/2012/0247&address_short=tay+street&search=search&recs=6&,not permissioned,,POINT(-2.260673 53.787583),BURN013,http://www.burnley.gov.uk/attachments/12_0247_Site_Plan.pdf,2018-01-12
