site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
42 to 45 Nile Street,,,2018-11-30,,0.06,54,54,Permitted application ref. 16/00748/FU4. Part of Sunniside Planning & Design Framework SPD and Central Area Urban Design Strategy SPD,local-authority-eng:SND,not owned by a public authority,2016-12-09,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,18,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Eagle Public House, Portsmouth Road",,,2018-11-30,,0.19,9,9,Permitted application ref. 16/00509/FUL,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,54,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Site of Foundry (The Forge, Pallion)",,2019-11-30,2018-11-30,,1.32,22,22,Permitted application ref. 17/02370/FUL,local-authority-eng:SND,not owned by a public authority,2016-09-21,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,70,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Stadium Village, Sheepfolds Central",,,2018-11-30,,1.25,50,45,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,080A,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Stadium Village, Sheepfolds South",,,2018-11-30,,0.89,70,63,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,080B,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Stadium Village, Sheepfolds Cliff Top",yes,,2018-11-30,,0.91,80,72,Part of Stadium Village Development Framework SPD masterplan and Central Area Urban Design Strategy SPD,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,not permissioned,,080C,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Groves Site, Woodbine Terrace, Pallion",,,2018-11-30,,31.21,700,630,Part of Groves Development Framework. Intention for developer to submit planning application for 700 dwellings,local-authority-eng:SND,not owned by a public authority,,https://www.sunderland.gov.uk/online-applications,pending decision,,85,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Former Easington Lane Primary School Building,yes,,2018-11-30,,2.95,116,116,Part of Easington Lane Development Framework SPD and Development Brief,local-authority-eng:SND,mixed ownership,2019-05-02,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,86,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Dubmire Primary School, Britannia Terrace",yes,,2019-11-30,,0.30,17,17,Full permission for 17 units: 18/02002/FU4,local-authority-eng:SND,owned by a public authority,2019-04-02,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,87,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2019-11-30
"Ayton Village Primary School, Dunlin Drive, Ayton",yes,,2018-11-30,,1.58,40,36,Application Pending for 56 dwellings 19/01484/FU4,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,pending decision,,98,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
"Carley Hill School, Emsworth Road",yes,,2018-11-30,,4.20,110,99,Pre-application enquiry ref. 16/01431/P1 expired,local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,104,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Phases 2-6, Chester Road",yes,,2018-11-30,,16.72,500,450,Permitted application ref. 18/00255/FU4,local-authority-eng:SND,mixed ownership,2019-06-28,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,107,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Glebe Parkway,yes,2019-11-30,2018-11-30,,1.64,43,43,Permitted application ref. 16/01045/FUL,local-authority-eng:SND,not owned by a public authority,2016-11-23,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,109,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Site of former Broomhill Estate.,yes,,2018-11-30,,3.90,148,148,Permitted application ref. 16/01161/FU4,local-authority-eng:SND,not owned by a public authority,2017-08-18,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,112,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
"Lambton Lane, land at",yes,,2019-11-30,,4.43,274,252,Live application pending ref. 17/00589/FUL - proposed combined total 271 dwellings,local-authority-eng:SND,mixed ownership,,https://www.sunderland.gov.uk/online-applications,pending decision,,194,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Former Junglerama, Victoria Road",,,2018-11-30,,0.29,12,12,Permitted application ref. 16/00115/FU4,local-authority-eng:SND,mixed ownership,2016-11-28,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,312,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2016-06-30
Hetton Downs Phase 2,yes,,2019-11-30,,3.97,112,100,Permitted application ref. 17/02178/FU4,local-authority-eng:SND,mixed ownership,2019-04-18,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,328,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Grangetown Autos and land to the South. East side of Ryhope Road,yes,2019-11-30,2018-11-30,,1.27,46,46,"Permitted outline application ref. 15/01629/OUT, with live application pending ref. 17/00386/FUL for 48 units on land to the north",local-authority-eng:SND,not owned by a public authority,2016-08-08,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,380,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Site of former Kentmere House,yes,,2018-11-30,,0.64,19,19,"Pre-application ref. 13/01367/P7 - proposed 20 dwellings, development acceptable in principle. Concise brief prepared. Full application for 19 17/02296/FUL",local-authority-eng:SND,owned by a public authority,2018-03-07,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,469,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
Site of former Gilpin House,,,2018-11-30,,0.34,12,11,"Pre-application ref. 13/01367/P7 - proposed 12 dwellings, development acceptable in principle",local-authority-eng:SND,owned by a public authority,,https://www.sunderland.gov.uk/online-applications,not permissioned,,470,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
"Vane Arms, Silksworth",yes,,2018-11-30,,0.09,7,7,Permitted application ref. 17/01168/FUL - proposed conversion to 7 self-contained apartments,local-authority-eng:SND,not owned by a public authority,2017-09-20,https://www.sunderland.gov.uk/online-applications,permissioned,full planning permission,502,https://www.sunderland.gov.uk/article/12739/Brownfield-Sites-Register,2017-11-30
