site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Bramerton Childrens Residential Home 17 Bramerton Close Wolverhampton West Midlands WV11 1RT,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.098499 52.602489),39010,,
The Former British Legion Club Penn Road Wolverhampton West Midlands WV4 5LZ,,,2018-05-22,,0.4,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.169056 52.555051),39000,,
The Otter And Vixen Old Fallings Lane Wolverhampton West Midlands WV10 8BN,,,2018-05-22,,0.246,,,,local-authority-eng:WLV,,,,pending decision,,POINT(-2.104955 52.609882),38990,,
"Land adj 12 Lloyd Hill, Lower Penn",,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.171389 52.555542),38970,,
Northwood Park Lodge Northwood Park Road Wolverhampton West Midlands WV10 8EU,,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.1162 52.623608),38960,,
133 Park Street South Wolverhampton West Midlands WV2 3JF,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.130693 52.569627),38950,,
368 - 370 Dudley Road Wolverhampton WV2 3AY,,,2018-05-22,,0.04,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.124956 52.570487),38940,,
Upper Floors 27 And 28 Market Street Wolverhampton West Midlands WV1 3AG,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.126001 52.58513),38930,,
23 Chetwynd Road Wolverhampton West Midlands WV2 4NZ,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.135605 52.569433),38920,,
Woodend Post Office 80 Lower Prestwood Road Wolverhampton West Midlands WV11 1JP,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.085344 52.610293),38910,,
"Hotel rear of The Old White Rose PH, 20 Lichfield St, Bilston WV14 0EB",,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.073898 52.566089),38900,,
1-3 St Johns Street Wolverhampton WV1 3NS,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.129246 52.584264),38890,,
"Land North And South Of Lane Street, Bradley WV14 8UP",,,2018-05-22,,0.392,,,,local-authority-eng:WLV,,,,pending decision,,POINT(-2.129246 52.584264),38880,,
19 Raynor Road Wolverhampton West Midlands WV10 9QY,,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.106405 52.605224),38870,,
13 - 15 Connaught Road Stowlawn Wolverhampton West Midlands WV14 6NU,,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.064999 52.573808),38860,,
"58-60 Lichfield Street, City Centre",,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.125828 52.586605),38490,,
Land North West Of Bilston Urban Village Medical Centre Bankfield Road Wolverhampton West Midlands,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.076976 52.563103),38830,,
187 Leicester Street Wolverhampton West Midlands WV6 0PP,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.139635 52.59335),38820,,
436 Lichfield Road Wolverhampton West Midlands WV11 3HF,,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.058448 52.607667),38810,,
"Mount Court, Mount Road",,,2018-05-22,,0.1,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.183519 52.588939),38500,,
5 Waterloo Road Wolverhampton WV1 4DJ,,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.132454 52.585977),38800,,
Former Wood Hayes Pub Land North Of 434 Wood End Road Wolverhampton WV11 1YG,,,2018-05-22,,0.122,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.086819 52.616783),38790,,
76 Finchfield Road West Wolverhampton West Midlands WV3 8BA,,,2018-05-22,,0.26,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.164222 52.579744),38780,,
Land Behind 77 To 91 D'Urberville Road Wolverhampton West Midlands,,,2018-05-22,,0.228,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.105836 52.571459),38770,,
5 Grove Lane Wolverhampton West Midlands WV6 8NH,,,2018-05-22,,0.08,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.181761 52.588555),38760,,
"Samson And Lion (land), Newbolt Road Wolverhampton West Midlands WV14 7NP",,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.068266 52.568142),38752,,
466 Dudley Road Wolverhampton West Midlands WV2 3AF,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.1264 52.575016),38740,,
New Cross Car Park Wolverhampton Road Heath Town Wolverhampton West Midlands,,,2018-05-22,,0.45,,,,local-authority-eng:WLV,,,,pending decision,,POINT(-2.093468 52.597189),38730,,
Building Behind 50 Lichfield Street Wheelers Fold Wolverhampton West Midlands,,,2018-05-22,,0.01,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.126019 52.586344),38720,,
"The Angel Car Park, High Street, Wednesfield",,,2018-05-22,,0.05,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.082608 52.600128),38710,,
88A Great Brickkiln Street Wolverhampton WV3 0PU,,,2018-05-22,,0.02,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.141428 52.581463),38690,,
Martin And Co 11 Waterloo Road Wolverhampton West Midlands WV1 4DJ,,,2018-05-22,,0.06,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.132469 52.586256),38680,,
29 Vicarage Road All Saints Wolverhampton WV2 1BZ,,,2018-05-22,,0.006,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.121396 52.579786),38670,,
Coniston House Chapel Ash Wolverhampton WV3 0UD,,,2018-05-22,,0.159,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.135504 52.584572),38660,,
25 Waterloo Road Wolverhampton WV1 4DJ,,,2018-05-22,,0.027,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.132648 52.586813),38650,,
Whiteheads Building 26A Snow Hill Wolverhampton,,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.125668 52.582002),38640,,
5 Stockwell Road,,,2018-05-22,,0.44,,,,local-authority-eng:WLV,,,,permissioned,,POINT(-2.166281 52.601047),38630,,
Land rear of 45 Rookery Road,,,2018-05-22,,0.47,,,,local-authority-eng:WLV,,,,pending decision,,POINT(-2.100247 52.553124),38620,,
"31 Lichfield Street, Bilston",,,2018-05-22,,0.03,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.073943 52.566332),38590,,
125 Parkfield Road,,,2018-05-22,,0.08,,,,local-authority-eng:WLV,,,,Completed During 2016/17,,POINT(-2.109647 52.566987),38570,,
