site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"53 - 57 Sandside, Scarborough",yes,,2017-12-18,,0.04,8,8,07/00366/FL. Proposed alterations and refurbishment of redundant museum building to form 8 No apartments,local-authority-eng:SCE,not owned by a public authority,2007-05-31,,permissioned,full planning permission,POINT(-0.387427 54.284113),BR-001,https://tinyurl.com/ya8rgrxf,2017-12-18
"Former St Thomas Hospital, 11 Foreshore Road, Scarborough",yes,,2017-12-18,,0.19,12,12,"08/00193/FL. Conversion of first and second floor of former hospital to create 12 self contained flats, including new bridge and stepped access.",local-authority-eng:SCE,not owned by a public authority,2008-03-31,,permissioned,full planning permission,POINT(-0.395287 54.283011),BR-002,https://tinyurl.com/y7rmwntr,2017-12-18
"Former St Johns Church, Globe Street, Scarborough",yes,,2017-12-18,,0.03,6,6,10/00521/FL. Proposed conversion of former church building into 4 apartments and 2 maisonettes,local-authority-eng:SCE,not owned by a public authority,2010-10-07,,permissioned,full planning permission,POINT(-0.395221 54.283956),BR-003,https://tinyurl.com/yapdfb6n,2017-12-18
"First Floor, 11-25 Northway, Scarborough",yes,,2017-12-18,,0.06,8,8,16/01872/P3O. Conversion of offices to 8 apartments,local-authority-eng:SCE,not owned by a public authority,2016-11-01,,permissioned,other,POINT(-0.405525 54.280884),BR-006,https://tinyurl.com/y88hm88w,2017-12-18
"Lysander Hotel, 22 Weydale Avenue, Scarborough",yes,,2017-12-18,,0.08,5,5,16/02335/FL. Conversion of hotel to 5 No 2 Bedroom & 1 No 3 Bedroom residential apartments including a two storey rear extension,local-authority-eng:SCE,not owned by a public authority,2016-12-23,,permissioned,full planning permission,POINT(-0.415162 54.292732),BR-007,https://tinyurl.com/y8f9r3y8,2017-12-18
"First Floor Above 1 - 9, 27 - 37 Northway And 81 Westborough, Scarborough",yes,,2017-12-18,,0.08,9,9,17/00038/P3O. Change from office (B1) to residential (C3),local-authority-eng:SCE,not owned by a public authority,2017-02-20,,permissioned,other,POINT(-0.406369 54.2813),BR-009,https://tinyurl.com/ybgaykhs,2017-12-18
"The Breece, West Street, Scarborough",yes,,2017-12-18,,0.05,16,16,17/00293/FL. Conversion of former HMO (sui generis) to 16 no. apartments (C3),local-authority-eng:SCE,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.401834 54.273842),BR-011,https://tinyurl.com/y7gd6fom,2017-12-18
"LPG Depot, Church Hill, Reighton",yes,,2017-12-18,,0.68,8,8,15/02420/RM. Reserved Matters application for approval of details relating to the appearance and landscaping of the development approved under 12/01586/OL for the erection of 8 no. new dwellings,local-authority-eng:SCE,not owned by a public authority,2016-02-18,,permissioned,reserved matters approval,POINT(-0.268613 54.158407),BR-012,https://tinyurl.com/ybqeymbz,2017-12-18
"Land Adjacent 25 Holbeck Hill, Weaponness, Scarborough",yes,,2017-12-18,,0.14,8,8,07/01207/FL. Creation of new build residential apartments including 7 two bedroom apartments and one 1 bedroom apartment within a three storey,local-authority-eng:SCE,not owned by a public authority,2007-10-18,,permissioned,full planning permission,POINT(-0.394273 54.266461),BR-013,https://tinyurl.com/yagga45a,2017-12-18
"94 Filey Road, Weaponness, Scarborough",yes,,2017-12-18,,0.18,11,11,08/01544/FL. Demolition of existing dwelling and the erection of 12 two bedroomed flats,local-authority-eng:SCE,not owned by a public authority,2008-12-03,,permissioned,full planning permission,POINT(-0.392839 54.263845),BR-014,https://tinyurl.com/yd52nzuc,2017-12-18
