site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
Park Manor London Road Brighton,,,2019-12-16,,0.21,6,6,,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR60DMXE303|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6ADMXE809|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6CDMXE776|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6EDMXE621|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6HDMXE995|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6KDMXE952|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6MDMXE231|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6NDMXE229|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR75DMXE319|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR77DMXE723,not permissioned,,SHLAA6020,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6020-park-manor-london-road-brighton.pdf,2017-09-19
Hanningtons Lane North Street and Brighton Square Brighton,yes,,2019-12-16,,0.25,12,12,Three applications form the 12 units on this site BH2015/00575 BH2015/04562 and BH2016/05391. Commenced 2017.,local-authority-eng:BNH,not owned by a public authority,2015-09-30,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR65DMXE564|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR61DMXE869|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ODWST2DMHPS00,permissioned,full planning permission,SHLAA6025,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6025-13-14-15-16-17-18-19-20-20-24-21-22-and-pugets-cottage-north-street-brighton.pdf,2017-09-19
9-16 Aldrington Basin/Land South of Kingsway Basin Road North Portslade,yes,,2019-12-16,yes,0.21,52,52,Technical Commencement. Part of JAAP Allocation AB4 and Draft City Plan Part 2 Allocation,local-authority-eng:BNH,not owned by a public authority,2014-02-14,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR61DMXE946|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6EDMXE560|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6MDMXE497,permissioned,full planning permission,SHLAA6029,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6029-9-16-aldrington-basin-land-south-of-kingsway-basin-road-north-portslade.pdf,2017-09-20
Astoria 10-14 Gloucester Place Brighton,yes,,2019-12-16,,0.15,70,70,Call for Sites 2017. Commenced.,local-authority-eng:BNH,not owned by a public authority,2017-01-11,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR64DMXE723|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6ADMXE703|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6ADMXE702|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6MDMXE481,permissioned,full planning permission,SHLAA6051,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6051-astoria-10-14-gloucester-place-brighton.pdf,2017-09-20
Buckley Close garage site Hangleton,yes,,2019-12-16,,0.08,12,12,New Homes for Neighbourhoods site. BH2018/03600 Approved May 2019 for 12 units,local-authority-eng:BNH,owned by a public authority,2019-05-10,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PIJNSYDMLJK00,permissioned,full planning permission,SHLAA6057,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6057-buckley-close-garage-site-hangleton.pdf,2017-09-20
Kings House Grand Avenue Hove,yes,,2019-12-16,,0.52,169,169,App BH2018/00868 for 169 units Approved April 2019,local-authority-eng:BNH,not owned by a public authority,2019-04-10,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P5TVOVDMJWC00,permissioned,full planning permission,SHLAA6075,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6075-kings-house-grand-avenue-hove.pdf,2017-09-20
Belgrave Centre (and ICES Building),yes,,2019-12-16,,0.19,104,104,City Plan Part One Key Employment Site. Shoreham JAAP Allocation Draft City Plan part 2 Allocation. App BH2018/03629 for 104 Units Minded to Grant 2019,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6BDMXE138|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR7GDMXE121,not permissioned,,SHLAA6077,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6077-belgrave-centre-and-ices-building.pdf,2017-09-20
Kings School Site High Street Portslade,,,2019-12-16,,0.84,104,20,Kings school relocating,local-authority-eng:BNH,owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR65DMXE777,not permissioned,,SHLAA6078,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6078-kings-school-site-high-street-portslade.pdf,2017-10-03
Selsfield Drive Housing Office Brighton,yes,,2019-12-16,,0.05,30,30,New Homes for Neighbourhoods site. Substantially Commenced 201819.,local-authority-eng:BNH,owned by a public authority,2018-10-03,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P6LKV9DMLQ500,permissioned,full planning permission,SHLAA6080,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6080-selsfield-drive-housing-office-brighton.pdf,2017-09-20
25-28 Elder Place,yes,,2019-12-16,,0.07,7,7,Commenced,local-authority-eng:BNH,not owned by a public authority,2014-11-03,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR65DMXE189|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR68DMXE397|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6BDMXE350|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6FDMXE917,permissioned,full planning permission,SHLAA6087,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6087-25-28-elder-place.pdf,2017-09-21
Sussex House 130 Western Road Hove,yes,,2019-12-16,,0.05,9,9,Development permission lapsed 2019,local-authority-eng:BNH,not owned by a public authority,,https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR66DMXE146|https://planningapps.brighton-hove.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZR6GDMXE405,not permissioned,,SHLAA6091,https://new.brighton-hove.gov.uk/sites/default/files/planning_bc_regen/policy/brownfield-sites/shlaa6091-sussex-house-130-western-road-hove.pdf,2017-09-21
